"Table 5.19: Total Cost Estimate for Stream Reservation Proposals","","","","","",""
"GND","Scheme.Name","Problem.to.be.addressed","Coordinates","Recommended.Remedial.Actions","Estimated.Cost..LKR.","NA."
"947","Lunuwela","Protect, embankment & reservation","7.25084","80.641876","1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.","163,800"
"947","Hunugalepihilla","Protect reservation/encroachments","7.25022","80.638154","1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows. 3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 400 m2.","214,500"
"949"," confluence of Thelubu Falls & Diddeniya Oya ","Need to improve forest cover and riparian plants for erosion control ","7.25425","80.65792","Plant single row of areca nut tree and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna etc. for 1.5m wide and 300m long reservation","88,530"
"949","Kekiriwela  canal","Need to improve forest cover","7.25187","80.66025","Plant single row of areca nut tree and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna etc. for 1.5m wide and 200m long reservation","59,020"
"950","Road drainage path  crossing the canal ","Pipe or lined canal with a garbage  trapping net is required","7.25137","80.65721","Construction of a garbage trap using 600mm dia concrete pipes and a  GI gabion box cage.","68,900"
"950","Puliyadda ketawala road drainage","Pipe or lined canal with a garbage trapping net is required","7.25135","80.65619","Construction of a garbage trap using 600mm dia concrete pipes and a  GI gabion box cage.","68,900"
"950","Place the stream joins the Thelambu Oya","Embankment erosion control with agro-forestry methods is need","7.24974","80.6542","1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant a single row of areca nut tree and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna etc. for 1.5m wide and 300m long reservation","142,610"
"951","Uragala Oya","Animal garbage /dung leaking ","7.232947","80.650231","Construction of a garbage trap using 600mm dia concrete pipes and a  GI gabion box cage. Diversion of sewerage.","198,900"
"951","Uragala Oya","Sewerage leaking/inflow ","7.232134","80.650066","Construction of a garbage trap using 600mm dia concrete pipes and a  GI gabion box cage. Diversion of sewerage.","166,400"
"953","Ginihirawaththa stream","embankment/reservation erosion","7.1539285","80.39508","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m.2. Protection by turfing sods with vetiver grass rows. or3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline.","226,200"
"953","Ginihirawaththa stream","embankment/reservation erosion","7.153935","80.397799","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline.","113,100"
"953","Ginihirawaththa stream","embankment/reservation erosion","7.153896","80.391314","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline.","113,100"
"953","Ginihirawaththa stream","embankment/reservation erosion","7.154552","80.39776","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 300 m.2. Protection by turfing sods with vetiver grass rows. or3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline.","339,300"
"953","Ginihirawaththa stream","embankment/reservation erosion","7.1154461","80.3996","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 200 m.2. Protection by turfing sods with vetiver grass rows. or3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline.","226,200"
"953","Ginihirawaththa stream","embankment/reservation erosion","7.15997","80.395222","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline.","113,100"
"953","Ginihirawaththa stream","embankment/reservation erosion","7.1546269","80.393476","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline.","113,100"
"953","Ginihirawaththa stream","embankment/reservation erosion","7.1542762","80.59402","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m. 2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline.","113,100"
"953","Ginihirawaththa stream","embankment/reservation erosion","7.154126","80.385567","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m. 2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline.","226,200"
"953","stream in the forest near to the 'Wewe Kade'","embankment/reservation erosion","7.542429","80.385164","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m. 2. Protection by turfing sods with vetiver grass rows. or 3.Plant a single row of areca nut trees and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna etc. for a 1.5m wide and 300m long reservation","142,610"
"955"," ","debris and wastewater inflow","7.25681","80.64975","Construction of a garbage trap using 600mm dia concrete pipes and a  GI gabion box cage.","68,900"
"955"," ","debris and wastewater inflow","7.25552","80.64779","Construction of a garbage trap using 600mm dia concrete pipes and a  GI gabion box cage.","68,900"
"955"," ","canal overflow during the rainy period","7.25499","80.64793","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 300 m. 2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline.","339,300"
"955"," ","canal overflow during the rainy period","7.152393","80.384178","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m. 2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline.","226,200"
"962","Imbulhitiyawa canal","severe erosion in embankment","7.151284","80.395632","1. Earth filling to section of  100m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 100 m2.","138,450"
"962","Imbulhitiyawa canal","severe erosion in embankment","7.25278","80.66694","1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.","276,900"
"962","Mala Kandura","severe erosion in embankment","7.25361","80.66507","1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.","276,900"
"962","stream at Dewagolla Land","severe erosion in embankment","7.151517","80.394750","1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.","276,900"
"962","stream at Dewagolla Land","severe erosion in embankment","7.151416","80.40380","1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.","276,900"
"962","Hene Jala Kandura ","severe erosion in embankment","7.1518","80.406222","1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.","276,900"
"962","Dodamgedara stream","severe erosion in embankment","7.1457447","80.407576","1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.","276,900"
"962","Ethulgama Ini Kandura","severe erosion in embankment","7.144814","80.393829","1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.","276,900"
"962","Stream near Seneviratne land","severe erosion in embankment","7.151054","80.395734","1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.","276,900"
"962","Dewagolla stream","severe erosion in embankment","7.1523836","80.404370","1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.","276,900"
"962","Mala Kandura","severe erosion in embankment","7.151903","80.402746","1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.","276,900"
"962","Bulugaha stream","severe erosion in embankment","7.152052","80.401565","1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.","276,900"
"962","Ajith stores Mala Kandura","severe erosion in embankment","7.25526","80.66948","1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.","276,900"
"962","Stream Dewagollawatta","severe erosion in embankment","7.25587","80.67012","1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.","276,900"
"964","Igurugolla stream","Erosion in both embankments","7.143647","80.392169","1. Earth filling to section of  300m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 300 m2.","466,050"
"964","Beerawala stream","Erosion in both embankments","7.24147","80.65469","1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve and cultivate betel creeper inside an area of around 200 m2.","276,900"
"964","Suraganaya Oya","Erosion in both embankments","7.142300","80.391058","1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.","276,900"
"964","Maha Oya","Erosion in both embankments","7.23766","80.65795","1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.2. Protection by turfing sods with vetiver grass rows.3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.","276,900"
" "," ","                                             "," "," ","LKR 10,627,370",
