"Table 5.15: Cost estimate of minor irrigation related proposals with locations","","","","","",""
"GND","Scheme Name","Problem to be addressed  Need","Coordinates","Recommended Remedial Actions","Estimated Cost","NA"
"948","Kalaldora canal","Remove  rock obstacles","7.253975","80.6526325","Manually drill 20-25 dia holes @300mm interval   and apply expansive mortar","52,000"
"948","Kalaldora canal","Leaks in the canal and overflow","7.254415556","80.65322778","Demolish and reconstruct   125mm thick  , 0.4m  wide  and 0.5m high and 100m long canal with grade 25 concrete  -single banking","897,000"
"948","Kalaldora canal","Leaks in the canal and overflow","7.254561667","80.65350278","Demolish and reconstruct   125mm thick  , 0.4m  wide  and 0.5m high and 100m long canal with grade 25 concrete  -single banking","897,000"
"948","Kalaldora canal","Leaks in the canal and overflow","7.254047222","80.65529722","Demolish and reconstruct   125mm thick  , 0.4m  wide  and 0.5m high and 100m long canal with grade 25 concrete  -single banking","897,000"
"948","Bulathgamuwa canal","Concrete lining to be repaired","7.254282222","80.65575556","Demolish and reconstruct   100mm thick  , 0.4m  wide  and 0.3m high and 100m long canal with grade 25 concrete  -single banking","650,000"
"948","Bulathgamuwa canal","Concrete lining to be repaired","7.253633056","80.65575556","Demolish and reconstruct   100mm thick  , 0.4m  wide  and 0.3m high and 100m long canal with grade 25 concrete  -single banking","650,000"
"948","Kahatagahamula canal","Retaining wall is required","7.252388889","80.653775","Provide 15m long x2m high RCC retaining wall","520,000"
"948","Kahatagahamula canal","Canal leak/earth filling need","7.250541667","80.653825","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Kahatagahamula canal","Canal leak/earth filling need","7.255163889","80.65378611","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Kahatagahamula canal","Canal leak/earth filling need","7.254325","80.65430833","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Kahatagahamula canal","Canal leak/earth filling need","7.254486111","80.65461472","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Thelabu pallewaththa","Canal leak/earth filling need","7.249980556","80.65321667","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Thelabu pallewaththa","Canal leak/earth filling need","7.254711111","80.652515","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Thelabu pallewaththa","Canal leak/earth filling need","7.254975","80.65336667","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Thelabu pallewaththa","Canal leak/earth filling need","7.255377778","80.65359722","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Ginithulawa canal","Canal leak/earth filling need","7.252690556","80.65198361","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Ginithulawa canal","Canal leak/earth filling need","7.252661667","80.65206528","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Ginithulawa canal","Canal leak/earth filling need","7.252752222","80.65240889","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Bogahagoda canal","Anicut leaks and unserviceable","7.252050833","80.65794167","Demolish and reconstruct the anicut","910,000"
"948","Bogahagoda canal","Remove  rock obstacles","7.107505","80.403166","Manually drill 20-25 dia holes @300mm intervals and apply expansive mortar","52,000"
"948","Kikawula Canal","Canal leak/earth filling need","7.264994444","80.65636111","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Kikawula Canal","Canal leak/earth filling need","7.262436111","80.65992222","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"948","Pihillewaththa canal","Need overhead pipe or conduit with drainage undercrossing","7.2523775","80.65603611","Construct  125mm thick, 0.4m  wide  and 0.4m high and 50m long grade 25 RCC trough on piers","1,820,000"
"950","Thalagolla Kekiriyawela canal","Canal damaged due to earth slip","7.25049","80.65404","Construct  125mm thick, 0.4m  wide, and 0.4m high and 90m long concrete canal -double banking","1,573,000"
"950","Thalagolla Kekiriyawela canal","Need re-construction of  decayed concrete lining","7.25156","80.65563","Demolish and reconstruct   125mm thick, 0.4m  wide, and 0.5m high and 100m long canal with grade 25 concrete  -single banking","897,000"
"950","Kekiriyawela anicut","Need rehabilitation","7.25049","80.65404","Provide 100 mm thick grade 25 concrete curtain after chipping the weathered surface","585,000"
"950","Iththagahalanda canal","canal earthwork and reservation are need","7.24833","80.6565","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"950","Canal below the playground","Drainage under crossing  is required","7.25109","80.65724","Construction of a garbage trap using 600mm dia concrete pipes and a  GI gabion box cage.","113,100"
"953","Hommare canal","no reservation & seepage in  earthen bunds","7.25954","80.65029","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 200 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"955","Booge canal","No reservation boundary","7.253145278","80.64720278","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","339,300"
"955","Booge canal","Canal erosion near the anicut.","7.253145278","80.64720278","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m.2. Protection by turfing sods with vetiver grass rows. or 3. Plant two rows of areca nut trees and mixed dense plantation of Mee, Kumbuk, Godapara, Kekuna, etc., for 5m wide and 10m long reservation areas.","226,200"
"955","Gorakagahamadiththa","Need   d/s retaining wall","7.1512087","80.385496","Provide 15m-20m  long RCC retaining wall","650,000"
"955","Amba kumbura canal","Erosion of canal embankment","7.25334","80.646825","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","339,300"
"955","Dungahamula canal","No reservation boundary","7.253244167","80.64509722","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","226,200"
"955","Dungahamula canal","Need drainage under crossing","7.253381389","80.64510278","Construction of an undercrossing structure with a garbage trap using 600mm dia concrete pipes and a  GI gabion box cage.","137,800"
"955","Dungahamula canal","Canal  seepage: debris trap need","7.253563889","80.64505556","Construction of a garbage trap using 600mm dia concrete pipes and a  GI gabion box cage.","68,900"
"955","Dungahamula canal","Need drainage under crossing","7.253758333","80.64510556","1. Earth filling of 3m wide and length about 50 m area.  
2. Construction of a garbage trap using 600mm dia concrete pipes and a  GI gabion box cage.","182,000"
"962","Thibbotuwawe canal","weak L/B Embankment need earth fill","7.25195","80.66269","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"962","Thibbotuwawe canal","Siltation: Need silt ejector","7.2528","80.663","Construct a silt ejector with a downstream gate","260,000"
"962","Thibbotuwawe canal","Canal leaks need concreting","7.25174","80.66687","Demolish and reconstruct a 100mm thick, 0.4m  wide  and 0.3m high and 100m long canal with grade 25 concrete  -single banking","650,000"
"962","Thibbotuwawe canal","weak L/B Embankment need earth fill","7.25226","80.66536","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","226,200"
"962","Imbulhitiyawa canal","weak L/B Embankment, need earth fill","7.252557222","80.66445556","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","226,200"
"962","Imbulhitiyawa canal","Canal damage due to overflow, need canal spill","7.252525","80.66642778","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"962","Imbulhitiyawa canal","weak L/B Embankment, need earth fill & retaining wall","7.252110278","80.66723806",,"452,400"
"964","Uuranheramula Anicut","No d/s  reservation of the canal.","7.24302","80.65507","1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length of about 200 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","226,200"
"964","Uuranheramula Anicut","damaged anicut planks","7.239723056","80.65293611","Provide anicut planks","52,000"
"964","Uuranheramulla canal","Leaks in the canal","7.2415","80.6545","1. Earth filling to narrow tracks to form channel bund of 1 - 1.5m wide and length about 100 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","113,100"
"964","Middle canal","No d/s  reservation of the canal.","7.240462222","80.65287222","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","226,200"
"964","Feeder Canal","Leaks in the canal","7.239516389","80.65439722","1. Earth filling to narrow tracks to form channel bund of 1 -  1.5m wide and length of about 200 m.2. Protection by turfing sods with vetiver grass rows. or 3. Cultivate edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface.","226,200"
,"Total","23,402,210",,,,
