FID,No_,GND,Scheme_Nam,Problem_to,N,E,Recommende,Estimated,Soil Erosion Class
38,39,962,Hene Jala Kandura,severe erosion in embankment,7.255,80.668395,"1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.",213000,5
39,40,962,Dodamgedara stream,severe erosion in embankment,7.249290833,80.66877111,"1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.",213000,5
40,41,962,Ethulgama Ini Kandura,severe erosion in embankment,7.2525,80.66306,"1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.",213000,2
41,42,962,Stream near Seneviratne land,severe erosion in embankment,7.252927778,80.66592778,"1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.",213000,5
42,43,962,Dewagolla stream,severe erosion in embankment,7.256621111,80.66788056,"1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.",213000,4
43,44,962,Mala Kandura,severe erosion in embankment,7.255286111,80.66742944,"1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.",213000,5
44,45,962,Bulugaha stream,severe erosion in embankment,7.2557,80.67101389,"1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.",213000,1
45,46,962,Ajith stores Mala Kandura,severe erosion in embankment,7.25526,80.66948,"1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.",213000,1
46,47,962,Stream Dewagollawatta,severe erosion in embankment,7.25587,80.67012,"1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.",213000,3
47,48,964,Igurugolla stream,Erosion in both embankments,7.243463889,80.656025,"1. Earth filling to section of  300m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 300 m2.",358500,1
48,49,964,Beerawala stream,Erosion in both embankments,7.24147,80.65469,"1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Plant two lines of Areca nut trees beside the reserve and cultivate betel creeper inside an area of around 200 m2.",213000,1
49,50,964,Suraganaya Oya,Erosion in both embankments,7.239722222,80.65293889,"1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.",213000,1
50,51,964,Maha Oya,Erosion in both embankments,7.23766,80.65795,"1. Earth filling to section of  200m long, 1.5m wide and 0.5 depth.
2. Protection by turfing sods with vetiver grass rows.
3. Plant two lines of Areca nut trees beside the reserve, and cultivate betel creeper inside an area of around 200 m2.",213000,4
