"Table 5.4: Estimate of domestic water supply related activities","","","","","",""
"GND No","Area","N","E","Observation","Description","Amount  LKR"
"533E","I.R.D.P Colony water Supply","6.99302","80.89709","This is a ferro cement tank (Dia=2.6m, H=1.5m). This is currently in use.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","817,300"
"533E","Silvakanda Estate","6.99749","80.89293","Existing water in the RRM stock tank (l=5.3m, W=2.7m, h=1.8m) is leaking.","Construction of Concrete water storage tank of 20 cum - size internal t 3mx3mx2.5","742,500"
"533F","Three tanks are located on private land",,,,"Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","817,300"
"533G","Udaya Pura Village","76744","80.892902","The tank is in good condition. Water should be brought to this tank from the world vision tank. This pipeline is dilapidated","Providing PVC pipes, pipe joints, etc. to convey water from tank","15,000"
"533G","Udaya Pura Village","73115","80.891197","Currently water is obtained informally. The tank is in some places leaking.","12.5mm thick, rough ct. Plaster in 1:3 cement sand mortar semi rough finish (UR55)1:2:4 (20mm) concrete manual mix (volume)","100,000"
"533G","Udaya Pura Village","71504","80.890616","Currently water is obtained informally. The tank is in some places leaking.","12.5mm thick, rough ct. Plaster in 1:3 cement sand mortar semi rough finish (UR55)Providing PVC pipes, pipe joints, etc. to convey water from tank","15,000"
"533G","Udaya Pura Village","76698","80.891545","this is an abandoned water tank. tank. Some people have dig private pits and get water","12.5mm thick, rough ct. Plaster in 1:3 cement sand mortar semi rough finish (UR55)Providing PVC pipes, pipe joints, etc. to convey water from tank","15,000"
"533H","water supply project in teppukolama tank","76735","80.878417","Water is taken for cultivation","Providing PVC pipes, pipe joints, etc. to repair leaks","15,000"
"533K","St. Magret estate","7316","80.90756","Existing water in the RRM stock tank(l=5.3m, W=2.8m, h=1.8m) is leaking.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5mExcavation in trenches less than 300mm width in normal earth average depth of not exceeding 1.0m from ground level inclusive of back filling, compacting and disposal of surplus earth Supplying & laying 63mm Dia PVC pipeline in plain ended type in PN-11 rate including socket, solvent cement, etc.","1,006,500"
"533L","1.Delmar Middle Division","73771","80.884961","Located on Delmar estate Middle Division. There are no big trees. A RRM collecting pit (L=4m, W=3.5m, D=3m) is built around the spring. Water is pumped from it and sent to the stock tanks and distributed for daily consumptions. Two 5000L Plastic tanks are used for stock tank. Aland of about 30 Perches. Boundaries are marked","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","74,800"
"533L","2.Delmar Middle Division","70177","80.882502","A groups of water springs located on in the upper part of theppokulama lake.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropProviding PVC pipes, pipe joints, etc.. to convey water from tank","116,200"
"533L","3.Delmar Middle Division - New colony","77311","80.880635","Located on theppokulama oya. Water collected in a catch pit (L=0.9m, W=0.45m, H=0.3m) and taken to the stock tank (L=3m, W=2.4m, H=2m). The villagers say that the water stock is not sufficient. The pipe system should also repaired using new PVC pipes.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval
Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropConstruction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Providing PVC pipes, pipe joints, etc.. to convey water from tank","858,700"
"533L","4.Delmar Middle Division","72125","80.884125","This was manual tube well. Currently, a submersible pump is installed to pump the water. Although the pump room ha completed, electricity has not been received. Stock tank has not been constructed now. 6 stock tanks have been constructed at various places and planned to distribute water.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Providing PVC pipes, pipe joints, etc. to convey water from tank","757,500"
"533L","5.Delmar Middle Division","76931","80.876918","A groups of water springs located on in the upper part of theppokulama lake.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropProviding PVC pipes, pipe joints, etc.. to convey water from tank","89,800"
"533L","6.Gorden estate","6.982308","80.871439","Located on the Gordon estate. A grassy area. There is a group of water springs. At present, The water collected in a collecting pit (L=0.9m, W=0.9m, H=0.75m) and distributed for the daily consumption of the villager.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropConstruction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5m","817,300"
"533L","7.Delmar Middle Division","70177","80.882502","There is a filter system, but it does not filter the water due to lack of proper maintenance and there are two 1000L PVC stock tanks to store water. There is also an RRM stock tank which was previously used but is not being used to water leakage.  This water is brought to another GND.","Repair and maintenance of pipe systems, RRM stock tank and filter system","20,000"
"533L","8.Delmar UD","6.991996","80.872219","Located on the Delma estate. A well is dug in the ground and the water is collected and used. There are no large trees around the water spring.","Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.Construction of 2 m long, 1.2 m high RR masonry retaining wallProvide protective net over existing well Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","187,840"
"533L","9.Delmar UD - Tea Field 11","6.99455","80.875854","Located on the Delma estate. A well is dug in the ground and the water is collected and used. There are no large trees around the water spring.","Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.Construction of 3.8 m long, 2 m high RR masonry retaining wall                                                                                                                                             Provide protective net over existing well Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","262,293"
,,,,"Total",,"10,491,303"
