"Table 5.5: Estimate of water source protection-related activities","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  LKR"
"533E","Field No-07  Selvakanda Estate","6.9938","80.8919","Located on the Selvakodi Weldemar estate. Existing water in the stock tank(l=2.5m, W=1.9m, h=1m) is leaking.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Providing PVC pipes, pipe joints, etc.. to convey water from tank Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","832,300"
"533E","Field No-08  IRDP coloney -Alnwick","6.9887","80.8965","A well is dug in the ground and the water is collected and used.","Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.Construction of a 10 m long, 1 m high RR masonry retaining wallProvide protective net over existing wellVegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","378,850"
"533E","Alnwick coloney","6.9861","80.8936","A spring to be conserved","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","17,380"
"533E","I.R.D.P colony","6.9887","80.8965","A spring to be conserved","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","17,380"
"533E","Waldemar Estate","6.9815","80.8928","A spring to be conserved","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","32,120"
"533E","Amherst Estate","6.9790","80.8760","A spring to be conserved","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","25,300"
"533F","Pila Spring in  Rokland section","7.0158","80.8976","Currently available as a spring","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Provide protective net over existing well Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","832,300"
"533F","Spring of line house segment number four","7.0118","80.9008","Existing water in the stock tank(l=1.6m, W=1.6m, h=0.9m) is leaking.","12.5mm thick rough ct.plaster in 1:3 cement sand mortar semi rough finish (UR55)","10,990"
"533F","Public well near Suriya Gahapathana School","795","80.8964","Existing water in the stock tank(l=1.7m, W=1.5m, h=1.2m) is leaking.","12.5mm thick rough ct.plaster in 1:3 cement sand mortar semi rough finish (UR55)1:2:4 (20mm) concrete with concrete mixer  (volume batching) Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","60,707"
"533F","Watershed located in the Delmar section","771","80.8895","A spring to be conserved","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","74,800"
"533F","Public well near Suriyagahapathana school","795","80.8964","A spring to be conserved","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","74,800"
"533H","sourse of near the B.M.Pemachandra,s land","7.0119","80.8858","Water is taken for cultivation","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval
Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","74,800"
"533H","sourse of near the S.Pathmasugam,s land","7.0117","80.8857","a water tank has built Water is taken for cultivation for only one family, water is obtained by teppukulama tank","Providing PVC pipes, pipe joints, etc.. to convey water from tank","10,000"
"533H","Sourse of Senarathpura forest reservation","7.0148","80.8933","Water is taken for , drinking and bathing,","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval
Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","101,200"
"533H","Tala alla steam reservation","7.0119","80.8858","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval.
Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","101,200"
"533H","Bakamoona Wewa","7.0180","80.8966","Currently there is no lake ,No bund, currently there is a rural road.houses are built around the reserve.if the bund is constructed,the houses will be submerged","Canal reservation protection by concrete lining  For  100mm thick, 0.3m wide  and 0.3m high canal Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval
Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropStream / canal reservation protection by earth filling of strip   of 1.5m to 2m wide  and average Depth of 0.5m","283,800"
"533K","St. Marget Estate","731","80.9080","Located on the St.Margret  estate. Existing water in the stock tank(l=2.0m, W=1.8m, h=1.2m) is leaking.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Providing PVC pipes, pipe joints, etc. to convey water from tank Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","832,300"
"533K","Tuuouse Estate","6.9959","80.9216","Located on the tuuouse estate. Water is taken for drinking","Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining WallProviding PVC pipes, pipe joints, etc. to convey water from tank Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","650,400"
"533K","Enwick upper division","6.9797","80.8989","Located on the Enwick estate. Water is taken for drinking","Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","105,600"
"533K","Enwick lower division","6.9959","80.9049","Located on the Enwick lower division. Existing water in the stock tank (l=1.5m, W=1.6m, h=1.1m)","Providing PVC pipes, pipe joints, etc.. to convey water from tank","15,000"
"533K","St. Marget Estate","731","80.9080","The tea lands belong to st.Marget estate. An area with small trees.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","25,300"
"533K","Tuuouse Estate","6.9959","80.9216","The tea lands belong to Tuuouse estate. An area with small trees.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","37,400"
"533K","Enwick upper division","6.9797","80.8989","The tea lands belong to Enwick upper division. An area with small trees.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","37,400"
"533K","Enwick lower division","6.9959","80.9049","The tea lands belong to Enwick lower division. An area with small trees.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","37,400"
"533L","Near the Delmar UD Factory(Dam-Theppakvalan)","769","80.8769","A groups of water springs located on  in the upper part of theppokulama lake.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropProviding PVC pipes, pipe joints, etc.. to convey water","71,320"
"533L","Goarden Estate","6.9823","80.8714","Located on the Gordon estate. A grassy area. There is group of water springs. At present, The water collected in a collecting pit(L=0.9m, W=0.9m, H=0.75m) and distributed for the daily consumption of the villager.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval
Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop                                                 
Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","843,700"
"533L","Grazeline Estate - Tea Field 42,43","6.9849","80.8598","Located on the Grezeline estate. A small collecting pit has been constructed ti using stone and soil.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop           Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.                                                Spreading piled GravelEarth compaction","819,000"
"533L","Delmar UD Tea Field-11","773","80.8806","Located on theppokulama oya. Water collected in a catch pit (L=0.9m, W=0.45m, H=0.3m) and taken to the stock tank (L=3m, W=2.4m, H=2m). The villagers say that the water stock is not sufficient. The pipe system should also repair busing new PVC pipes.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop.
Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","817,300"
"533L","Delmar UD Tea Estate                               No-03","6.9920","80.8722","Located on the delma estate. A well is dug in the ground and the water is collected and used. There are no large trees around the water spring.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval
Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropProvide protective mesh over tank150mm x 225mm Random Rubble masonry work in 1:5 cement and sand mortar in structuresEarth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.","89,800"
"533L","Delmar UD - Tea Field 11","6.9946","80.8759","Located on the delma estate. A well is dug in the ground and the water is collected and used. There are no large trees arrond the water spring.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop150mm x 225mm Random Rubble masonry work in 1:5 cement and sand mortar in structuresEarth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.","74,800"
"533L","Delmar UD","6.9946","80.8759","The tea lands belong to Delmar estate. An area with small trees.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalVegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","56,320"
"533L","Delmar MD New colony","769","80.8769","The tea lands belong to Delmar estate. An area with small trees.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval
Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","56,320"
"533L","Delmar MD Near Delmar UD Dane","769","80.8824","The tea lands belong to Delmar estate. An area with small trees.","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval
Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","56,320"
,,,,"Total",,"9,306,003"
