"Table 5.5: Cost estimate of domestic water supply","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  LKR"
"1137","Hillside spring of Wariyagala GND","7.207041","80.637025","Located on Wariyagala GND. Water is drown from the Wariyagala canal and distributed.  There are no boundaries. The plumbing system is dilapidated. (Stock tanks and filtration system Location- N-7.205521, E-80.637339)","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","104,500"
,,,,,"Construction of a maintenance room (8'x6')",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1137","Water source at the Kurusa Handiya","7.198816","80.644730","Water is drown from the Nillamba tank pita ela canal and distributed.  There are no boundaries.  (Stock tanks and filtration system Location- N-7.198579, E-80.644651). The water filtration system is not working properly.","Construction of new catchpit (1.2m x 1.2m x 0.9m)","126,500"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1137","Water source at the Kurusa Handiya","7.198816","80.64473","Water is drown from the Nillamba tank pita ela canal and distributed.  There are filtration system and no boundaries. (Stock tanks Location- N-7.198492, E-80.644747).","Construction of new catchpit (1.2m x 1.2m x 0.9m)","390,500"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
,,,,,"Establishing a water filtering system",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1137","Hillside spring of Wariyagala","7.206154","80.637227","Located on Wariyagala GND. Water is drown from the Hillside canal and distributed through a stock tank (Stock tank L=1.5m W=1m H=1m). There are filtration system and no boundaries.","Establishing a water filtering system","324,500"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1158","Spring (spout) near the Pihibiyahena Imbulgaha","7.200754","80.615064","There are no boundaries. It is located in the forest. There was a water project before, but the stock tank has been destroyed due to non operation.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","198,000"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1158","Spring at the reservation of Japan Buddhist division","7.199260","80.620566","Currently unused and overgrown with weeds. No boundaries or large trees.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","412,500"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1161","Hanthana reservation","7.211578","80.638749","The boundaries are not marked. Turpentine trees have been planted. Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","1,210,000"
,,,,,"Contingancies 10%",
"1160","Watagoda","7.218985","80.628893","This is watagoda main canal reserve land. There are no boundaries and the number of large trees is very small.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","96,800"
,,,,,"Contingancies 10%",
"1160","Haloya","7.210471","80.626635","This is Haloya canal reserve land. There are no boundaries and the number of large trees is very small.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","96,800"
,,,,,"Contingancies 10%",
"1137","Water source at the Kurusa Handiya","7.198876","80.644453","There are no boundaries and the number of large trees is very small. Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","1,210,000"
,,,,,"Contingancies 10%",
"1137","Nillamba dam and nillamba oya reserve","7.189483","80.632321","There are no boundaries. Garbage is dumped on this reserve.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","1,210,000"
,,,,,"Contingancies 10%",
"1162","Pathana area of Galoya village","7.218495","80.61685","There is a pine plantation. The boundaries are not marked.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","387,200"
,,,,,"Contingancies 10%",
"1162","Padurugalpoththa Oya","7.210191","80.61592","These are land along the banks of water streams. The garbage has been dumped. Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","242,000"
,,,,,"Contingancies 10%",
"1162","Galoya Oya","7.220370","80.611931","These are land along the banks of water streams. The garbage has been dumped. Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","242,000"
,,,,,"Contingancies 10%",
"1162","Konapalama Oya","7.213706","80.620345","These are land along the banks of water streams. The garbage has been dumped. Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","242,000"
,,,,,"Contingancies 10%",
"1162","Watagoda Oya","7.219397","80.625811","These are land along the banks of water streams. The garbage has been dumped. Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","242,000"
,,,,,"Contingancies 10%",
"1158","Reservation of 'Akkara 10'","7.200191","80.615677","There are no boundaries and the number of large trees is very small.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","1,210,000"
,,,,,"Contingancies 10%",
"1158","Reservation of Japan Buddhist division","7.199041","80.620241","There are no boundaries and the number of large trees is very small. Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","968,000"
,,,,,"Contingancies 10%",
,,,,"Total",,"11,294,800"
