"Table 5.25: Key stakeholders of Tea lands","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate  LKR","Amount  LKR","Duration"
,,"Transport cost (to the nearest motorable place) 100 boundary posts/ lorry load","1","2,500","2,500","2,500",
,,"Head load - Transport boundary posts to the forest boundary","30","Man days","2,500","75,000",
,,"Holing (500 mm x 200mm x 200)","6","Man days","2,500","15,000",
,,"Preparation field and erection","6","Man days","2,500","15,000",
,,"Cost of Cement, metal and sand","60","nr","375","22,500",
,,"Head load -Transport Cement, metal and sand","24","Man days","2,500","60,000",
,,,,,"Sub Total","465,000",
,,"Contingency (10%)",,,,"46,500",
,,,,,"Total","511,500",
"Opening fire belts – 3 km","Hanthana forest reserve 
7.22838, 80.63204","Clearing fire belt opened previously (10 m).   - (75 Man days/km)","375","Man days","2,500","937,500","2027"
,,,,,"Sub Total","937,500",
,,"Contingency (10%)",,,,"93,750",
,,,,,"Total","1,031,250",
"Opening fire belts – 5.25 km","Hanthana forest reserve 
7.22514, 80.63464","Clearing fire belt opened previously (10 m).   - (75 Man days/km)","656","Man days","2,500","1,640,625","2027"
,,,,,"Sub Total","1,640,625",
,,"Contingency (10%)",,,,"164,063",
,,,,,"Total","1,804,688",
"Opening fire belts – 1.5 km","Hanthana forest reserve 
77.20934, 80.64655","Clearing fire belt opened previously (10 m).   - (75 Man days/km)","188","Man days","2,500","468,750","2027"
,,,,,"Sub Total","468,750",
,,"Contingency (10%)",,,,"46,875",
,,,,,"Total","515,625",
"Maintenance of fire belts 3 km (4 times)","Hanthana forest reserve 
7.22838, 80.63204","Clearing fire belt opened previously (10 m).   - (75 Man days/km)","225","Man days","2,500","562,500","2028"
,,"Clearing fire belt opened previously (10 m).   - (75 Man days/km)","225","Man days","2,500","562,500","2029"
,,"Clearing fire belt opened previously (10 m).   - (75 Man days/km)","225","Man days","2,500","562,500","2030"
,,"Clearing fire belt opened previously (10 m).   - (75 Man days/km)","225","Man days","2,500","562,500","2031"
,,,,,"Sub Total","2,250,000",
,,"Contingency (10%)",,,,"225,000",
,,,,,"Total","2,475,000",
"Maintenance of fire belts 5.25 km (4 times)","Hanthana forest reserve 
7.22514, 80.63464","Clearing fire belt opened previously (10 m).   - (75 Man days/km)","394","Man days","2,500","984,375","2028"
,,"Clearing fire belt opened previously (10 m).   - (75 Man days/km)","394","Man days","2,500","984,375","2029"
,,"Clearing fire belt opened previously (10 m).   - (75 Man days/km)","394","Man days","2,500","984,375","2030"
,,"Clearing fire belt opened previously (10 m).   - (75 Man days/km)","394","Man days","2,500","984,375","2031"
,,,,,"Sub Total","3,937,500",
,,"Contingency (10%)",,,,"393,750",
,,,,,"Total","4,331,250",
"Maintenance of fire belts 1.5 km (4 times)","Hanthana forest reserve 
77.20934, 80.64655","Clearing fire belt opened previously (10 m).   - (75 Man days/km)","113","Man days","2,500","281,250","2028"
,,"Clearing fire belt opened previously (10 m).   - (75 Man days/km)","113","Man days","2,500","281,250","2029"
,,"Clearing fire belt opened previously (10 m).   - (75 Man days/km)","113","Man days","2,500","281,250","2030"
,,"Clearing fire belt opened previously (10 m).   - (75 Man days/km)","113","Man days","2,500","281,250","2031"
,,,,,"Sub Total","1,125,000",
,,"Contingency (10%)",,,,"112,500",
,,,,,"Total","1,237,500",
,,,,"Grand Total","15,613,648",,
