"Table 5.42: Timeframe for the implementation","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency  GoSL","Final cost to LA  GoSL  Rs"
,"Supply of Mandarin Seedlings",,"200","300","60,000.00","100%","60,000.00"
,"Supply of Trichoderma (1-liter bottles)",,"12","1,000","12,000.00","100%","12,000.00"
,"Supply of Mango Seedlings",,"40","300","12,000.00","100%","12,000.00"
"Export Crops","Coffee","Adilarigama-100 Higurukaduwa-500 Mirahampe-200 Mudunapita-500 sangarajagama-50","1350","30","40,500.00","100%","40,500.00"
,"Pepper","Adilarigama-100 Abewela2- 200 Gangaudagama-600 Higurukaduwa- 1000 Karalliyadda-2000 Maliyadda1- 1000 Mirahampe-200 Mudunapita-1000 Sangaraja gama-200","4300","40","172,000.00","100%","172,000.00"
,"Vanila","Ambewela2- 400 Gangaudagama-600 Higurukaduwa- 240 Karalliyadda-300 Maliyadda1- 260 Malulla-3000 Mudunapita-500 Sangaraja gama-40","5340","40","213,600.00","100%","213,600.00"
,"Clove","Ganga Udagama-400 Karalliyadda- 200 Maliyadda1-30 Malulla-200 sangarajagama-20","850","130","110,500.00","100%","110,500.00"
,"Ginger","Ganga udagama-900 Maliyadda1-500 Malulla- 1500 Mirahampe- 100 Sangarajagama-100","3100","18","55,800.00","100%","55,800.00"
"Livestock","No of cow","Ganga udagama-10 Idamalanda-6 Karalliyadda-6 Mudunapita- 4 Sangaraja gama-2","28","250,000.00","7,000,000.00","50%","3,500,000.00"
,"No of goat","Ganga udagama-10 Idamalanda-3 Karalliyadda-5","18","40,000.00","720,000.00","50%","360,000.00"
,"No of chicks","Ambewela2--50, Ganga udagama-100 Idamalanda -950 Karalliyadda-40 malulla-50 mirahampe-10 mudunapita -200 sinharajagama-200","1,600","1,500.00","2,400,000.00","50%","1,200,000.00"
,"No of sheds - cow","Ganga udagama-5 Idamalanda-3 Karalliyadda-5 Mudunapita- 15 Sangaraja gama-2","30","300,000.00","9,000,000.00","50%","4,500,000.00"
,"No of sheds - goat","Ganga udagama-5 Idamalanda-1 Karalliyadda-2","8","150,000.00","1,200,000.00","50%","600,000.00"
"Protected Agriculture","Polytunnel","Idamalanda-2 Karalliyadda- 1 Maliyadda1-1 malulla-1 Mudunapita- 1 Sangarajagama- 2","8","700,000.00","5,600,000.00","50%","2,800,000.00"
"Value added products","Bee keeping (Box 4000/= & 4000/= bees)","Ambewela2--5 Ganga udagama-20 malulla-5 mudunapita-6 sangaraja gama-20","56","8,000.00","448,000.00","75%","336,000.00"
,"Curry powder grinding","Ambewela2-1 Ganga udagama-2 malulla-3 mirahampe-1 sangaraja gama-2","9","120,000.00","1,080,000.00","50%","540,000.00"
,"Jackfruit drying machines","Ambewela2-1","1","850,000.00","850,000.00","50%","425,000.00"
,"Ginger slicing machine","Sangaraja gama-1","1","150,000.00","150,000.00","50%","75,000.00"
,"Areca nut slicing machines","Sangaraja gama-1","1","150,000.00","150,000.00","50%","75,000.00"
"Total Cost",,,,,"33,694,900.00",,"18,696,650.00"
