"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-013 belongs to Hanguranketha DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,"2. Soil conservation practices - Agalamulla (75°)","4","7.197229","80.779983","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","4,000,000",,,,,,,,,,,
"8","488","Malulla","1. Soil conservation practices - Malulla Wewa (60°)","4","7.190828","80.789431","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","4,000,000",,,,,,,,,,,
"9","487B","Mirahampe","1. Soil conservation practices -Gama Meda (70°)","3","7.190384","80.780617","2.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","700,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Mirahampe (80°)","4","7.90179","80.780172","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Mirahampe (70°)","1","7.191158","80.779617","1.6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","400,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Mirahampe (Katu Akula) (80°)","4","7.193867","80.77885","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","5,100,000",,,,,,,,,,,
"10","487A","Mudunapita","1. Soil conservation practices - Sri Neegrodharama Viharaya (55°)","3","7.18412","80.787535","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","62,500","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Boragahamadiththa Deepaloka Primary School (50°)","3","7.183868","80.785904","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Miriswaththa (80°)","4","7.181274","80.78869","3.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","800,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Miriswaththa (80°)","4","7.181631","80.78961","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Galbokka (70°)","1","7.179421","80.790283","3.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","800,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Galbokka (75°)","5","7.178172","80.790493","3.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","800,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","3,337,500",,,,,,,,,,,
"11","494B","Sangaraja Gama","1. Soil conservation practices - Sangaraja Gama (30°)","1","7.182076","80.782114","0.6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","400 m-1","240,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Sangaraja Gama (45°)","4","7.181234","80.783623","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,240,000",,,,,,,,,,,
"12","494F","Udawatta Kumbura","1. Soil conservation practices - Udawaththa Kumburu Govipala (65°)","1","7.176026","80.787355","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Udawatta Kumbura (20°)","5","7.174077","80.783067","28 ha","Lock and spills and stone terracing/live fencing, as applied","400 m-1","11,200,000","Labour and other basic services by the Local community","1.5 Years"
,,,"3. Soil conservation practices - Udawatta Kumbura (40°)","4","7.17635","80.783124","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","14,450,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"97,502,500",,
