No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Sum of Costs (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation
48,485,Karalliyadda,6. Soil conservation practices - Karadan Wewa (65°),1,On,7.203946,80.782685,2.4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"600,000.00",,Labour and other basic services by the Local community,0.5 Years
49,485,Karalliyadda,7. Soil conservation practices - Bogahalanda (60°),1,On,7.205721,80.785869,16 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"4,000,000.00",,Labour and other basic services by the Local community,0.5 Years
50,485,Karalliyadda,8. Soil conservation practices (30°),3,On,7.204733,80.786314,2 ha,"Lock and spills
Stone terracing/live fencing, as applied",400.00 m-1,"800,000.00",,Labour and other basic services by the Local community,0.5 Years
51,485,Karalliyadda,9. Soil conservation practices - Meneripitiya (45°),1,On,7.202769,80.783683,4.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,200,000.00",,Labour and other basic services by the Local community,0.5 Years
52,485,Karalliyadda,10. Soil conservation practices - Karalliyadda (10°),3,On,7.20127,80.778932,8 ha,"Lock and spills
Stone terracing/live fencing, as applied",400.00 m-1,"3,200,000.00",,Labour and other basic services by the Local community,0.5 Years
53,485,Karalliyadda,11. Constructing a retaining wall - Bogahalanda,1,Off,7.205475,80.78619,6 m x 4.5 m,Retaining wall,"2,000.00 m-2","54,000.00",,Labour and other basic services by the Local community,0.5 Years
54,485,Karalliyadda,12. Constructing a retaining wall - Gonakan Thenna,1,Off,7.204205,80.786344,6 m x 4.5 m,Retaining wall,"2,000.00 m-2","54,000.00",,Labour and other basic services by the Local community,0.5 Years
55,485,Karalliyadda,13. Constructing a retaining wall - Karalliyadda,3,Off,7.204774,80.783901,9 m x 7.5 m,Retaining wall,"2,000.00 m-2","135,000.00","12,903,000.00",Labour and other basic services by the Local community,0.5 Years
56,485C,Maliyadda1,1. Renovation of natural drains - Kandura flowing across the village,2,Off,7.196472,80.782246,2.2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"220,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
57,485C,Maliyadda2,2. Renovation of natural drains - Kandura at the middle of the village,4,Off,7.197206,80.781789,1.1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"110,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
58,485C,Maliyadda3,3. Soil conservation practices - Agalamulla (75°),1,On,7.198579,80.780286,7.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"2,000,000.00",,Labour and other basic services by the Local community,0.5 Years
59,485C,Maliyadda4,4. Soil conservation practices - Agalamulla (75°),4,On,7.197229,80.779983,8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"2,000,000.00",,Labour and other basic services by the Local community,0.5 Years
60,485C,Maliyadda5,5. Constructing a retaining wall near the Maliyadda Thotupala (ferry),4,Off,7.196741,80.782173,9 m x 1.8 m,Retaining wall,"2,000.00 m-2","32,400.00",,Labour and other basic services by the Local community,0.25 Years
61,485C,Maliyadda6,6. Constructing a retaining wall at the middle of Palle Gam Medda,4,Off,7.198209,80.783222,3 m x 3.6 m,Retaining wall,"2,000.00 m-2","21,600.00",,Labour and other basic services by the Local community,0.25 Years
62,485C,Maliyadda7,7. Constructing a retaining wall - Gonagaha Kanda,1,Off,7.198797,80.782781,9 m x 7.5 m,Retaining wall,"2,000.00 m-2","135,000.00","4,519,000.00",Labour and other basic services by the Local community,0.5 Years
63,488,Malulla,1. Renovation of natural drains - Malulla Wewa Pitawana Kandura,3,Off,7.190606,80.790131,750 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"75,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
64,488,Malulla,2. Soil conservation practices - Malulla Wewa (60°),4,On,7.190828,80.789431,16 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"4,000,000.00","4,075,000.00",Labour and other basic services by the Local community,0.5 Years
65,487B,Mirahampe,1. Renovation of natural drains - Gama Meda Kandura,4,Off,7.190186,80.780997,700 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"70,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
66,487B,Mirahampe,2. Renovation of natural drains - Torrent/kandura near the community hall,4,Off,7.190261,80.781519,600 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"60,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
67,487B,Mirahampe,3. Soil conservation practices -Gama Meda (70°),3,On,7.190384,80.780617,2.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"700,000.00",,Labour and other basic services by the Local community,0.5 Years
68,487B,Mirahampe,4. Soil conservation practices - Mirahampe (80°),4,On,7.190179,80.780172,12 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"3,000,000.00",,Labour and other basic services by the Local community,0.5 Years
69,487B,Mirahampe,5. Soil conservation practices - Mirahampe (70°),1,On,7.191158,80.779617,1.6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"400,000.00",,Labour and other basic services by the Local community,0.5 Years
70,487B,Mirahampe,6. Soil conservation practices - Mirahampe (Katu Akula) (80°),4,On,7.193867,80.77885,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00","5,230,000.00",Labour and other basic services by the Local community,0.5 Years
71,487A,Mudunapita,1. Renovation of natural drains - Miriswatta Kandura,2,Off,7.183472,80.78568,1.2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"120,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
72,487A,Mudunapita,2. Renovation of natural drains - Galbokka Kandura,5,Off,7.18154,80.78819,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
73,487A,Mudunapita,3. Renovation of natural drains - Gole Kandura,1,Off,7.184214,80.78854,1.7 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"170,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
74,487A,Mudunapita,4. Renovation of natural drains - Miriswatta Kandura 1,5,Off,7.180845,80.78845,1.7 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"170,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
75,487A,Mudunapita,5. Soil conservation practices - Sri Neegrodharama Viharaya (55°),3,On,7.18412,80.787535,0.25 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"62,500.00",,Labour and other basic services by the Local community,0.5 Years
76,487A,Mudunapita,6. Soil conservation practices - Boragahamadiththa Deepaloka Primary School (50°),3,On,7.183868,80.785904,1.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"375,000.00",,Labour and other basic services by the Local community,0.5 Years
77,487A,Mudunapita,7. Soil conservation practices - Miriswatta (80°),4,On,7.181274,80.78869,3.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"800,000.00",,Labour and other basic services by the Local community,0.5 Years
78,487A,Mudunapita,8. Soil conservation practices - Miriswatta (80°),4,On,7.181631,80.78961,2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"500,000.00",,Labour and other basic services by the Local community,0.5 Years
79,487A,Mudunapita,9. Soil conservation practices - Galbokka (70°),1,On,7.179421,80.790283,3.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"800,000.00",,Labour and other basic services by the Local community,0.5 Years
80,487A,Mudunapita,10. Soil conservation practices - Galbokka (75°),5,On,7.178172,80.790493,3.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"800,000.00","3,947,500.00",Labour and other basic services by the Local community,0.5 Years
81,494B,Sangaraja Gama,1. Renovation of natural drains - Torrent/kandura at the boundary of Sangaraja Gama and Upawaththa paddy fields,2,Off,7.181651,80.781987,3.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"350,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
82,494B,Sangaraja Gama,2. Renovation of natural drains - Polonwala Kandura (Kakkutu Kandura),4,Off,7.183424,80.778531,2.6 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"260,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
83,494B,Sangaraja Gama,3. Soil conservation practices - Sangaraja Gama (30°),1,On,7.182076,80.782114,0.6 ha,"Lock and spills
Stone terracing/live fencing, as applied",400.00 m-1,"240,000.00",,Labour and other basic services by the Local community,0.25 Years
84,494B,Sangaraja Gama,4. Soil conservation practices - Sangaraja Gama (45°),4,On,7.181234,80.783623,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00","1,850,000.00",Labour and other basic services by the Local community,0.25 Years
85,494F,Udawatta Kumbura,1. Renovation of natural drains - Diya Thala Kanda Kandura,1,Off,7.175591,80.787447,5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"500,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
86,494F,Udawatta Kumbura,2. Renovation of natural drains - Udawatta Kumbura Kandura,4,Off,7.1791,80.784699,4.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"450,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
87,494F,Udawatta Kumbura,3. Soil conservation practices - Udawatta Kumburu Govipala (65°),1,On,7.176026,80.787355,12 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"3,000,000.00",,Labour and other basic services by the Local community,0.25 Years
88,494F,Udawatta Kumbura,4. Soil conservation practices - Udawatta Kumbura (20°),5,On,7.174077,80.783067,28 ha,"Lock and spills
Stone terracing/live fencing, as applied",400.00 m-1,"11,200,000.00",,Labour and other basic services by the Local community,0.25 Years
89,494F,Udawatta Kumbura,5. Soil conservation practices - Udawatta Kumbura (40°),4,On,7.17635,80.783124,1 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"250,000.00","15,400,000.00",Labour and other basic services by the Local community,0.25 Years
Grand Total,,,,,,,,,,,"106,225,500.00",,,
