ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,geojson,Year
25,MWS-013,Proposal,Forest management,Dominant species found in the natural vegetation in Upper Mahaweli Watershed,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_25.csv,
26,MWS-013,Proposal,Forest management,Some characteristic species recorded in MWS-013,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_26.csv,
27,MWS-013,Proposal,Forest management,Deforestation and degradation drivers in the MWS-013,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_27.csv,
28,MWS-013,Proposal,Forest management,Forest reserves and their protection status in MWS-013,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_28.csv,
29,MWS-013,Proposal,Forest management,Forest Plantation with exotic species in the MWS-013,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_29.csv,
30,MWS-013,Proposal,Forest management,Causes of forest fires in the MWS-013,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_30.csv,
31,MWS-013,Proposal,Forest management,Suitable species for restoration and home garden enrichment,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_31.csv,
32,MWS-013,Proposal,Forest management,Stakeholder involvement in the MWS-013,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_32.csv,
33,MWS-013,Proposal,Forest management,Log frame for forest management in the mini watershed,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_33.csv,
34,MWS-013,Proposal,Forest management,Proposed interventions MWS-013,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_34.csv,
35,MWS-013,Proposal,Tea land management,Key stakeholders of Tea lands,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_35.csv,
36,MWS-013,Proposal,Tea land management,Estimated cost to be incurred for planting one hectare of tea lands,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_36.csv,
37,MWS-013,Proposal,Tea land management,Five-year plan MWS-013,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_37.csv,
38,MWS-013,Proposal,Tea land management,Total estimated cost of production for the three-year period,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_38.csv,
39,MWS-013,Proposal,Livelihood improvement,Livelihood challenges and community expectations,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_39.csv,
40,MWS-013,Proposal,Livelihood improvement,Crop suitability,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_40.csv,
41,MWS-013,Proposal,Livelihood improvement,Current situation of major export crops,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_41.csv,
42,MWS-013,Proposal,Livelihood improvement,Potential value-added production,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_42.csv,
43,MWS-013,Proposal,Livelihood improvement,Insurance service providers,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_43.csv,
44,MWS-013,Proposal,Livelihood improvement,Cost estimation of livelihood development activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_44.csv,
45,MWS-013,Proposal,Livelihood improvement,Timeframe for the implementation,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_45.csv,
46,MWS-013,Proposal,Training and capacity development,Contents of the agriculture productivity improvement training,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_46.csv,
47,MWS-013,Proposal,Training and capacity development,Recommended training programs for Livelihood development and marketing,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_47.csv,
48,MWS-013,Proposal,Training and capacity development,Expenditure Estimate for training programs,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_48.csv,
49,MWS-013,Proposal,Training and capacity development,Contents of the agriculture productivity improvement training,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_49.csv,
50,MWS-013,Proposal,Training and capacity development,Recommended training programs for Livelihood development and marketing,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_50.csv,
51,MWS-013,Proposal,Training and capacity development,Expenditure Estimate for training programs,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_013/Table_6_51.csv,
