"Table 5.15: Cost estimate of minor irrigation-related proposals with locations","","","","","",""
"GND No","Name of the minor irrigation","Location N","Location E","Observed problems","Description","Amount  LKR"
,,,,,"Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Removing silt from canal bed depth up to 9\"-18\"",
"491 D","Lamasuriya canal","7.152266","80.837411","Silting of the canal.","Removing silt from canal bed depth up to 9\"-18\"","288,113"
,,,,,"Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance",
"491","FC 24 canal in Maha Katuwa","7.154468","80.838479","Collapsing of the canal on the Downstream side","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,533,903"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"491","Lamasuriya canal","7.154674","80.837805","Difficult to issue water due to siltation.","Earth excavation from borrow area by Backhoe and forming tank bund including transporting, placing (150-225) mm layers, watering, compacting and trimming as per instructions (haulage up to 01 km) For pot hole filling (10% of 3000m x 2.4m x 0.30m)","1,122,186"
,,,,,"Cutting and loading Earth/Gravel by machinery. (Excavator 120)",
,,,,,"Earth transport up to 1km.",
,,,,,"Spreading of gravel",
,,,,,"Compaction by Roller (8-10) ton up to 2000m3 using vibrator machine.",
,,,,,"Turfing to new earth including cutting, laying, pegging and watering",
"491","FC 25 canal","7.154674","80.837805","Water cannot be diverted from the canal.Water is leaking to the downstream side.","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,102,140"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"491","FC 22 canal","7.154468","80.838479","Water is leaking to the downstream side. There is no reservation.","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,102,140"
,,,,,"Stream / canal reservation protection by earthfilling of strip  of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"491 A","Una Pandura Yaya anicut","7.149146","80.818869","There is no anicut bund","Construction of 8.0m long x 1.2m height anicut with 01 nos x 0.9m x 1.2m openings, supplying of 3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangements","686,920"
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance",
"491 A","Una pandura Yaya canal","7.149227","80.81878","Water is leaking from the bund.","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","335,188"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"491 A","Mapale Kumbura anicut","7.144603","80.818039","There is no anicut bund","Construction of 8.0m long x 1.2m height anicut with 01 nos x 0.9m x 1.2m openings, supplying of 3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangements","686,920"
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance",
"491 A","Mapale Kumbura canal","7.144555","80.818189","Water is leaking to the downstream side","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","821,340"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"491 A","Moraketita Wele canal","7.144867","80.818232","Water is leaking to the downstream side","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","821,340"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"491 A","Amunukura canal","7.148437","80.813956","Water is leaking onto the lands due to positioning of the main cannel","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","470,323"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"491 C","Canal near the pusella torrent","7.142527","80.822118","The canal is not concreted for 300m long","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","645,831"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"491 C","Kapuwatta canal","7.142973","80.823986","The canal is not concreted for 400m","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","410,670"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"491 C","Kapuwatta anicut","7.143168","80.823786","Anicut need to be constructed","Earth excavation in foundation (Medium soil)","546,000"
,,,,,"Supplying and fixing T.S Dowels spliced, and dove tailed with wedge at one end 5/8\" dia, 700mm long boring holes, 350mm depth in fixing",
,,,,,"Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.5m, top width 0.15m, 0.50m high steps x 03, each of 0.15m step width & bottom width 0.60m)",
,,,,,"Supplying and fixing Anicut planks form special class timber including fixing of steel hooks (3\"x6\") Plank & applying hot tar",
,,,,,"supplying & fixing  9\" dia. Cast iron gates & Hoist complete",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Miscellaneous",
"491 C","Alen Palla canal","7.14422","80.824934","The canal is not concreted for 600m.","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","529,978"
,,,,,"Stream / canal reservation protection by earthfilling of strip  of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"491 C","Anicut and canal near wangala","7.14257","80.825743","Anicut need to be constructed","Demolishing existing structure","1,105,000"
,,,,,"Earth excavation in foundation (Medium soil)",
,,,,,"Supplying and fixing T.S Dowels spliced, and dove tailed with wedge at one end 5/8\" dia, 700mm long boring holes, 350mm depth in fixing",
,,,,,"Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.5m, top width 0.15m, 0.50m high steps x 03, each of 0.15m step width & bottom width 0.60m)",
,,,,,"Supplying and fixing Anicut planks form special class timber including fixing of steel hooks (3\"x6\") Plank & applying hot tar",
,,,,,"supplying & fixing  9\" dia. Cast iron gates & Hoist complete",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip  of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Miscellaneous",
"491 C","Ballamala torrent, anicut and canal","7.141284","80.831107","Anicut need to be constructed","Demolishing existing structure","1,300,000"
,,,,,"Earth excavation in foundation (Medium soil)",
,,,,,"Supplying and fixing T.S Dowels spliced, and dove tailed with wedge at one end 5/8\" dia, 700mm long boring holes, 350mm depth in fixing",
,,,,,"Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.5m, top width 0.15m, 0.50m high steps x 03, each of 0.15m step width & bottom width 0.60m)",
,,,,,"Supplying and fixing Anicut planks form special class timber including fixing of steel hooks (3\"x6\") Plank & applying hot tar",
,,,,,"supplying & fixing  9\" dia. Cast iron gates & Hoist complete",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Miscellaneous",
"491 C","Lamasuriya canal and anicut","7.13793","80.829695","• The anicut gates are broken.• There is no sluice gear.• The canal banks have not been protected with vegetation.","Supplying and fixing Anicut planks form special class timber including fixing of steel hooks (3\"x6\") Plank & applying hot tar","416,000"
,,,,,"supplying & fixing  12\" dia. Cast iron gates & Hoist complete",
,,,,,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip  of 1.5m to 2m wide and average Depth of 0.5m, turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Total","16,658,845"
