"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-020-1","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,"2. Renovation of natural drains - Takan torrent","1","7.157827","80.831429","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Madawala kumbura torrent","5","7.154043","80.836739","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Illagolla torrent 1","5","7.150919","80.826706","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Illagolla torrent 2","1","7.150142","80.829649","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"6. Renovation of natural drains - Illagolla torrent 1","5","7.149607","80.829103","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","1,300,000",,,,,,,,,,
"4","491 A","Moragolla","1. Renovation of natural drains - Papaana torrent","3","7.148271","80.815546","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Una padura yaye torrent","4","7.148829","80.817593","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Napale kumbura torrent","3","7.144727","80.818058","800 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","80,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Moragolla torrent 1","5","7.144969","80.813183","400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","40,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Moragolla torrent 2","3","7.14393","80.81325","400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","40,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","360,000",,,,,,,,,,
"5","491 C","Rammalakandura","1. Renovation of natural drains - Muukalana torrent","3","7.14571","80.8241","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Torrent near punchiudulla temple","1","7.14514","80.82366","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Ranmala torrent","5","7.142595","80.82583","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Pussala gawa torrent","4","7.14244","80.82212","2.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","250,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Thambayawatta torrent","5","7.146884","80.82745","6 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","600,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"6. Renovation of natural drains - Lamasuuriya canel","4","7.139107","80.831948","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"7. Establishing a retaing wall - Bogaha ella","4","7.142862","80.826672","35 m x 3 m","Retaining Wall (Concrete)","4,070,000","By the project","0.5 Years"
"Sub Total","5,720,000",,,,,,,,,,
,,,,,,,,"Grand Total","8,710,000",,
