"Table 6.16: Estimates for water source protection-related proposals in MWS-023","","","","","",""
"GND No","Name of Spring and place","N","E","Observed problems","Description","Amount  Rs"
"533C","Spring of K.Ramanadan's house","7.033054","80.85357","A tank has been built, Water is leaking from the tank","1/2\" thk 1:3 cement motar plastering to prevent leakages in liningVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceProviding barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence","71,244.44"
"533M","Field No. 03 (Coneger)","6.991571","80.858627","Located in Samagipura reserve. A concrete wall is built to collect spring water and then send it to a water storage tank for distribution. About 60 families use water. The water treatment plant is not functioning and needs to be renovated.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance1/2\" thk 1:3 cement motar plastering to prevent leakages in lining","109,605.56"
"533M","Field No. 05(Coneger)","7.00801","80.866159","An area of water lodging where several springs are located. People taken water informally using pipes.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance","90,400.00"
"533M","Field No. 9 Forest Area (Coneger)","6.993538","80.854661","Located in Samagipura reserve. Spring water flowing along a canal and taken water using PVC pipes. About 40 families use water. Spring should be preserved. A new water storage tank should be built.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance","640,400.00"
"533M","Field No. 08 U.D","7.000171","80.858064","Located in St. Leonard's Estate.  Spring water flowing along a canal and Water is drawn into the storage tank using 50mm Ø PVC pipes. Bathing place has also been built using spring water. About 35 families use water. Spring should be preserved.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance","90,400.00"
"533M","Field No. 06 M.D (School)","6.99945","80.863773","Located in St. Leonard's Estate. Spring water is collected in a concrete pond that has been constructed.  Water is obtained for school use. A security fence has been built around the spring. Spring should be preserved.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance","90,400.00"
"533M","Nursery field","7.018499","80.863432","The spring is being preserved and a tank is being built to distribute water. But there are about 25 houses near the spring where people live. Wastewater is being added to spring water through household toilets.","Water Quality Testing needs to be done","15,000.00"
"533M","Field No. 4B (New Line)","7.015908","80.86847","Located in St. Leonard's Estate. Spring water is collected in a tank that has been constructed.  An area of water lodging where several springs are located. Two water storage tanks have been constructed on high ground. ( 500 Liter PVC tank and 2.4m x 2.4m x 1.5m concrete tank). Distribution is done after pumping water from the water collection tank at the source to the water storage tank. The pump is currently broken. About 30 families use water. Spring should be preserved.","1/2\" thk 1:3 cement motar plastering to prevent leakages in liningVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenanceRepairing water pump","129,776.00"
,,,,,,
"533M","Feed No 7","7.004898","80.860784","Located in St. Leonard's Estate.  Spring water flowing along a canal Spring water is collected in a  concrete pond that has been constructed, About 75 families use water. Spring should be preserved.","Protective net over the pond 1/2\" thk 1:3 cement motar plastering to prevent leakages in liningVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance","119,866.67"
,,,,,,
"533M","Field No. 09","6.996432","80.855223","Located in St. Leonard's Estate. Spring water is collected in a small concrete tank that has been constructed and taken to the 2 nos of 5000 Liter PVC water storage tanks. One of the PVC tank has broken. About 35 families use water. Spring should be preserved.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance","628,650.00"
,,,,,,
"533M","Field No. 12 U.D","7.004898","80.860784","Located in St. Leonard's Estate. It remains as a hole dug in the ground. Water is drawn into the storage tank using 50mm Ø PVC pipes. About 35 families use water. Water from  nearby springs is also collect to the existing one. Spring should be preserved. The turpentine trees grown in the above the springs should be removed and replace with suitable trees.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance","628,650.00"
,,,,"Total",,"4,858,764.34"
