"Table 5.54: Expenditure Estimate for training programs","","","","","","","",""
"No","Activity","Number of trainings","Duration in Days","Total   of Participants","Total cost  RS","Con  From DSD RS  Institution","Project Con   RS","Proposed training Partner"
"11","Forest Restoration training for  selected  officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"12","Integrated Watershed Management training for  selected  Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"13","Domestication and use of wild species for watershed management for selected   officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"14","Training for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment- For Teachers  (Hanguranketha DSD)","Budget was allocated under MWS-002-2 (Hanguranketha)","DOA/ NRMC /University",,,,,
"15","Training EDOs and SDOs to conduct cascading training on Financial Literacy and Household Money Management (ToT)","Budget was allocated under MWS-002-2 (Hanguranketha)","CBSL Matale Regional office/CBSL HO",,,,,
"Training for Communities",,,,,,,,
"16","Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND","3","1","150","226,950","-","226,950","Agriculture Park DoA"
"17","Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND","3","1","150","201,600","-","201,600","NRMC/DOA"
"18","Good Practices in Agrochemicals Application for GPC Community Members and Identified Farmers","3","1","150","198,450","-","198,450","DOA"
"19","Importance of Home Garden Improvement for watershed Management (Common For MWS-002-2, MWS-009, MWS-010, MWS-011, MWS-012, MWS-013, MWS-014, MWS-018-2 and MWS-020.)","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"20","Conduct Field Day for Soil and Water Conservation Practice for GPC Community leaders and Farmers","3","1","150","111,000","-","111,000","AI, ARPA and EDO/ NRMC"
"21","Field Day - for best practices in the usage of pesticides, integrated pest control, and fertilizer applications for GPC community members and identified farmers. One training/GND","3","1","150","111,000","-","111,000","AI, ARPA and EDO"
"22","Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD","3","1","150","198,600",,"198,600","DOA/ NRMC"
"23","Awareness on Green Skill and Green Technology Concept for Youth and GPC members","3","1","120","222,900","7,500","215,400","DOA"
"24","Climate Change Adaptation  Awareness on GPC and selected farmers","3","1","150","177,000",,"177,000","AI, EDO"
"25","Conduct Field Day on Climatic Training Adaptation","3","1","150","105,000","-","105,000","AI & EDO"
"26","Awareness on Forest Fire Prevention and Control GPC and community members","3","1","150","243,600","-","243,600","Forest Department"
"27","Responsible use of water resources for GPC/GWMC and community members","3","1","150","243,600","-","243,600","Forest Department"
"28","Important of environment conservation and social responsibility of community- For Student (Grade 11 and Above at Hanguranketha DSD)","Training was allocated under MWS-002-2 (Hanguranketha)",,,,,,
"29","Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organization (WDOs)","3","1","150","138,600",,"138,600","EDOs and SDO"
"30","Conduct Refresher Training on Household Money Management for GPC and Community Members","3","1","150","96,300",,"96,300","EDO and SDO"
"31","Career Guidance & Career Fair Event (Hanguranketha DSD)","Budget was allocated under MWS-002-2 (Hanguranketha)","Skills Development Officer & Human Resources Development Assistant of DSD",,,,,
"32","Awareness on Gender and Social Inclusion Training","1","1","35","54,350","2,500","51,850","TBD"
"33","Community Training - livelihood and Marketing",,,,"675,000",,"675,000",
,"Total Estimated budget",,,"1,975","3,067,450","12,500","3,054,950",
