"Table 6.20: Time frame for implementing stream reservation activities","","","","","",""
"GND No","Description","N","E","Observed problems","Description 1","Amount  Rs"
,,,,,,
,,,,,,
"533N","Sub Halgranoya L.D","7.017072","80.85817","Tea is cultivated right up to banks of the streams that flow through the tea estates. Stream reservation should be marked. During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of complost manure, NPK fertilizer and maintenanceProviding barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence","233,925.00"
,,,,,,
,,,,,,
,,,,,,
"533O","Concodia River","7.01421","80.82972","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of complost manure, NPK fertilizer and maintenance","172,175.00"
,,,,,,
,,,,,,
,,,,,,
"533O","Mahakudagala Stream","7.03112","80.84456","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of complost manure, NPK fertilizer and maintenance","172,175.00"
,,,,,,
,,,,,,
,,,,,,
"533O","No. 07 Bungalow Road Stream","7.03009","80.84906","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of complost manure, NPK fertilizer and maintenance","126,287.50"
,,,,,,
,,,,,,
,,,,,,
"533O","No. 05 Main Road Stream","7.03019","80.839","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of complost manure, NPK fertilizer and maintenance","126,287.50"
,,,,,,
,,,,,,
,,,,,,
"533O","Silver Kandy Stream","7.02591","80.84417","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of complost manure, NPK fertilizer and maintenance","172,175.00"
,,,,,,
,,,,,,
,,,,,,
"533O","No. 06 Division Stream","7.019","80.83507","During the rainy season when too much water flows, Bank erosion occurs","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of complost manure, NPK fertilizer and maintenance","172,175.00"
,,,,,,
,,,,,,
,,,,,,
,,,,"Total",,"2,938,212.50"
