"Table 6.14: Cost estimate of minor irrigation-related proposals with locations","","","","","",""
"GND No","Name of Spring and place","N","E","Observed problems","Description","Amount  Rs"
"533N",,"7.001972","80.852633","A tank 2.0m long, 2.0m wide and 1.2m high has been constructed and about 30 families use the water.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance                                                              Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance                                                                                 1/2\" thk rough plastering in 1: 3 cement mortar                                                                                                  Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","604,838.00"
"533N","Field No. 17 Liddesdale","7.022147","80.859919","There are 4 tanks that were built about 50 years ago and are currently I dilapidated condition. Currently, about 300 families use water irregularly using pipes. There are tea plantations around the area where the spring is located. Trees can be planted around the spring in an area of about 4 perches.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance                                                                                  Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance                                                                                                            Providing PVC pipes, pipe joints, etc.. to convey water from tanks","80,150.00"
"533N","Ragala Middle Division Area","7.009612","80.846013","It was built by EU-SRILANKA Project about 2 years ago, but is currently not in use due to a water leak in the tank. After the tank is renovated, it will be able to provide water to about 300 families.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance                                             Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance                                                     1/2\" thk rough plastering in 1: 3 cement mortar                                                     Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","621,777.50"
"533N","Field No. 14 Ragala U.D","6.997977","80.843893","Water sources must be conserved and pollution prevented.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"533N","Field No. 12 Ragala U.D","7.004365","80.850051","Water sources must be conserved and pollution prevented.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"533N","Field No. 16 Ragala U.D","6.997758","80.849959","Water sources must be conserved and pollution prevented.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"533N","Field No. 17 Liddesdale","7.022147","80.859919","Water sources must be conserved and pollution prevented.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"533N","Ragala Middle Division Area","7.009612","80.846013","Water sources must be conserved and pollution prevented.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"533O","Silver Kandy Water Spring","7.0231","80.84017","About 123 families taken drinking water, A tank had been built and water was obtained through it, but the tank was broken due to a landslide. Currently, water is obtained informally using pipes.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5                                                                  Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","573,500.00"
"533O","5th Line Water Spring","7.03057","80.83857","There is no formally constructed tank and a natural water hole exists. About 25 families taken drinking water. Obtaining drinking water should be formalized.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5                                                                 Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance                                                                              Protective net over the storage tank","576,750.00"
"533O","Glendon Church Water Spring","7.03112  7.03022","80.84456   80.84562","The spring is located near a stream, The wall has been constructed using sandbags to stock the water. There is a water storage tank built of rubble masonry and it is in a dilapidated condition.","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.5m, top width 0.15m, 0.50m high steps x 03, each of 0.15m step width & bottom width 0.60m)                                                                             Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5                                                                                 Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance                                                                                          Protective net over the storage tank","612,750.00"
"533O","St. Jones Forest Water Spring","7.01898","80.82492","There is a 8.75m long, 3.5m wide and 1.7m high water storage tank that was built over 100 years ago and is in a completely dilapidated condition. The distribution pipeline system is also in a dilapidated condition. About 350 families obtain water for drinking and other household needs.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5                                                                     Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance                                                                                    Protective net over the storage tank                                    Providing PVC pipes, pipe joints, etc.. to convey water from tanks","591,750.00"
"533O","Silver Kandy Janapada Water Spring","7.02591","80.84417","The spring is located near a stream, There is no formally constructed tank and a natural water hole exists. About 50 families taken drinking water. Obtaining drinking water should be formalized.","Construction of Concrete water storage tank of 20 cum - size  internal 3mx3mx2.5                                                                                                      Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance                                                                                Protective net over the storage tank","576,750.00"
"533O","St.Jones Lover Spring","7.01828","80.82603","There is a 3.6m long, 1.7m wide and 1.5m high water storage tank that was built over 100 years ago and is in a completely dilapidated condition. About 200 families taken drinking water.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5                                                                          Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance                                                                                 Protective net over the storage tank","588,500.00"
"533O","Silver Kandy Water shed","7.0231","80.84017","Water sources must be conserved and pollution prevented.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"533O","Glendon Water shed","7.03112","80.84456","Water sources must be conserved and pollution prevented.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"533O","St. jones Water shed","7.01898","80.82492","Water sources must be conserved and pollution prevented.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"533O","Field No. 5 Water shed","7.03057","80.83857","Water sources must be conserved and pollution prevented.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
,,,,"Total",,"8,469,238.99"
