"Table 5.2: Key ON FARM activities proposed for soil and water conservation in MWS-008-2","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,"3. Soil conservation practices - Bank of Ma Oya (75°)","5","7.176825","80.747828","0.75 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","13,602,500",,,,,,,,,,,
"5","1030","Kolambissa West","1. Soil conservation practices - Kolombissa West Praja Shalawa (60°)","3","7.180525","80.73824","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Kolombissa West (70°)","1","7.183603","80.738763","2.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","625,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Kolombissa West Galpoththa (80°)","5","7.182707","80.74089","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Kolombissa West (60°)","1","7.180545","80.740548","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","125,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Kolombissa Temple (30°)","2","7.178447","80.740808","0.5 ha","Lock and spills and live fencing/SALT and/or stone terracing, as applied","400 m-1","200,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","6,950,000",,,,,,,,,,,
"6","1031","Murapola East","1. Soil conservation practices - Murapola East (40°)","3","7.178523","80.750262","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Watapanduru Yaya (60°)","2","7.182757","80.74848","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Murapola East (30°)","3","7.185658","80.75085","8 ha","Live fencing/SALT, Planting perennial crops - 2 ha","250 m-1","500,000","Labour and other basic services by the Local community","0.5 Years"
,,,,,,,,"Lock and spills - 3 ha","400 m-1","1,200,000",,
,,,,,,,,"Stone terracing - 3 ha","2,500 m-1","7,500,000",,
"Sub Total","10,700,000",,,,,,,,,,,
"7","1032","Murapola West","1. Soil conservation practices - Murapola West (60°)","4","7.185278","80.74615","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","200,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Murapola West (70°)","4","7.185564","80.745583","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Murapola West (75°)","4","7.186894","80.745944","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Rubber Estate (70°)","4","7.186452","80.744052","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","750,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","3,700,000",,,,,,,,,,,
"8","1033","Pattiyagama Pallegama","1. Soil conservation practices - Pallegama (60°)","2","7.166481","80.724821","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Pallegama Mosque (65°)","1","7.166215","80.724005","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Pallegama (70°)","4","7.166465","80.723086","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Wadiyagoda (75°)","1","7.161934","80.729731","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Medihena (60°)","1","7.174611","80.726662","48 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","12,000,000","Labour and other basic services by the Local community","2 Years"
"Sub Total","19,875,000",,,,,,,,,,,
"9","1036","Wanahapuwa","1. Soil conservation practices - Ensalgolla Maha Vidyalaya (70°)","4","7.176622","80.715928","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Ensalgolla Primary School (85°)","5","7.17737","80.716622","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Mahawattawa Oya (30°)","1","7.177763","80.719931","1.5 ha","Stone terracing and live fencing/SALT and/or lock and spills, as applied","2,500 m-1","3,750,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Wanahapuwa (60°)","4","7.17732","80.717042","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","4,750,000",,,,,,,,,,,
"10","1038","Bopitiya","1. Soil conservation practices - Sinhala Village (60°)","1","7.18012","80.707292","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Bopitiya Great Valley (75°)","4","7.184366","80.710745","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Great Valley (80°)","5","7.183616","80.710179","5.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,375,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","4,875,000",,,,,,,,,,,
"Grand Total","102,227,500",,,,,,,,,,,
