No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Quantity,Proposed measure/s,Unit Cost (LKR),Total Cost (LKR),Total Cost per GN(LKR),"Contribution (Local Community, LA, and the project)",Time frame for the implement-tation,
30,1029,Kolambissa East,1. Development of natural drains - Kotiya Gallena Kandura,5,1,7.176176,80.741218,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
31,1029,Kolambissa East,2. Soil conservation practices - Girambe (30°),1,1,7.178942,80.74189,16 ha,"Live fencing/SALT, Planting perennial crops - 8 ha
Lock and spills - 4 ha
Stone terracing - 4 ha","250 m-1
400 m-1
2,500 m-1","2000000
1600000
10000000",,Labour and other basic services by the Local community,,0.5 Years
32,1029,Kolambissa East,3. Soil conservation practices - Either sides of Murapola Ela (80°),5,1,7.176723,80.74234,0.5 ha,"Live fencing/SALT, Planting perennial crops - 8 ha",250 m-1,"1,000",,Labour and other basic services by the Local community,,0.25 Years
33,1029,Kolambissa East,4. Soil conservation practices - Bank of Ma Oya (75°),5,1,7.176825,80.747828,0.75 ha,"Live fencing/SALT, Planting perennial crops - 8 ha",250 m-1,"1,500","13,702,500",Labour and other basic services by the Local community,,0.25 Years
34,1030,Kolambissa West,1. Development of natural drains - Kolombissa East Kandura,1,1,7.179972,80.738343,1.2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"120,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
35,1030,Kolambissa West,2. Development of natural drains - Kandura near Kolombissa Junction,3,1,7.179872,80.741174,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
36,1030,Kolambissa West,3. Soil conservation practices - Kolombissa West Praja Shalawa (60°),3,60,7.180525,80.73824,12 ha,"Live fencing/SALT, Planting perennial crops - 8 ha
Stone terracing, Lock and spills, as applied",250 m-1,"3,000,000",,Labour and other basic services by the Local community,,0.25 Years
37,1030,Kolambissa West,4. Soil conservation practices - Kolombissa West (70°),1,70,7.183603,80.738763,2.5 ha,"Live fencing/SALT, Planting perennial crops ",250 m-1,"625,000",,Labour and other basic services by the Local community,,0.25 Years
38,1030,Kolambissa West,5. Soil conservation practices - Kolombissa West Galpoththa (80°),5,80,7.182707,80.74089,12 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"3,000,000",,Labour and other basic services by the Local community,,0.25 Years
39,1030,Kolambissa West,6. Soil conservation practices - Kolombissa West (60°),1,60,7.180545,80.740548,0.5 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"125,000",,Labour and other basic services by the Local community,,0.25 Years
40,1030,Kolambissa West,7. Soil conservation practices - Kolombissa Temple (30°),2,30,7.178447,80.740808,0.5 ha,Lock and spills,400 m-1,"200,000","7,220,000",Labour and other basic services by the Local community,,0.25 Years
41,1031,Murapola East,1. Development of natural drains - Anda Dambaye Kandura,1,1,7.183672,80.748205,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
42,1031,Murapola East,2. Development of natural drains - Giri Ambe Kandura,5,1,7.17859,80.748757,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
43,1031,Murapola East,3. Development of natural drains - Neelawala Kandura,1,1,7.18559,80.757943,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
44,1031,Murapola East,4. Development of natural drains - Ma Oya,1,1,7.185495,80.75804,5 km,"Clearing and planting some trees along the banks (Areca nut, Kumbuk, Bamboo etc.) and other conservation practices",,"500,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
45,1031,Murapola East,5. Soil conservation practices - Murapola East (40°),3,1,7.178523,80.750262,5 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"1,250,000",,Labour and other basic services by the Local community,,0.5 Years
46,1031,Murapola East,6. Soil conservation practices - Watapanduru Yaya (60°),2,1,7.182757,80.74848,1 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"250,000",,Labour and other basic services by the Local community,,0.25 Years
47,1031,Murapola East,7. Soil conservation practices - Murapola East (30°),3,1,7.185658,80.75085,8 ha,"Live fencing/SALT, Planting perennial crops - 2 ha
Lock and spills - 3 ha
Stone terracing - 3 ha","250 m-1
400 m-1
2,500 m-1","500000
1200000
7500000","12,100,000",Labour and other basic services by the Local community,,0.5 Years
48,1032,Murapola West,1. Development of natural drains - Murapola Kandura 1,4,1,7.186411,80.746966,30 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"3,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
49,1032,Murapola West,2. Development of natural drains - Murapola Kandura 2,1,1,7.18722,80.747361,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
50,1032,Murapola West,3. Development of natural drains - Murapola Kandura 3,4,1,7.186746,80.744877,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
51,1032,Murapola West,4. Soil conservation practices - Murapola West (60°),4,1,7.185278,80.74615,8 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"200,000",,Labour and other basic services by the Local community,,0.5 Years
52,1032,Murapola West,5. Soil conservation practices - Murapola West (70°),4,1,7.185564,80.745583,10 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"2,500,000",,Labour and other basic services by the Local community,,0.5 Years
53,1032,Murapola West,6. Soil conservation practices - Murapola West (75°),4,1,7.186894,80.745944,1 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"250,000",,Labour and other basic services by the Local community,,0.5 Years
54,1032,Murapola West,7. Soil conservation practices - Rubber Estate (70°),4,1,7.186452,80.744052,3 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"750,000","3,743,000",Labour and other basic services by the Local community,,0.5 Years
55,1033,Pattiyagama Pallegama,1. Development of natural drains - Ulututhenna Waththa Kandura,2,1,7.167007,80.724905,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
56,1033,Pattiyagama Pallegama,2. Development of natural drains - Kandura near Udapituya School,4,1,7.166039,80.724272,1.5 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000",,Labour and other basic services by the Local community/ Shramadana,,0.5 Years
57,1033,Pattiyagama Pallegama,3. Development of natural drains - Wadiyagoda Kandura,2,1,7.16458,80.728661,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
58,1033,Pattiyagama Pallegama,4. Soil conservation practices - Pallegama (60°),2,1,7.166481,80.724821,12 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"3,000,000",,Labour and other basic services by the Local community,,0.5 Years
59,1033,Pattiyagama Pallegama,5. Soil conservation practices - Pallegama Mosque (65°),1,1,7.166215,80.724005,1.5 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"375,000",,Labour and other basic services by the Local community,,0.25 Years
60,1033,Pattiyagama Pallegama,6. Soil conservation practices - Pallegama (70°),4,1,7.166465,80.723086,12 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"3,000,000",,Labour and other basic services by the Local community,,0.5 Years
61,1033,Pattiyagama Pallegama,7. Soil conservation practices - Wadiyagoda (75°),1,1,7.161934,80.729731,6 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"1,500,000",,Labour and other basic services by the Local community,,0.5 Years
62,1033,Pattiyagama Pallegama,8. Soil conservation practices - Medihena (60°),1,1,7.174611,80.726662,48 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied
Stone terracing, Lock and spills, as applied",250 m-1,"12,000,000",,Labour and other basic services by the Local community,,1 Year
63,1033,Pattiyagama Pallegama,9. Renovating the retaining wall (30 m x 2 m),3,1,7.165803,80.724572,30 m x 2 m,Retaining wall,"2,000 m-2","120,000","20,245,000",Labour and other basic services by the Local community,,0.25 Years
64,1036,Wanahapuwa,1. Development of natural drains - Kandura via Ensalgolla School,5,1,7.17775,80.717135,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
65,1036,Wanahapuwa,2. Development of natural drains - Kandura from Egodagama spring,1,1,7.179527,80.721413,150 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"150,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
66,1036,Wanahapuwa,3. Development of natural drains - Kandura near Mr. Rahamathulla,5,1,7.176935,80.717077,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
67,1036,Wanahapuwa,4. Development of natural drains - Malwatte Oya,1,1,7.177763,80.719931,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
68,1036,Wanahapuwa,5. Development of natural drains - Kandura near Wetakepotha and Wanahapuwa Road,1,1,7.176508,80.717417,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
69,1036,Wanahapuwa,5. Soil conservation practices - Ensalgolla Maha Vidyalaya (70°),4,1,7.176622,80.715928,1.5 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"375,000",,Labour and other basic services by the Local community,,0.25 Years
70,1036,Wanahapuwa,6. Soil conservation practices - Ensalgolla Primary School (85°),5,1,7.17737,80.716622,1 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"250,000",,Labour and other basic services by the Local community,,0.5 Years
71,1036,Wanahapuwa,7. Soil conservation practices - Primary School (85°),1,1,7.177145,80.716305,10 m x 5 m,Retaining wall,"2,000 m-2","100,000",,Labour and other basic services by the Local community,,0.25 Years
72,1036,Wanahapuwa,8. Soil conservation practices - Primary School (85°),5,1,7.17736,80.71642,10 m x 6 m,Retaining wall,"2,000 m-2","120,000",,Labour and other basic services by the Local community,,0.25 Years
73,1036,Wanahapuwa,9. Soil conservation practices - Mahawattawa Oya (30°),1,1,7.177763,80.719931,1.5 ha,Stone terracing,"2,500 m-1","3,750,000",,Labour and other basic services by the Local community,,0.25 Years
74,1036,Wanahapuwa,10. Soil conservation practices - Wanahapuwa (60°),4,1,7.17732,80.717042,1.5 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"375,000",,Labour and other basic services by the Local community,,0.25 Years
75,1036,Wanahapuwa,11. Establishing a retaining wall (8 m x 6 m) - Enasalgolla Maha Vidyalaya,4,,7.176622,80.715928,8 m x 6 m,Retaining wall,"2,000 m-2","96,000","6,016,000",Labour and other basic services by the Local community,,0.25 Years
76,1038,Bopitiya,1. Development of natural drains - Muslim Village Kandura,1,1,7.180185,80.706991,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"30,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
77,1038,Bopitiya,2. Development of natural drains - Wanahapuwa Kandura,"1, 3",1,7.18247,80.717048,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
78,1038,Bopitiya,,,,7.185359,80.714571,,,,,,,,
79,1038,Bopitiya,3. Development of natural drains - Kandura,4,1,7.178172,80.706074,400 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"40,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
80,1038,Bopitiya,4. Development of natural drains - Great Estate Kandura,5,1,7.183624,80.71018,300 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"30,000",,Labour and other basic services by the Local community/ Shramadana,,0.25 Years
81,1038,Bopitiya,5. Soil conservation practices - Sinhala Village (60°),1,1,7.18012,80.707292,6 ha,"Live fencing/SALT, Planting perennial crops",250 m-1,"1,500,000",,Labour and other basic services by the Local community,,0.25 Years
82,1038,Bopitiya,6. Soil conservation practices - Bopitiya Great Valley (75°),4,1,7.184366,80.710745,8 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"2,000,000",,Labour and other basic services by the Local community,,0.25 Years
83,1038,Bopitiya,7. Soil conservation practices - Great Valley (80°),5,1,7.183616,80.710179,5.5 ha,"Live fencing/SALT, Planting perennial crops
Stone terracing, Lock and spills, as applied",250 m-1,"1,375,000","5,075,000",Labour and other basic services by the Local community,,0.25 Years
