"Table 5.3: Key OFF FARM activities proposed for soil and water conservation in MWS-008-2","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,"5. Development of natural drains - Kandura near Janawasama II","1","7.179595","80.731813","50 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","5,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"6. Development of natural drains - Kotiyagallana Kandura","5","7.177744","80.738913","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"7. Development of natural drains - Kele Tankiya Kandura I","4","7.175731","80.733096","100 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","10,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"8. Development of natural drains - Muwan Pani Ella Kandura","5","7.175751","80.730825","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","330,000",,,,,,,,,,
"3","1028","Kotagepitiya","1. Development of natural drains - Gurugal Oya","1","7.161041","80.733053","500 m","Clearing and planting some trees along the banks (Aracanut, Kumbuk, Bamboo etc.) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Development of natural drains - Malpatta Oya","3","7.166478","80.73923","600 m","Clearing and planting some trees along the banks (Aracanut, Kumbuk, Bamboo etc.) and other conservation practices","60,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Establishing a retaining wall - Elle Kanaththa","2","7.163858","80.736983","3 m x 2 m","Retaining Wall (Masonary)","132,000","By the project","0.25 Years"
"Sub Total","242,000",,,,,,,,,,
"4","1029","Kolambissa East","1. Development of natural drains - Kotiya Gallena Kandura","5","7.176176","80.741218","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","100,000",,,,,,,,,,
"5","1030","Kolambissa West","1. Development of natural drains - Kolombissa East Kandura","1","7.179972","80.738343","1.2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","120,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Development of natural drains - Kandura near Kolombissa Junction","3","7.179872","80.741174","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","270,000",,,,,,,,,,
"6","1031","Murapola East","1. Development of natural drains - Anda Dambaye Kandura","1","7.183672","80.748205","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Development of natural drains - Giri Ambe Kandura","5","7.17859","80.748757","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Development of natural drains - Neelawala Kandura","1","7.18559","80.757943","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Development of natural drains - Ma Oya","1","7.185495","80.75804","5 km","Clearing and planting some trees along the banks (Aracanut, Kumbuk, Bamboo etc.) and other conservation practices","500,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","1,400,000",,,,,,,,,,
"7","1032","Murapola West","1. Development of natural drains - Murapola Kandura 1","4","7.186411","80.746966","30 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","3,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Development of natural drains - Murapola Kandura 2","1","7.18722","80.747361","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Development of natural drains - Murapola Kandura 3","4","7.186746","80.744877","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","43,000",,,,,,,,,,
"8","1033","Pattiyagama Pallegama","1. Development of natural drains - Ulututhenna Waththa Kandura","2","7.167007","80.724905","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Development of natural drains - Kandura near Udapituya School","4","7.166039","80.724272","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Development of natural drains - Wadiyagoda Kandura","2","7.16458","80.728661","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovating the retaining wall","3","7.165803","80.724572","30 m  x 2 m","Retaining Wall (Masonary)","1,320,000","By the project","0.25 Years"
"Sub Total","1,570,000",,,,,,,,,,
"9","1036","Wanahapuwa","1. Development of natural drains - Kandura via Ensalgolla School","5","7.17775","80.717135","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Development of natural drains - Kandura from Egodagama spring","1","7.179527","80.721413","150 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Development of natural drains - Kandura near Mr. Rahamathulla","5","7.176935","80.717077","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Development of natural drains - Malawatta Oya","1","7.177763","80.719931","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Development of natural drains - Kandura near Wetahepotha and Wanahapuwa Road","1","7.176508","80.717417","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"6. Establishing a retaining wall - Primary School","1","7.177145","80.716305","10 m x 3 m","Retaining Wall (Concrete)","1,171,500","By the project","0.25 Years"
,,,"7. Establishing a retaining wall - Primary School","5","7.177360","80.716420","10 m x 3 m","Retaining Wall (Concrete)","1,171,500","By the project","0.25 Years"
,,,"8. Establishing a retaining wall - Enasalgolla Maha Vidyalaya","4","7.176622","80.715928","8 m x 3 m","Retaining Wall (Concrete)","940,500","By the project","0.25 Years"
"Sub Total","4,233,500",,,,,,,,,,
"10","1038","Bopitiya","1. Development of natural drains - Muslim Village Kandura","1","7.180185","80.706991","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Development of natural drains - Vanahapuwa Kandura","1, 3","7.182477.185359","80.71704880.714571","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Development of natural drains - Kandura","4","7.178172","80.706074","400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","40,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Development of natural drains - Great Estate Kandura","5","7.183624","80.71018","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","200,000",,,,,,,,,,
"Grand Total","8,688,500",,,,,,,,,,
