"Table 5.13: Tentative Cost Estimate for Minor Irrigation-Related Recommendations","","","","","",""
"GND No","Name of the minor irrigation","Location N","Location E","Observed problems","Description","Amount"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"508 D","Palle Pihilla Pahala canal","7.07778","80.796022","•Erosion of the canal.","Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking","76,924"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"508 D","Palle Pihilla canal","7.077321","80.796022","•Seepages towards the field side.","Canal reservation protection by concrete lining For 100mm thick, 0.4m wide and 0.3m high canal -single banking","1,053,048"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"508 E","Alakola Wewa","7.066876","80.797782","•The allocated reservation is insufficient for the lake.•The lake is silted.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","869,700"
,,,,,"Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance",
"508 E","Baidampitiya canal","7.067528","80.797583","•Erosion of the nearby lands due to the canal. (L- 2km)","Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance","1,804,075"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"508 A","Hapuarawa canal","7.072287","80.798842","•Water cannot be distributed properly. (L- 1km)","Canal reservation protection by concrete lining For 100mm thick , 0.4m wide and 0.3m high canal -single banking","264,988"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"508 A","Piyerapana canal","7.071849","80.798939","•Seepages towards the field side. (L- 1km)","Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking","1,556,636"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"508 A","Amunumulla canal","7.070782","80.799442","•Distribute water to the other canals by blocking this canal (1km)","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","1,729,501"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"508 A","Damunu Arawa canal","7.072493","80.799994","•Seepages towards the field side.","Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh","279,703"
,,,,,"1/2\" thk 1:3 cement motar plastering to prevent leakages in lining",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"508 A","Deniye Kumbura canal","7.073637","80.8003371","•Water overflows towards field side. ඇලෙහි ජලය ගැසීම","Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking","335,188"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"508 B","Oluwawatta canal","7.05735","80.821672","•Water overflows from the canal and flooding into the houses. Additionally, seepages from the canal.","Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking","789,685"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 C","Paththakara Meda canal","7.052718","80.789956","•Distribute water through a pipeline. (L- 200m)","Laying and joining 12\" dia - 24\" dia Concrete pipes","327,828"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 0.9m, top width 0.15m, 0.45m high steps x 02, each of 0.15m step width & bottom width 0.45m)",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 C","Bangala Kadura field canal","7.05305","80.788615","•Seepages towards the field side. (L- 500m)","Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking","1,846,358"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 C","Wellagiri Colony lake","7.051512","80.785791","•Absence of a reservation.•The lake is silted.•Water is contaminated.•Seepages from the tank bund.","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","99,970"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 C","Field canal of Wellagiri lake","7.051922","80.785901","•Water cannot distributed properly. (L- 210m)","Construction of leader drain across streams -1m(W)x1m(H)","551,915"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"508","Godaliyadda canal","7.070992","80.806868","•Seepages towards the field side.","Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh","680,277"
,,,,,"1/2\" thk 1:3 cement motar plastering to prevent leakages in lining",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"508","Yakkawane anicut","7.070177","80.807555","•The anicut is a temporary anicut.","Demolishing existing structure","292,500"
,,,,,"Construction of 4.0m long x 0.9m height anicut with 02 nos x 0.9m width openings, supplying of 3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangements (As in MWS 011/Anicuts/57)",
"508","Yakkawane canal","7.070177","807555","•Water cannot be distributed properly.","Canal reservation protection by concrete lining For 100mm thick , 0.4m wide and 0.3m high canal -single banking","880,994"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 E","Aloka Bedda අලෝක බැද්ද පහල සිට ඇති පිට ඇල","7.057468","80.77798","•Seepages towards the field side.","Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking","491,416"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 E","Mahawela sub field canal","7.057775","80.778037","•The capacity of the canal is insufficient.","Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking","491,416"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 E","බෙලිගල් පිට ඇල","7.05854","80.771538","•Seepages from the canal and the capacity of the canal is insufficient.","Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking","305,362"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 E","Wahala Wela middle canal","7.059424","80.778649","•The capacity of the canal is insufficient.","Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking","1,221,448"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 E","Wahala Wela Unagahathenna canal","_","_","•Seepages from the canal and bank erosion.","Canals reservation protection by concrete lining For 125mm thick , 0.5m wide and 0.4m high canal -double banking","1,991,438"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with ecofriendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 E","Hapugaha Pathana canal","7.059982","80.77918","•Seepages from the canal and the capacity of the canal is insufficient.","Canals reservation protection by concrete lining For 125mm thick , 0.5m wide and 0.4m high canal -double banking","1,135,655"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 E","Hapugaha Pathana canal","7.060803","80.779122","•Water cannot be distributed properly, seepages occur, and the side walls of the canal are eroded.","Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking","982,833"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 E","Goraketihena canal","_","_","•Water cannot be distributed properly and seepages occur from the canal.","Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking","1,102,140"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"509","Daranda Arawa canal","7.079097","80.800269","•Water overflows from the canal and the capacity of the canal is insufficient. Seepages occur towards the field side.","Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking","261,463"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"509","Attana Kumbura middle canal","7.077334","80.801392","•Seepages towards the field side and flooding into paddy fields.","Canals reservation protection by concrete lining For 125mm thick , 0.4m wide and 0.5m high canal -single banking","927,258"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"509","Daranda Arawa canal","7.072754","80.802379","•Erosion of part of the canal. (L- 30m)","Construction of 0.3m Dia half round RCC pipe trough with average height of 0.6m - 0.9m elevated trough bed level from EGL, piers in 2.44m intervals, including US & DS basins (for trough length > 10.0m)","1,003,308"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"509","Daranda Arawa canal","7.072754","80.802374","•Erosion of part of the canal. (L- 20m)","Laying and joining 6\" dia - 9\" dia Concrete pipes","77,948"
,,,,,"Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 0.9m, top width 0.15m, 0.45m high steps x 02, each of 0.15m step width & bottom width 0.45m)",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"509 A","No. 5 lake","7.065734","80.818628","•The tank is silted. Water cannot be stored.•Absence of a reservation.","Removing silt from canal bed depth up to 9\"-18\"","638,820"
,,,,,"Canals reservation protection by concrete lining For 125mm thick , 0.4m wide and 0.5m high canal -single banking",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
"509 A","Canal of Kurundu Oya","7.06849","80.812038","•Bank erosion of part of the canal. (L- 500m)","Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking","982,833"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"512 A","Udakanda canal","7.066039 (150m above)","80.783329","•Erosion and seepages towards the field side.","Canals reservation protection by concrete lining For 100mm thick , 0.3m wide and 0.3m high canal -double banking","551,070"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc including application of compost manure and 02 months maintenance",
