"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-017","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
"6","512 C","Goodwood","1. Renovation of natural drains - Meda Kadura","5","7.050363","80.789926","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Small Kandura coming from Goodwood Bungalow","5","7.052011","80.787596","3.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","350,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Kandura coming from Goodwood Bungalow","5","7.053582","80.789273","100 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","10,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - The torrent on the way to the lake","5","7.051534","80.785158","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","710,000",,,,,,,,,,
"7","508","Ketayapathana","1. Renovation of natural drains - Torrent 1","5","7.073011","80.806221","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Torrent 2","5","7.072368","80.806499","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Mawussa Torrent","5","7.070696","80.807242","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Establishing a retaining wall - near Ketayapathana Udagama Road","4","7.074577","80.804551","10.5 m x 3 m","Retaining Wall (Concrete)","1,226,500","By the project","0.25 Years"
"Sub Total","2,126,500",,,,,,,,,,
"8","512 E","Labuhenwala","1. Renovation of natural drains - Torrent at the Borahinna Pahala road","5","7.05623","80.781108","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Renovation of natural drains - Diyanilla Ulpatha torrent","5","7.056374","80.779216","50 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","5,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Aloka Bedda torrent","5","7.05382","80.77881","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - Torrent","1","7.060161","80.77043","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Rathmetiya torrent","5","7.063351","80.780467","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"6. Renovation of natural drains - Moraketihena torrent","5","7.059493","80.78085","700 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","70,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"7. Renovation of natural drains - Borahinna torrent","5","7.057991","80.781822","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"8. Establishing a retaining wall","5","7.058675","80.781456","30 m x 3 m","Retaining Wall (Concrete)","3,492,500","By the project","0.5 Years"
,,,"9. Establishing a retaining wall","5","7.059493","80.78088","8 m x 2 m","Retaining Wall (Masonary)","352,000","By the project","0.25 Years"
,,,"9. Establishing a retaining wall at the middle of the school's land","1","7.055506","80.778424","30 m x 3 m","Retaining Wall (Concrete)","3,492,500","By the project","0.5 Years"
,,,"10. Establishing a retaining wall","1","7.055506","80.778424","30 m x 2 m","Retaining Wall (Masonary)","1,320,000","By the project","0.25 Years"
"Sub Total","9,262,000",,,,,,,,,,
"9","509","Mathurata","1. Renovation of natural drains - Digaredi Kadura","4","7.077146","80.801525","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Renovation of natural drains - Ampitiya Oya","5","7.0722402","80.802659","100 m","Clearing and planting some trees along the banks and other conservation practices","10,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Establishing a retaining wall - Danda Arawa canal","5","7.072754","80.802374","20 m x 3 m","Retaining Wall (Concrete)","2,332,000","By the project","0.25 Years"
"Sub Total","2,442,000",,,,,,,,,,
"10","509 A","Merrygoll","1. Renovation of natural drains - No. 5 torrent","5","7.065878","80.821672","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Torrent that flows through canal No. 5","5","7.06593","80.821259","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Torrent of Huruduwe canal","3","7.065574","80.818967","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Pathahe Kandura at 4th Mile's Post","4","7.064684","80.812672","600 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","60,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","260,000",,,,,,,,,,
"11","512 A","Metibembiya","1. Renovation of natural drains - Bathkana Kadura 2","5","7.068776","80.783558","1 km","Planting some trees along the banks and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Bathkana Kadura 1",,,,"1 km","Planting some trees along the banks and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","200,000",,,,,,,,,,
"12","508 C","Ketayapathana Udagama","1. Renovation of natural drains - Torrent near Upali Stores (Uda Aswedduma)","5","7.070337","80.805148","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Torrent at Aswedduma road","4","7.068268","80.806029","2.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","250,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Torrent of Amunupura canal","3","7.066842","80.804683","2.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","250,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Hindel torrent","3","7.066204","80.804431","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Amunupura Oya","4","7.065382","80.803317","3 km","Planting some trees along the banks and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","1,200,000",,,,,,,,,,
"13","512","Wellagiriya","1. Renovation of natural drains - Belihul Oya","5","7.08509","80.78712","1 km","Planting some trees along the banks and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Hawariella Oya","5","7.067708","80.786231","500 m","Planting some trees along the banks and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","150,000",,,,,,,,,,
"14","512 F","Wewathenna","1. Renovation of natural drains - Torrent from No.1 spring","5","7.057704","80.789684","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Torrent near Wewathenna lake","5","7.063187","80.790742","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Gonapitiya waterfall (Katuerella waterfall)","2","7.058555","80.796654","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Establishing a retaining wall - Infront of the Wewathenna Nawarathna Stores","5","7.060776","80.787607","9 m x 3 m","Retaining Wall (Concrete)","1,056,000","By the project","0.25 Years"
"Sub Total","1,286,000",,,,,,,,,,
,,,,,,,,"Grand Total","18,331,500",,
