No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.),Total Cost,"Contribution (Local Community, LA, and the project)",Time frame for the implementation
42,503,Gannewa Udagama,1. Renovation of natural drains - Torrent/kandura from Udagama Colony,4,Off,7.137349,80.723169,1 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
43,503,Gannewa Udagama,2. Renovation of natural drains - Seasonal torrent/kandura near the above torrent,4,Off,7.137349,80.723169,500 m,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
44,503,Gannewa Udagama,3. Renovation of natural drains - Torrent/kandura created from the two above torrents,4,Off,7.137349,80.723169,1.5 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
45,503,Gannewa Udagama,4. Renovation of natural drains - Torrent/kandura near the Palle Maussawa Oya,1,Off,7.138506,80.720242,175 m,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"17,500.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
46,503,Gannewa Udagama,5. Renovation of natural drains - Gurugal Oya,3,Off,7.13776,80.719354,3.5 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"350,000.00",,Labour and other basic services by the Local community/ Shramadana,0.75 Years
47,503,Gannewa Udagama,6. Soil conservation practices - Gannewa Udagama (65°),2,On,7.138657,80.721672,1 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"250,000.00",,Labour and other basic services by the Local community,0.25 Years
48,503,Gannewa Udagama,7. Soil conservation practices - Gannewa Udagama (40°),1,On,7.138732,80.722961,6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,500,000.00","2,417,500.00",Labour and other basic services by the Local community,0.5 Years
49,499A,Handawalapitiya,1. Soil conservation practices - Handawalapitiya (65°),4,On,7.126854,80.737379,1.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"300,000.00",,Labour and other basic services by the Local community,0.25 Years
50,499A,Handawalapitiya,2. Soil conservation practices - Handawalapitiya School (60°),3,On,7.127639,80.737314,0.4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"100,000.00",,Labour and other basic services by the Local community,0.25 Years
51,499A,Handawalapitiya,3. Soil conservation practices - Government owned lands (65°),4,On,7.128145,80.728495,0.4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"100,000.00",,Labour and other basic services by the Local community,0.25 Years
52,499A,Handawalapitiya,4. Soil conservation practices - Warakalavita Upper Division (60°),4,On,7.128257,80.728235,32 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"8,000,000.00",,Labour and other basic services by the Local community,0.5 Years
53,499A,Handawalapitiya,5. Soil conservation practices - Warakalavita new settlements (75°),5,On,7.13356,80.724395,0.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"200,000.00",,Labour and other basic services by the Local community,0.25 Years
54,499A,Handawalapitiya,6. Soil conservation practices - Reservation land (80°),4,On,7.133422,80.72436,20 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"5,000,000.00",,Labour and other basic services by the Local community,0.5 Years
55,499A,Handawalapitiya,7. Establishing a retaining wall - Handawalapitiya,2,Off,7.127388,80.736036,15 m x 2.4 m,Retaining wall,"2,000.00 m-2","72,000.00",,Labour and other basic services by the Local community,0.25 Years
56,499A,Handawalapitiya,8. Establishing a retaining wall - Handawalapitiya,1,Off,7.127448,80.736334,20 m x 3.6 m,Retaining wall,"2,000.00 m-2","144,000.00","13,916,000.00",Labour and other basic services by the Local community,0.25 Years
57,501G,Hope,No special issues are reported.,,,,,,,,,,,
58,500A,Kithulpe,1. Renovation of natural drains - Mul Oya,2,Off,7.151235,80.746757,2 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"200,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
59,500A,Kithulpe,2. Renovation of natural drains - Uda Ela Kadura,1,Off,7.148827,80.746798,500 m,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
60,500A,Kithulpe,3. Renovation of natural drains - Ellabada torrent/kandura,1,Off,7.152524,80.743449,500 m,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
61,500A,Kithulpe,4. Renovation of natural drains - Galkotuwa torrent,3,Off,7.152789,80.742378,900 m,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"90,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
62,500A,Kithulpe,5. Soil conservation practices - Ellabada (65°),4,On,7.149017,80.746732,6.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,700,000.00",,Labour and other basic services by the Local community,0.5 Years
63,500A,Kithulpe,6. Soil conservation practices - Polwaththa Wela (45°),4,On,7.149997,80.746499,1 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"250,000.00",,Labour and other basic services by the Local community,0.5 Years
64,500A,Kithulpe,7. Soil conservation practices - Polwaththa Wela (50°),3,On,7.15266,80.742785,7.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,800,000.00",,Labour and other basic services by the Local community,0.5 Years
65,500A,Kithulpe,8. Soil conservation practices - Polwaththa Wela (40°),4,On,7.152726,80.742524,1 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"250,000.00",,Labour and other basic services by the Local community,0.5 Years
66,500A,Kithulpe,9. Soil conservation practices - Madamure Gama (80°),4,On,7.15203,80.740901,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community,0.5 Years
67,500A,Kithulpe,10. Soil conservation practices - Silwathgama (65°),1,On,7.151866,80.740253,1 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"250,000.00",,Labour and other basic services by the Local community,0.5 Years
68,500A,Kithulpe,11. Soil conservation practices - Silwathgama (Pennagama) (65°),5,On,7.150875,80.739331,16 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"4,000,000.00","9,640,000.00",Labour and other basic services by the Local community,0.5 Years
69,503A,Malanwatta,1. Renovation of natural drains - Gurugal Oya,3,Off,7.13819,80.719669,11 km,Planting some trees along the banks and other conservation practices,,"1,100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
70,503A,Malanwatta,2. Soil conservation practices - Malanwatta (85°),1,On,7.145509,80.723801,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,000,000.00",,Labour and other basic services by the Local community,0.25 Years
71,503A,Malanwatta,3. Soil conservation practices - Malanwatta (75°),1,On,7.14461,80.72324,8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"2,000,000.00","4,100,000.00",Labour and other basic services by the Local community,0.5 Years
72,500B,Medagama,No special issues are reported.,,,,,,,,,,,
73,500C,Warapitiya,1. Renovation of natural drains - Andeniyawaththa torrent/kandura 1,1,Off,7.154209,80.736946,150 m,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"15,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
74,500C,Warapitiya,2. Renovation of natural drains - Andeniyawaththa torrent/kandura 2,2,Off,7.154606,80.73717,150 m,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,,"150,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
75,500C,Warapitiya,3. Renovation of natural drains - Darawa Oya,2,Off,7.15718,80.738997,1.2 Km,Planting some trees along the banks and other conservation practices,,"120,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
76,500C,Warapitiya,4. Soil conservation practices - Warapitiya (30°),2,On,7.156326,80.736319,3.6 ha,"Lock and spills
Stone terracing/live fencing, as applied",400.00 m-1,"1,440,000.00",,Labour and other basic services by the Local community,0.5 Years
77,500C,Warapitiya,5. Soil conservation practices - Warapitiya (60°),2,On,7.157404,80.73592,6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,500,000.00",,Labour and other basic services by the Local community,0.5 Years
78,500C,Warapitiya,6. Establishing a leader drain - Dikarawa division,1,Off,7.153331,80.73677,150 m x 1 m x 1m,Leader drain,"3,000.00 m-3","450,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
79,500C,Warapitiya,7. Establishing a retaining wall - Road near the Palle Bowala Primary School,1,On,7.155533,80.736339,100 m x 0.6 m,Retaining wall,"2,000.00 m-2","120,000.00",,Labour and other basic services by the Local community,0.5 Years
80,500C,Warapitiya,8. Establishing a retaining wall - Playground of the Palle Bowala Primary School,1,On,7.155535,80.736395,100 m x 0.6 m,Retaining wall,"2,000.00 m-2","120,000.00",,Labour and other basic services by the Local community,0.5 Years
81,500C,Warapitiya,8. Establishing a retaining wall - Palle Bowala Secondary School,1,On,7.154492,80.736031,10 m x 0.6 m,Retaining wall,"2,000.00 m-2","12,000.00",,Labour and other basic services by the Local community,0.25 Years
82,500C,Warapitiya,9. Establishing a leader drain - Palle Bowala Secondary School,1,On,7.155297,80.735902,10 m x 1 m x 1 m,Leader drain,"3,000.00 m-3","30,000.00",,Labour and other basic services by the Local community,0.25 Years
83,500C,Warapitiya,10. Establishing a retaining wall - Palle Bowala Secondary School,1,On,7.155666,80.736301,75 m x 0.6 m,Retaining wall,"2,000.00 m-2","90,000.00",,Labour and other basic services by the Local community,0.5 Years
84,500C,Warapitiya,11. Establishing a retaining wall - Makumbura Waththa,2,On,7.156644,80.736338,100 m x 0.6 m,Retaining wall,"2,000.00 m-2","120,000.00","4,167,000.00",Labour and other basic services by the Local community,0.5 Years
85,499D,Wetesthenna,1. Renovation of natural drains - Dara Oya,2,Off,7.125428,80.74003,2.6 KM,Planting some trees along the banks and other conservation practices,,"260,000.00",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
86,499D,Wetesthenna,2. Soil conservation practices - Kalugala (55°),5,On,7.124411,80.739026,8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"2,000,000.00",,Labour and other basic services by the Local community,0.5 Years
87,499D,Wetesthenna,3. Soil conservation practices - Wetesthenna (50°),4,On,7.12675,80.74226,9.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"2,300,000.00",,Labour and other basic services by the Local community,0.5 Years
88,499D,Wetesthenna,4. Soil conservation practices - Katakithulamada Gommana (65°),4,On,7.126803,80.743314,0.6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"150,000.00","4,710,000.00",Labour and other basic services by the Local community,0.25 Years
,,,,,,,,,Grand Total,,"60,561,500.00",,,
