No,GND No.,Scheme,Problem to be addressed/Recommendation,N,E,Estimated Cost
11,499E,Aladeniya Kumbura springs,No storage tank. Recommend to construct 2mx3mx 2m(Deep) tank with rubble masonry and cement sand plastering smooth with neat cement float.,7.139822,80.738192,"234,500"
12,499E,Bambaragama Matale Gedera Springs,Bathing space is not sufficient. Recommend constructing new spacing with rubble masonry and cement sand plastering smooth.,7.1384,80.738414,"128,000"
13,499E,Uduwela Gedera springs,"Walls are not strong. Recommend to chip off old, damaged surfaces and new plastering and finish smooth with cement float. (25 sq.m) ",7.1419,80.740625,"47,000"
14,499E,Gallanthenna Springs,"The storage tank is not sufficient and leaks through the walls. Recommend
1. demolish one wall and excavate to enhance the capacity by three times. 
2. Construct new rubble wall (2.5 Cu.m) 3. Re plastering to wall (16 sq.m) ",7.1421,80.742043,"107,780"
15,499F,Bambaragama West - Neluwa Spring,"No reservation and dilapidated tank. Elevation is not enough to deliver water to all houses. Recommend 1. to Construct ferro cement tank of 30 cu.m 2. Reforestation by dense planting of mixed vegetation comprising Agave/Vetiver/Canas/Areca nut/Kumbuk/Mee/Godapara/Kaduru/Aththikka/Wal del/Kekuna / local fruit varieties randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered reservation area 150 m2. 5. Supply and install solar operated low head pump with 40% cost contribution from the stake holders 6. Establishing a CBO for maintenance",7.134781,80.73483,"785,200"
16,500A,Dunuka Arawa spring,Bathing trough unserviceable and requested to improve reservation. Recommend repairing the bathing arrangement only. No improvement possible to reservation as the area is fully cultivated.,7.153194,80.744663,"27,000"
17,500A,Dunuka Arawa spring,Request to demarcate a reservation. No improvement possible to reservation as the area is fully cultivated.,7.152941,80.745024,0
18,500A,Gal Mulla spring,Mixing of agro chemicals from the surrounding and request improvement. Recommend constructing a tank only. No improvement possible to reservation as the area is fully cultivated.,7.15194,80.745326,"46,000"
19,500A,Ellabada spring,Mixing of agro chemicals from the surrounding and tank need repairs. Recommend 1. to raise walls by 300mm using RR masonry and place the existing cover on fresh mortar to seal properly. 2. To grow mixed vegetation with riparian plants about 100 sq.m area around the source.,7.150773,80.745132,"75,500"
20,500B,Prajakola springs,Unprotected well and erosion around. Recommend 1. to dig the well and insert 2m diameter concrete well rings for a depth of 2.5 m below the ground and 0.5m above the ground level. 2. fabricate a 2m diameter protective cover using 32 mm dia GI pipe and 50mm x50mm GI welded mesh.,7.156693,80.730867,"170,500"
21,500,Palle Bowala springs,The protective cover is damaged. Spring water quality is influenced by cultivation in the catchment. Recommend 1. to fabricate 6.m x5m cover using 32mm dia GI pipes and 50mm x50mm GI welded mesh with nylon net 2. Awareness and assist settlers in the catchment to cultivate perineal crops and cover crops.,7.152718,80.734515,"37,500"
22,500,Bowala meda springs,The dug well protective walls are damaged. Recommend to construct rubble masonry walls and neat cement sand plastering (16 sq.m) with bathing pipes,7.153178,80.734925,"45,000"
23,500C,Kurudiya springs,"Contamination from agro chemicals. Recommend dense planting of mixed vegetation comprising Agave/Vetiver/Canas/ Areca nut/Kumbuk/Mee/ Godapara/ Kaduru/Aththikka/ randomly mixed seedlings at 500 mm grid interval. 4. Apply mulching, organic manure and NPK fertilizer. Covered area 150 m2 ",7.156723,80.739254,"80,000"
24,500C,Kurudiya springs,,7.15786,80.738539,
25,500c,Polosliyadda springs,"Contamination from agro chemicals. Recommend dense planting of mixed vegetation comprising Agave/Vetiver/ Canas/Areca nut/Kumbuk/ Mee/ Godapara/Kaduru/Aththikka/ randomly mixed seedlings at 500 mm grid interval. 4. Apply mulching, organic manure and NPK fertilizer. Covered reservation area 150 m2 . Testing water quality",7.154049,80.737431,"88,000"
26,503,Gannewa Udugama Medamaana springs.,"No reservation and protected storage tank. Recommend 1.to construct random rubble masonry tank (2mx 3m x2m High), 300mm wall thickness and cement sand plastering smooth with top reinforced concrete slab. 2. To plant Kumbuk, Mee, Vetiver, Canas plants about 30 sq.m area around the spring at very close intervals.",7.138599,80.721831,"248,500"
27,503A,Malanwaththa bathing spot,Leaks in the tank. Recommend repairing the tank with community support as labor. Material cost only recommend.,7.143669,80.730122,"18,000"
28,503A,Amunuwela springs,"Leaks in the tank. Recommend 1. to make dense planting of mixed vegetation comprising Agave/ Areca nut trees /Kithul/Kumbuk/ Mee/ Godapara/Kaduru/ Aththikka/ Wal del/Kekuna /riparian varieties randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. The covered area 250 Sq.m. 2.to repair the tank with community support as labor. Material cost only recommend.",7.13808,80.719998,"149,000"
,,Total cost,,"LKR 5,920,000",,
