"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-009 belongs to Hanguranketha DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,"3. Soil conservation practices - Government owned lands (65°)","4","7.128145","80.728495","0.4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","100,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Warakalavita Upper Division (60°)","4","7.128257","80.728235","32 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","8,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"5. Soil conservation practices - Warakalavita new settlements (75°)","5","7.13356","80.724395","0.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","200,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Reservation land (80°)","4","7.133422","80.72436","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","13,700,000",,,,,,,,,,,
"8","501G","Hope","No special issues are reported.",,,,,,,,,
"9","500A","Kithulpe","1. Soil conservation practices - Ellabada (65°)","4","7.149017","80.746732","6.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,700,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Polwaththa Wela (45°)","4","7.149997","80.746499","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Polwaththa Wela (50°)","3","7.15266","80.742785","7.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,800,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Polwaththa Wela (40°)","4","7.152726","80.742524","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Madamure Gama (80°)","4","7.15203","80.740901","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Silwathgama (65°)","1","7.151866","80.740253","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices - Silwathgama (Pennagama) (65°)","5","7.150875","80.739331","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","9,250,000",,,,,,,,,,,
"10","503A","Malanwatta","1. Soil conservation practices - Malanwatta (85°)","1","7.145509","80.723801","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Malanwatta (75°)","1","7.14461","80.72324","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","3,000,000",,,,,,,,,,,
"11","500B","Medagama","No special issues are reported.",,,,,,,,,
"12","500C","Warapitiya","1. Soil conservation practices - Warapitiya (30°)","2","7.156326","80.736319","3.6 ha","Lock and spills and stone terracing/live fencing, as applied","400 m-1","1,440,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Warapitiya (60°)","2","7.157404","80.73592","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","2,940,000",,,,,,,,,,,
"13","499D","Wetesthenna","1. Soil conservation practices - Kalugala (55°)","5","7.124411","80.739026","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Wetesthenna (50°)","4","7.12675","80.74226","9.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,300,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Katakithulamada Gommana (65°)","4","7.126803","80.743314","0.6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","150,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","4,450,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"52,885,000",,
