No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Sum of Costs (Rs.),"Contribution (Local Community, LA, and the project) ",Time frame for the implementation
115,484 A,Bogamuwa,4. Soil conservation practices - Nikathenna (75°),5,On,7.1347,80.805924,33.2,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"8,300,000.00",8607500,Labour and other basic services by the Local community,1.5 Years
116,484-B,Uda Makuruppa,1. Renovation of natural drains - Illaketiya torrent 1,4,Off,7.14361,80.788491,300 m,Planting some trees along the banks and other conservation practices,,"30,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
117,484-B,Uda Makuruppa,2. Renovation of natural drains - Illaketiya torrent 2,5,Off,7.14331,80.788843,300 m,Planting some trees along the banks and other conservation practices,,"30,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
118,484-B,Uda Makuruppa,3. Soil conservation practices - Illaketiya (80°),3,On,7.143538,80.78843,3.6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"900,000.00",,Labour and other basic services by the Local community,0.25 Years
119,484-B,Uda Makuruppa,4. Soil conservation practices - Illaketiya (80°),4,On,7.143096,80.788729,18 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"4,500,000.00",,Labour and other basic services by the Local community,0.5 Years
120,484-B,Uda Makuruppa,5. Soil conservation practices - Uda Makuruppa (60°),4,On,7.144756,80.790579,8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"2,000,000.00",,Labour and other basic services by the Local community,0.5 Years
121,484-B,Uda Makuruppa,6. Soil conservation practices - Uda Makuruppa (30°),1,On,7.140255,80.793732,8 ha,"lock and spills
Stone terracing/Live fencing/SALT, as applied",400.00 m-1,"3,200,000.00",,Labour and other basic services by the Local community,0.5 Years
122,484-B,Uda Makuruppa,7. Soil conservation practices - Galkotuwa (45°),4,On,7.142836,80.795723,2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"500,000.00",,Labour and other basic services by the Local community,0.25 Years
123,484-B,Uda Makuruppa,8. Establishing a side/retaining wall - Illaketiya School,1,On,7.145447,80.787156,40 m x 5 m x 0.5 m,Side/Retaining wall,"2,000.00 m-3","200,000.00",11360000,Labour and other basic services by the Local community,0.5 Years
124,484,Pallewela,1. Renovation of natural drains - Ihalaga torrent,5,Off,7.132388,80.801563,1 km,Planting some trees along the banks and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
125,484,Pallewela,2. Renovation of natural drains - Kandegolla torrent,4,Off,7.131352,80.801373,200 m,Planting some trees along the banks and other conservation practices,,"20,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
126,484,Pallewela,3. Renovation of natural drains - Puhul Pona torrent,4,Off,7.130562,80.802618,500 m,Planting some trees along the banks and other conservation practices,,"50,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
127,484,Pallewela,4. Renovation of natural drains - Torrent near school,3,Off,7.132994,80.802841,200 m,Planting some trees along the banks and other conservation practices,,"20,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
128,484,Pallewela,5. Renovation of natural drains - Bittara pela torrent,5,Off,7.130595,80.803034,200 m,Planting some trees along the banks and other conservation practices,,"20,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
129,484,Pallewela,6. Renovation of natural drains - Elle Oya,5,Off,7.12782,80.802475,1 km,Planting some trees along the banks and other conservation practices,,"100,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
130,484,Pallewela,7. Renovation of natural drains - Seasonal Canal/Mala kandura,5,Off,7.129745,80.805825,600 m,Planting some trees along the banks and other conservation practices,,"60,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
131,484,Pallewela,8. Renovation of natural drains - Hunukotuwa torrent,3,Off,7.128304,80.807651,200 m,Planting some trees along the banks and other conservation practices,,"20,000.00",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
132,484,Pallewela,9. Soil conservation practices - Either side of Elle Oya (Athurundawa) (85°),5,On,7.130328,80.800834,2.4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"600,000.00",,Labour and other basic services by the Local community,0.25 Years
133,484,Pallewela,10. Soil conservation practices - Hunukotuwa (80°),4,On,7.128667,80.807611,6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"1,500,000.00",2490000,Labour and other basic services by the Local community,0.5 Years
,,,,,,,,,Grand Total,"89,944,000",,,,
