"Table 5.29: Cost estimate of minor irrigation-related proposals with locations","","","","","",""
"GND No","Name of the minor irrigation","Location N","Location E","Observed problems","Description","Amount  LKR"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"479","මැදහේන අමුණ Medahena anicut","7.130288","80.789984","Anicut bund is not available","Site preparation & other miscellaneous works","650,000"
,,,,,"Construction of 8.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of 3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangements",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
"479","දඹලවත්තේ ඇල Dambalawatte canal","7.130107","80.790378","Canal seepages to the D/S side and overflowed","Canals reservation protection by concrete lining For 125mm thick, 0.4m wide and 0.5m high canal -single banking","2,437,452"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"479","බුලුගහ අරාව ඇල Bulugaha Arawa canal","7.12892","80.793505","Canal seepages to the D/S side (L-20m)","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","184,925"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"479","රන්හින්දෙ ඇල Ranhinde canal","7.127703","80.792349","Canal seepages to the D/S side","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","804,782"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481 A","ඇල්ගම මහ ඇල මුල Algama Maha Ela Mula","7.113429","80.791948","The side walls of the canal are broken, and water leakages can be noticed.","Removing silt from canal bed depth up to 9\" and canal clearing","1,872,062"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Demolishing of dilapidated linings",
,,,,,"Canals reservation protection by concrete lining For 125mm thick, 0.4m wide and 0.5m high canal -single banking",
,,,,,"Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking",
"481 A","ඇල්ගම මහ ඇල Algama Maha canal","7.113638","80.792698","Canal seepages to the D/S side","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","1,514,208"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481 A","අන්දුඩුමාව ඇල Andhudumawa Canal","7.116176","80.794138","The risk of canal erosion towards the DS","Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance","715,845"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481 A","Andhudumawa Canal","7.11708","80.795324","Canal seepages to the D/S side","Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking","702,033"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481 A","නාවුලුස්ස ඇල Nawussa canal","7.11736","80.795162","Canal seepages to the D/S side","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","491,417"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481 B","පුවක්ගරාව ඇල Puwakgarawa canal","7.115295","80.792694","Canal seepages to the D/S side (L-45.72m)","Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance","551,070"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking",
"481 B","කිතුල් අලුත ඇල Kitul Alutha canal","7.115391","80.792238","Canal erosion towards the DS","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","208,498"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481 B","තැන්නේවත්ත ඇල Thannewatta canal","7.113412","80.78765","Water cannot be delivered due to the unavailability of concrete lining","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","294,850"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481","Meewana Kotuwa Canal","7.119638","80.787366","Canal seepages to the D/S side","Construction of 1.2m high x 0.15m thick RCC wall (0.6m base)","2,171,017"
,,,,,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481","මීවන කොටුව ඇල Meewana Kotuwa Canal","7.120301","80.789717","• Canal erosion in D/S side• canal bed needs to be concrete lined (L-800m)","Construction of 1.5m high x 0.15m thick RCC wall (0.8m base)","1,156,740"
,,,,,"Canal reservation protection by concrete lining for 100mm thick, 0.4m wide and 0.3m high canal -single banking",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481","නාරංවත්ත අමුණ Naranwatta anicut","7.118246","80.792327","No anicut is available","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 0.9m, top width 0.15m, 0.45m high steps x 02, each of 0.15m step width & bottom width 0.45m)","681,720"
,,,,,"Construction of 8.0m long x 1.2m height anicut with 02 nos x 0.9m x 1.2m openings, supplying of 3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangements",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
"481","කටුවල්පිටිය අමුණ Katuwal Pitiya anicut","7.121773","80.794096","No anicut is available","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 0.9m, top width 0.15m, 0.45m high steps x 02, each of 0.15m step width & bottom width 0.45m)","149,001"
,,,,,"Supplying and fixing Anicut planks form special class timber including fixing of steel hooks (3\"x6\") Plank & applying hot tar",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance",
"481","නාරංවත්ත ඇල Naranwatta Canal","7.118246","80.792327","Canal seepages to the D/S side","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","491,417"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481","බෝදණ්ඩ අමුණ Bodanda Anicut","7.11838","80.792833","Anicut is dilapidated and destroyed","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 0.9m, top width 0.15m, 0.45m high steps x 02, each of 0.15m step width & bottom width 0.45m)","149,000"
,,,,,"Supplying and fixing anicut planks form special class timber including fixing of steel hooks (3\"x6\") Plank & applying hot tar",
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenance",
"481","බෝදණ්ඩ ඇල Bodanda Canal","7.11838","80.792833","Canal seepages to the D/S side","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","816,758"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481","මාදුල්පේ ඇල Madulpe Canal","7.12114","80.793233","Canal seepages to the D/S side","Canals reservation protection by concrete lining for 100mm thick, 0.3m wide and 0.3m high canal -double banking","402,227"
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481","කටුවල්පිටිය ඇල Katuwalpitiya canal","7.121773","80.794096","Canal erosion and bank erosion","Construction of 12 m long 0.50m x 0.50m trough with 6 m spans each rested on piers (for canal bed elevated 4.5 m in average above the existing GL)","1,066,000"
"481 D","හුන්නංගරාව ඇල Hunnangarawa canal","7.11889","80.796627","Canal is not concrete lined (L-500m)","Construction of 0.3m Dia half round RCC pipe trough with average height of 0.6m - 0.9m elevated trough bed level from EGL, piers in 2.44m intervals, including US & DS basins (for trough length > 10.0m)","2,892,273"
,,,,,"Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking",
,,,,,"Stream / canal reservation protection by earth filling of strip of 1.5m to 2m wide and average Depth of 0.5m, Turfing to new sloping soil surface (DAD D 01) or planting single row of vetiver grass with eco-friendly edible plants like Gotukola, Mukunuwenna, Thampala etc. including application of compost manure and 02 months maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481 D","අත්තනකඩ ඇල Attanakada canal","7.119536","80.799934","Water leakages on the floor of the canal (L-500m)","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","3,028,415"
