"Table 5.28: Estimate of domestic water supply and water source related activities","","","","","",""
"GND No","Name and location of the spring","Location N","Location E","Observed problems","Description","Amount  LKR"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"479","පංවත්ත උල්පත Panwatta Spring","7.12848","80.794036","Side walls are dilapidated of the spring","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m)","326,300"
,,,,,"Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m)",
,,,,,"1/2\" thick 1:3 cement mortar plastering to prevent leakages in lining",
,,,,,"Construction of curtain wall (0.075mm thick) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Providing PVC pipes, pipe joints, etc. to convey water",
"479","බෝමළුව උල්පත Bomaluwa Spring","7.12829","80.794964","Leakages in the tank.","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m)","219,960"
,,,,,"Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m)",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481 A","නායවත්ත Nayawatta","7.113453","80.794083","•Not mentioned the boundaries for reservation•No tanks •Leakages of the spring tank","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","843,310"
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Construction of curtain wall (0.075mm thick) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh",
,,,,,"Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5",
"481 A","ගල්ලිද හේන Gallinda Chena","7.111682","80.795719","Not to mention the boundaries for reservation•Leakages of the spring tank","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","413,270"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Construction of 1.2m high RR masonry wall (with section 0.60x0.60, 0.45x0.60) over 0.75m width x 0.15m thick concrete screed, plastering with 1:3 cement mortar and back filling",
,,,,,"Construction of curtain wall (0.075mm thick) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh",
,,,,,"Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence",
"481 B","Thennewatta Spring","7.113556","80.787585","No Tank for stock water","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","734,500"
,,,,,"Implementation of Water Treatment Plant",
,,,,,"Providing PVC pipes, pipe joints, etc. to convey water",
"481 B","බල්ලන් ඇල්ල උල්පත Ballan Ella Spring","7.113426","80.790107","No Reservation and the tank","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","724,100"
,,,,,"Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5",
"481 C","The Spring surrounded by houses (No 29, 28, 44, 46)","7.119464","80.783322","No allocation of a reserve and the no tank for the stock water","Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence","1,329,900"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Boulder /Rubble dams (SABO) across streams to trap sediment-Size 3m (L) x2m (W) x1m (H)",
,,,,,"supplying & fixing 9\" dia. Cast iron gates & Hoist complete",
"481 C","වෙලපහල උල්පත Welapahala Spring","7.118538","80.786487","Non allocation of a reserve","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","30,550"
"481","වැටකොළු මඩිත්ත Wetakolu Madiththa","7.120667","80.788384","water leakages from side walls and cannot stock the water","1:3:6 (1 1/2\") Cement concrete, hand mixing and placing","659,490"
,,,,,"Construction of 1.2m high RR masonry wall (with section 0.60x0.60, 0.45x0.60) over 0.75m width x 0.15m thick concrete screed, plastering with 1:3 cement mortar and back filling",
,,,,,"Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481","කටුවල් පිටිය උල්පත Katuwal Pitiya Spring","7.121899","80.793958","Non allocation of a reserve","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","34,710"
"481 D","හුන්නං අරාව ජල උල්පත Hunnan Arawa Water Spring","7.118852","80.795831","water of swords mixes to the spring","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m)","246,610"
,,,,,"Water Quality Tests need to be conducted",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481 D","වදවල ගෙදර උල්පත Wadawala Gedera Spring","7.1159","80.800895","water of swords mixes to the spring","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m)","246,610"
,,,,,"Water Quality Tests need to be conducted",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481 D","The Spring near Kumaradasa's House","7.115268","80.799054","No Tanks","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m)","281,190"
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481 D","The spring store tank near Kumaradasa's house","7.11533","80.799024","Tank is dilapidated","Tank needs to be cleaned","37,050"
,,,,,"Rehabilitation of surrounding",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481 D","හපුගහමුල්ල උල්පත Hapugahamulla Spring","7.113992","80.799666","Tank is dilapidated and mixed with land water","Construction of curtain wall (0.075mm thick) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh","56,810"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Providing a net to cover the spring to prevent dirt falling into the spring",
"481 D","Karanamaditta Spring",,,"fill with silt/sludge","Removing silt from canal bed depth up to 9\" and canal clearing","64,740"
,,,,,"Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m)",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"481 D","Kandura Kade Medahena spring",,,"Fill with sludge and no cover for the tank","Removing silt from canal bed depth up to 9\" and canal clearing","64,740"
,,,,,"Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m)",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"482","මහපිටිය වැව් උල්පත් සමූහය Mahapitiya Tank Springs collection","7.141116","80.787393","not allocation reserve for the springs and water defilement by sludge","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","995,540"
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Water Quality Tests need to be conducted",
,,,,,"Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5",
"482 A","ඉලංගමුව ජල උල්පත Ilangamuwa Water Spring","7.129874","80.780365","No boundaries for the reservation and landslide on the bank of the kandura","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","1,911,650"
,,,,,"Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence",
,,,,,"Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.2m, top width 0.15m, 0.60m high steps x 02, each of 0.15m step width & bottom width 0.45m)",
,,,,,"Conservation of ancient places",
"482 B","දෙණිකේ උල්පත Denike Spring","7.136327","80.783238","No boundaries for the reservation and accumulation of land water to the tank","Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence","587,340"
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
,,,,,"Construction of 1.2m high RR masonry wall (with section 0.60x0.60, 0.45x0.60) over 0.75m width x 0.15m thick screed concrete, plastering with 1:3 cement mortar and back filling",
"482 B","උඩුබිත්තර පෑල උල්පත Udubittara Pela Spring","7.134595","80.784661","non conservation","Construction of curtain wall (0.075mm thick) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh","87,880"
,,,,,"Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"482 B","ඌරාකෙටුවේ ලිද Uraketuwe Well","7.131839","80.786514","Non allocation of a reserve and leakage of the tank","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","98,930"
,,,,,"Construction of curtain wall (0.075mm thick) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh",
"482 B","ඌරුන්දෙණියේ ලිද Urundeniye Well","7.133895","80.782042","Sword water mix with well water","Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.8m, top width 0.15m, 0.60m high steps x 03, each of 0.15m step width & bottom width 0.60m)","179,010"
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"482/C","උඩවෙල පතන කැලෙ උල්පත Udawela Pathana Kele Spring","7.141574","80.781804","sludge is mixed with the well water a","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","715,000"
"482/C","උඩවෙල පතන රක්ෂිතයේ ලිද the well in Udawela Pathana Reservation","7.141519","80.781947","Leakage of water due to dilapidated constructions and there is no embankment on the U S side soil washes into the well","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5","826,800"
,,,,,"4 faucets",
,,,,,"Construction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 1.2m, top width 0.15m, 0.60m high steps x 02, each of 0.15m step width & bottom width 0.45m)",
"484 C","පල්ලෙ පිහිල්ල උල්පත Palle Pihilla Spring","7.137278","80.796612","Non allocation of a reserve","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","89,440"
,,,,,"Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence",
"484 A","එලන්දරාව කදුර උල්පත Elandawa Minor stream Spring","7.13803","80.804117","water quality not checked, and shower faucet broken","Water Quality Tests","19,500"
,,,,,"Faucet needs to be installed",
"484 A","නිකතැන්න ජල පෝෂකය Nikathenna Watershed","7.134434","80.805781","Non allocation of a reserve","Vegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","69,420"
"484","අඹගහමුල පිහිල්ල Ambagahamulla Pihilla","7.13125","80.803298","•water impure by tree leaves•No cover•wastewater","Providing a net to cover the spring to prevent dirt falling into the spring","135,460"
,,,,,"Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence",
,,,,,"Construction of 1.2m high RR masonry wall (with section 0.60x0.60, 0.45x0.60) over 0.75m width x 0.15m thick screed concrete, plastering with 1:3 cement mortar and back filling",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484","හුණුකොටුව Hunukotuwa","7.128317","80.807543","water leakage","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5m","715,000"
"484","අඹගහමුල පිහිල්ල Ambagahamulla Pihilla","7.13125","80.803298","•water pollution by tree leaves•No cover•wastewater","Providing a net to cover the spring to prevent dirt falling into the spring","135,460"
,,,,,"Providing barb wire fence with 07 nos of 14G barb wire rows fixed firmly between 7ft high concrete posts erected at 2.0m intervals along the fence",
,,,,,"Construction of 1.2m high RR masonry wall (with section 0.60x0.60, 0.45x0.60) over 0.75m width x 0.15m thick concrete screed, plastering with 1:3 cement mortar and back filling",
,,,,,"Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance",
"484","හුණුකොටුව Hunukotuwa","7.128317","80.807543","water leakage","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5m","715,000"
,,,,,"Total","14,247,870"
