"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-016","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,"3. Renovation of natural drains - No. 8 torrent 3","5","7.03105","80.788171","800 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","80,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - No. 5 torrent 4","5","7.029019","80.788357","800 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","80,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Renovation of natural drains - Belihul Oya","5","7.030894","80.788332","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"6. Renovation of natural drains - Belihul Oya","5","7.02942","80.780031","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"7. Establishing a side/retaining wall - No. 5","5","7.033415","80.783843","50 m x 3 m","Retaining Wall (Concrete)","5,813,500","By the project","0.5 Years"
,,,"8. Establishing two retaining walls (upper lands and behind the house) - No. 5","5","7.031821","80.78702","12 m x 3 m","Retaining Wall (Concrete)","1,402,500","By the project","0.25 Years"
,,,"9. Establishing a retaining wall - The road to the waterfall","1","7.031858","80.781345","20 m x 3 m","Retaining Wall (Concrete)","2,332,000","By the project","0.25 Years"
"Sub Total","10,208,000",,,,,,,,,,
"4","512 G","Medawela","1. Renovation of natural drains - Torrent/Kandura","1","7.043398","80.781033","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Hunukotuwa Medawela Torrent/Kandura","5","7.043375","80.781377","400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","40,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Medawela Torrent/Kandura","2","7.046048","80.781796","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - Belihul Oya","5","7.050661","80.777194","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Renovation of natural drains - Torrent at Attana Bedda Road","1","7.046457","80.779932","50 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","5,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"6. Establishing a retaining wall - Walasbedda","4","7.049678","80.77819","4.5 m x 2 m","Retaining Wall (Masonary)","198,000","By the project","0.25 Years"
,,,"7. Establishing a retaining wall - Road up to Daranda canal","1","7.042943","80.78058","200 m x 2 m","Retaining Wall (Masonary)","8,800,000","By the project","0.5 Years"
,,,"8. Establishing a side/retaining wall - Middle of the Medawela village","4","7.045142","80.782673","50 m x 2 m","Retaining Wall (Masonary)","2,200,000","By the project","0.5 Years"
,,,"9. Establishing a retaining wall - Bank collapsing of the Nuwara Eliya road into the torrent.","5","7.044228","80.783775","25 m x 2 m","Retaining Wall (Masonary)","1,100,000","By the project","0.5 Years"
,,,"10. Establishing a retaining wall - Medawela (Mr. P.G. Dhanapala)","2","7.046048","80.781796","9 m x 3 m","Retaining Wall (Concrete)","1,056,000","By the project","0.25 Years"
,,,"11. Establishing a retaining wall - Rathunaaya","4","7.046761","80.779826","6 m x 3 m","Retaining Wall (Concrete)","704,000","By the project","0.25 Years"
"Sub Total","14,203,000",,,,,,,,,,
"5","512 D","Udawela","1. Renovation of natural drains - Beliul Oya","3","7.041343","80.778317","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Beliul Oya sub canal","5","7.042619","80.779496","600 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","60,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","160,000",,,,,,,,,,
,,,,,,,,"Grand Total","24,856,000",,
