"Table 5.34: Proposed interventions MWS-126-2","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate  LKR","Amount  LKR","Duration"
"Surveying & Demarcation (0.4 km)","Open forest near the Hewanthenna school (2 acres) 7.164317, 80.593723","Purchase boundary posts","20","Boundary posts","4,500","90,000","2027"
,,"Loading boundary posts","1","Man days","2,500","2,500",
,,"Unloading boundary posts","1","Man days","2,500","2,500",
,,"Transport cost (to the nearest motorable place) 100 boundary posts/ lorry load","1","2,500","2,500","2,500",
,,"Head load - Transport boundary posts to the forest boundary","10","Man days","2,500","25,000",
,,"Holing (500 mm x 200mm x 200)","2","Man days","2,500","5,000",
,,"Preparation field and erection","2","Man days","2,500","5,000",
,,"Cost of Cement, metal and sand","20","nr","375","7,500",
,,"Head load -Transport Cement, metal and sand","8","Man days","2,500","20,000",
,,,,,"Sub Total","160,000",
,,"Contingency (10%)",,,,"16,000",
,,,,,,"176,000",
"Surveying & Demarcation (0.2 km)","Gommana reservataion, 7.165131, 80.628049","Purchase boundary posts","12","Boundary posts","4,500","54,000","2027"
,,"Loading boundary posts","1","Man days","2,500","2,500",
,,"Unloading boundary posts","1","Man days","2,500","2,500",
,,"Transport cost (to the nearest motorable place) 100 boundary posts/ lorry load","1","2,500","2,500","2,500",
,,"Head load - Transport boundary posts to the forest boundary","6","Man days","2,500","15,000",
,,"Holing (500 mm x 200mm x 200)","2","Man days","2,500","5,000",
,,"Preparation field and erection","2","Man days","2,500","5,000",
,,"Cost of Cement, metal and sand","12","nr","375","4,500",
,,"Head load -Transport Cement, metal and sand","5","Man days","2,500","12,500",
,,,,,"Sub Total","103,500",
,,"Contingency (10%)",,,,"10,350",
,,,,,,"113,850",
"Surveying & Demarcation (0.2 km)","Samarakoon hena reserve, 7.175464, 80.621560","Purchase boundary posts","12","Boundary posts","4,500","54,000","2027"
,,"Loading boundary posts","1","Man days","2,500","2,500",
,,"Unloading boundary posts","1","Man days","2,500","2,500",
,,"Transport cost (to the nearest motorable place) 100 boundary posts/ lorry load","1","2,500","2,500","2,500",
,,"Head load - Transport boundary posts to the forest boundary","6","Man days","2,500","15,000",
,,"Holing (500 mm x 200mm x 200)","2","Man days","2,500","5,000",
,,"Preparation field and erection","2","Man days","2,500","5,000",
,,"Cost of Cement, metal and sand","12","nr","375","4,500",
,,"Head load -Transport Cement, metal and sand","5","Man days","2,500","12,500",
,,,,,"Sub Total","103,500",
"Surveying & Demarcation (0.3 km)","Keppitiyawa reserve
7.176717,
80.626189","Purchase boundary posts","15","Boundary posts","4,500","67,500","2027"
,,"Loading boundary posts","1","Man days","2,500","2,500",
,,"Unloading boundary posts","1","Man days","2,500","2,500",
,,"Transport cost (to the nearest motorable place) 100 boundary posts/ lorry load","1","2,500","2,500","2,500",
,,"Head load - Transport boundary posts to the forest boundary","8","Man days","2,500","20,000",
,,"Holing (500 mm x 200mm x 200)","2","Man days","2,500","5,000",
,,"Preparation field and erection","2","Man days","2,500","5,000",
,,"Cost of Cement, metal and sand","15","nr","375","5,625",
,,"Head load -Transport Cement, metal and sand","6","Man days","2,500","15,000",
,,,,,"Sub Total","125,625",
,,"Contingency (10%)",,,,"12,563",
,,,,,,"138,188",
"Surveying & Demarcation (0.8 km)","Ibbanwewa reserve, 7.172017,
80.627984","Purchase boundary posts","38","Boundary posts","4,500","171,000","2027"
,,"Loading boundary posts","1","Man days","2,500","2,500",
,,"Unloading boundary posts","1","Man days","2,500","2,500",
,,"Transport cost (to the nearest motorable place) 100 boundary posts/ lorry load","1","2,500","2,500","2,500",
,,"Head load - Transport boundary posts to the forest boundary","19","Man days","2,500","47,500",
,,"Holing (500 mm x 200mm x 200)","4","Man days","2,500","10,000",
,,"Preparation field and erection","4","Man days","2,500","10,000",
,,"Cost of Cement, metal and sand","38","nr","375","14,250",
,,"Head load -Transport Cement, metal and sand","16","Man days","2,500","40,000",
,,,,,"Sub Total","300,250",
,,"Contingency (10%)",,,,"30,025",
,,,,,,"330,275",
"Total",,,,,,"2,807,356",
