"Table 5.23: Cost estimate of stream protection related proposals with locations","","","","","",""
"GND No","Name of the water source","N","E","Observation","Description","Amount  Rs"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1136","Canal 1","7.178709","80.627568","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","291,500"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1136","Canal 2","7.187709","80.616853","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","555,500"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1136","Canal 3","7.181726","80.619149","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","291,500"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1136","Kokka oya","7.181981","80.615951","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","1,749,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1143","Gorokgahadeniya Canal","7.162076","80.601773","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","847,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1143","Keeragahamula Canal","7.161588","80.602112","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","291,500"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1143","Canal 1","7.159649","80.600259","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","158,400"
,,,,,"Contingancies 10%",
"1143","Dail Canal","7.161790","80.594364","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","1,111,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1144","Weda Gedara Ela","7.162872","80.607426","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","847,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1144","Daskaradeniya Ela","7.161040","80.606776","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","583,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1144","Koswattha canal","7.161966","80.610252","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","280,500"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1144","Gonatuwela canal","7.161513","80.609082","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","583,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1144","Nebunnewa kandura","7.154144","80.605934","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","508,200"
,,,,,"Contingancies 10%",
"1144","Beddepihilla canal","7.167383","80.606729","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","847,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1144","Kumbuk gahayata Kandura","7.162645","80.606458","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","847,000"
,,,,,"Contingancies 10%",
"1144","Hatharakorala Watta Ela","7.161391","80.609484","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","863,500"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1145","New casal milk village - Pusselmankada Mahaela Canal","7.155439","80.61006","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","819,500"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1145","Berakaradeniya Canal","7.158054","80.613611","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","847,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1145","Wadiagoda Canal","7.160234","80.618606","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","1,111,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1152","Ududeniya canal",,,"There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","264,000"
,,,,,"Contingancies 10%",
"1152","Bohappe canal","7.169569","80.59159","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","561,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1152","Imbuldeniya kandura","7.166154","80.594243","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","1,721,500"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1152","Canal 1","7.167169","7.167169","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","528,000"
,,,,,"Contingancies 10%",
"1152","Canal 2","7.169613","80.594736","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","555,500"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1152","Dailwatta canal","7.162919","80.592234","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","847,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1150","Gampolawatta canal","7.164148","80.589494","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","847,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1149","Mahaweli river","7.177067","80.583179","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","1,694,000"
,,,,,"Contingancies 10%",
"1149","Nirimalanga main canal (Berawaingama canal)","7.172126","80.587199","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","792,000"
,,,,,"Contingancies 10%",
"1149","Orayanwattha canal","7.170488","80.604453","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","528,000"
,,,,,"Contingancies 10%",
"1154","Kokka oya","7.167932","80.606665","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","3,443,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1154","Canal 1","7.168454","80.602945","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","264,000"
,,,,,"Contingancies 10%",
"1154","Canal 2","7.172401","80.605578","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","555,500"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1146","Kokka Oya","7.164998","80.621465","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","3,498,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1146","Thalahena canal","7.169818","80.616625","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","291,500"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1146","Diyawalagawa canal","7.164902","80.622248","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","319,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1146","Nasindeniya canal","7.161576","80.630687","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","583,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1156","Kapuweldeniya-watagollawattha Canal","7.192267","80.613823","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","583,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1156","Kokkaoya Canal","7.183999","80.613928","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","555,500"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1156","Galpilla Canal","7.187819","80.613928","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","819,500"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1156","Kandegedara pita ela Canal","7.189345","80.609623","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","583,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1156","Muloya canal","7.194255","80.607431","There are large trees at some places on both sides of the bank. But banks are eroded. Too much water flows in rainy season. In some places, small amounts of garbage have been dumped into streams, and in some places, reserved lands are being misused.","Dry rubble packing (rubble size over 225mm) boulders locally found","572,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
,,,,"Total",,"45,832,600"
