"Table 5.18: Cost estimate of minor irrigation related proposals with locations","","","","","",""
"GND No","Name of the Irrigation System","N","E","Observation","Description","Amount  Rs"
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Tidying up",
,,,,,"Rehabilitation of canal",
,,,,,"Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking",
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1155","Dambekumbura canal","7.188305","80.606051","The total length of canal is 100m. 50m have been concreted (W=0.45m, H=0.3m). 5 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","456,500"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1155","Bitthara pela canal","7.185102","80.603351","The total length of canal is 500m. 100m have been concreted (W=0.45m, H=0.3m). 5 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","1,188,000"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1155","Aswedduma canal","7.184446","80.604395","The total length of canal is 200m. 25m have been concreted (W=0.9m, H=1.2m). Too much water flows in rainy season.","Dry rubble packing (rubble size over 225mm) boulders locally found","242,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1155","Ambakubura Sub canal","7.188719","80.606831","The total length of canal is 5m. 25m have been concreted (W=2.1m, H=1.5m). Too much water flows in rainy season.","Dry rubble packing (rubble size over 225mm) boulders locally found","242,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1151","The canal from ange tank to ihalawattha paddy","7.165925","80.582196","It starts from the Ange Tank. The total length of canal is 1.5Km. 1 Km have been concreted (W=0.6m, H=0.6m). 24 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","1,188,000"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1153","Egodawela Canal 1","7.177501","80.591213","The total length of canal is 800m. 300m have been concreted (W=0.45m, H=0.3m). 8 Acres of paddy is cultivated from this canal. It acts as an outer canal through which excess water flows during the rainy season.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","1,188,000"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1153","Egodawela Canal 2","7.176877","80.591208","It is an earthen canal. Total length is 500m. 6 Acres of paddy is cultivated from this canal. It acts as an outer canal through which excess water flows during the rainy season.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","1,012,000"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1153","Madakumburayaya","7.176602","80.590435","The anicut and canal have been constructed using soil and stones. 7 Acres of paddy is cultivated from this canal. In addition, they requested that a 8ft width road  be built from this location to transport tractors to the paddy fields.","Site clearing, removing of debries & settingout","1,765,500"
,,,,,"Construction of 1.2 m high Weir across stream excluding abutments and stop planks",
,,,,,"Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking",
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1153","Kethigana ella anicut","7.175388","80.592250","The anicut is in good condition. The total length of canal is 1Km. Although some parts of the canal have been concreted, some parts of it have fallen in to disrepair (W=0.4.5m, H=0.4.5m). 20 Acres of paddy is cultivated from this canal.","Demolishing and removing collapsedconcrete lining 30 m away from reservation","1,716,000"
,,,,,"Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking",
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1153","Halgedara Anicut and canal","7.175516","80.602896","Starting from Maha oya and the anicut is in good condition. The total length of canal is 1Km (W=0.45m, H=0.45m). 8 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","979,000"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1153","Bathalewattha Anicut and canal","7.176099","80.605842","Starting from Pussathanna wewa pitaela canal and the anicut is in good condition. The total length of canal is 0.5Km. Although some parts of the canal have been concreted, some parts of it have fallen in to disrepair (W=0.3m, H=0.3m). 8 Acres of paddy is cultivated from this canal.","Demolishing and removing collapsedconcrete lining 30 m away from reservation","858,000"
,,,,,"Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking",
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1153","Godapanguwa Anicut","7.179374","80.604829","It starts from the Godapanguwa main canal. The anicut has been completely destroyed. The total length of canal is 500m. 5 Acres of paddy is cultivated from this canal.","Site clearing, removing of debries & settingout","1,897,500"
,,,,,"Construction of 1.5 m high Weir across stream / river excluding abutments and stop planks",
,,,,,"Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking",
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1143","Gorakagahadeniya Canal","7.161827","80.602702","The total length of canal is 1 Km. 100m have been concreted (W=0.3m, H=0.45m). 5 Acres of paddy is cultivated from this canal","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","1,325,500"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1144","Yamathe Anicut","7.158289","80.617254","The anicut and canal have been constructed using soil and stones.","Site clearing, removing of debries & settingout","1,248,500"
,,,,,"Construction of 0.9 m high Weir across stream excluding abutments and stop planks",
,,,,,"Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1144","Yamathe canal","7.162552","80.60717","The total length of canal is 600m. 100m have been concreted (W=0.45m, H=0.45m). 5 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","770,000"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1144","Galpoththa canal (rest part)",,,"Already developed.","Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","26,400"
,,,,,"Contingancies 10%",
"1145","Wadigoda Canal & Anicut","7.161371","80.617496","The anicut is in good condition. The total length of canal is 1Km. Although some parts of the canal have been concreted, some parts of it have fallen in to disrepair (W=0.4.5m, H=0.4.5m). 7 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","1,325,500"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1152","Ududeniya canal","7.169953","80.591533","The anicut is in good condition. The total length of canal is 500m. 5 Acres of paddy is cultivated from this canal.","Dry rubble packing (rubble size over 225mm) boulders locally found","319,000"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1150","Gampolawatta canal","7.16412","80.5894","The anicut that was built across the Gampolawatta canal(Dail canal). The anicut is in good condition[N-7.164180, E-80.589406]. The total length of canal is 1Km. 7 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","1,325,500"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1149","Niyangam welela Canal",,,"The anicut that was built across the Gampolawatta canal(Dail canal). The total length of canal is 3Km. Although some parts of the canal have been concreted, some parts of it have fallen in to disrepair (W=0.6m, H=0.45m). 60 Acres of paddy is cultivated from this canal.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking","3,547,500"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1149","Gurunnehelagama Canal","7.172102","80.587223","The anicut that was built across the Nirimalanga main canal (Berawaingama canal). The total length of canal is 500m. Although some parts of the canal have been concreted, some parts of it have fallen in to disrepair (W=0.4.5m, H=0.3m). 60 Acres of paddy is cultivated from this canal.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking","2,112,000"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1154","Orayanwatta - Niyamgamwela canal","7.170538","80.604289","The anicut that was built across the Gampolawatta canal(Dail canal). The total length of canal is 3Km. Although some parts of the canal have been concreted, some parts of it have fallen in to disrepair (W=0.6m, H=0.45m). 60 Acres of paddy is cultivated from this canal.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking","3,547,500"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1146","Kokkaoya pahala amuna","7.169387","80.619569","The anicut is in good condition. The total length of canal is 200m. Although some parts of the canal have been concreted, some parts of it have fallen in to disrepair (W=0.45m, H=0.3m). 2 acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","1,342,660"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Construction of 12m long Trough (with 0.50m x 0.40m section), 2 no of 6 m long spans, 1 nos of piers (1.2 m high x 1 nos piers + 0 m high x 0 nos piers)",
,,,,,"Site preparation & setting out",
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer  (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer  (volume batching)",
,,,,,"Spreading , Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)",
,,,,,"Tidying up",
,,,,,"Contingencies 10%",
"1146","Gedara kumbura canal","7.169105","80.619393","Part of this canal has been concreted(W=0.45m, H=0.3m), while the rest remains an earthen canal. 12 acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","665,500"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1146","Udalagumdeniya main canal","7.161782","80.628004","Part of this canal has been concreted(W=0.6m, H=0.6m), while the rest remains an earthen canal. 20 acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","1,677,500"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1146","Pallemulla canal","7.161933","80.627609","Part of this canal has been concreted(W=0.3m, H=0.6m), while the rest remains an earthen canal. 10 acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","907,500"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1146","Diyawelagawa canal","7.162566","80.625077","Water is leaking from this Anicut","Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh","1,100,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1156","Main raja Canal","7.194265","80.609276","Part of this canal has been concreted(W=0.6m, H=0.45m), while the rest remains an earthen canal. 30 acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","1,815,000"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1156","Kalaldora kumbura canal",,,"This canal is a sub-canal of the raja ela main canal. Part of this canal has been concreted(W=0.6m, H=0.45m), while the rest remains an earthen canal.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking","2,321,000"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1156","Gandayaya canal","7.1917","80.608554","Since part of this canal has been completely destroyed, it has been unable to carry water to the paddy field.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","1,342,660"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Construction of 12m long Trough (with 0.50m x 0.40m section), 2 no of 6 m long spans, 1 nos of piers (1.2 m high x 1 nos piers + 0 m high x 0 nos piers)",
,,,,,"Site preparation & setting out",
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer  (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer  (volume batching)",
,,,,,"Spreading , Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)",
,,,,,"Tidying up",
,,,,,"Contingencies 10%",
"1156","Galgediya kumbura canal",,,"This canal is a sub-canal of the raja ela main canal. About 50m of the canal is in a dilapidated condition.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","1,342,660"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Construction of 12m long Trough (with 0.50m x 0.40m section), 2 no of 6 m long spans, 1 nos of piers (1.2 m high x 1 nos piers + 0 m high x 0 nos piers)",
,,,,,"Site preparation & setting out",
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer  (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer  (volume batching)",
,,,,,"Spreading , Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)",
,,,,,"Tidying up",
