"Table 5.16: Cost estimate of domestic water source protection-related proposals","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  Rs"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1144","Weda Gedara Lida","7.161088","80.608693","A well has been constructed using RRM (L=1.5m, W=1.5m, H=1.8m).  Water is leaking from the well and the boundaries are not marked.","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating","60,500"
,,,,,"Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1145","Beragadeniya","7.157509","80.614895","a group of springs is located in this area, which is located on the border of Millagahamula GND. A formal water scheme is currently in operation.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","580,800"
,,,,,"Contingancies 10%",
"1145","Near the Mr. Sunil bandar's home","7.15499","80.610773","Wells have been constructed using RRM, but one of them is severely dilapidated (L=1.5, W=1.0m, H=1.2m).","Repairing existing well using available rubble","44,000"
,,,,,"Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1145","Near the Mr. Marin wickramasinghe's home","7.159064","80.614979","Wells have been constructed using RRM, but one of them is severely dilapidated (L=3.6, W=3.0m, H=1.2m).","Repairing existing well using available rubble","148,500"
,,,,,"Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1145","Near the Castle Milk Building","7.160578","80.616643","A well has been constructed using RRM (L=1.8m, W=1.5m, H=1.2m).  Water is leaking from the well and the boundaries are not marked.","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating","49,500"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1145","Near the Mr. Wimal Agrapala's home","7..157825","80.617101","A well has been constructed using RRM (L=2.4m, W=2.4m, H=1.8m).  Water is leaking from the well and the boundaries are not marked.","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating","49,500"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1145","Near the Mr. Nimal Jayaweera's home","7.159182","80.618071","It is a grassy area. A well has been prepared by placing pre-cast concrete rings. (Dia=1.2m, H=1.8m)","Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07","44,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1145","Near the Mr. Priyantha Siri's home","7.156966","80.619770","A pit has been built using stones and soil. There are no boundaries.","Common excavation for foundation or quarry materials and haul the surplus up to 30m by Manually.","148,500"
,,,,,"150mm x 225mm Random Rubble masonry work in 1:5 cement and sand mortar in structures",
,,,,,"Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1152","Denodara well","7.168501","80.595032","A well has been constructed using RRM (L=1.2m, W=1.2m, H=1.0m). There are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","48,400"
,,,,,"Contingancies 10%",
"1150","Spring above the  Rette Wanguwa (bend) of Gampolawatta","7.160807","80.592148","There is a  tank built of concrete (L=2.1m, W=2.1m, H=3.0m). The top is covered with a concrete slab. Water is scarce during dry season. There are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","96,800"
,,,,,"Contingancies 10%",
"1154","Spring near the boundary of Lagum Deniya (19th division)","7.176418","80.612942","Several families obtain water informally. There is no stock tank and boundaries.","Construction of Concrete water storage tank of 20 cum - size internal t 3mx3mx2.5","1,039,500"
,,,,,"Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1154","Spring near the Paththini Devalaya of Uda Iguruwatta","7.171983","80.606255","There is a  tank built of concrete (L=1.4m, W=0.9m, H=0.9m). There are no boundaries.","Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07","66,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1154","Spring at Mrs. N.G. Nilmini's land of 18th division","7.172690","80.613672","Currently used for bathing.","Construction of Concrete water storage tank of 20 cum - size internal t 3mx3mx2.5","946,000"
,,,,,"Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1154","Theppukulama well","7.168063","80.605998","There is a  tank built of concrete. There are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","193,600"
,,,,,"Contingancies 10%",
"1154","Spring near the Mrs. Vijaya Rangana Renuka's home","7.166892","80.602057","There is a  tank built of concrete (L=1.2m, W=1.2m, H=0.9m). The top is covered with a concrete slab. Water is scarce during dry season. There are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","193,600"
,,,,,"Contingancies 10%",
"1146","Gommane forest reserve Spring","7.161386","80.633113","Located in the Gommana reserve, several families currently obtain water informally. A stock tank has been constructed using brick (L=2.3m, W=2.0m, H=1.2m). Tank is very dilapidated.","Construction of Concrete water storage tank of 20 cum - size internal t 3mx3mx2.5","1,039,500"
,,,,,"Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1146","Madalagumdeniya Public well(near the Moragolla house)","7.163434","80.623280","A well has been constructed using RRM (L=2.8m, W=2.4m, H=1.2m). Water is leaking from the well and the boundaries are not marked.","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating","60,500"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1146","Kuraheda Public well","7.167326","80.618003","A well has been constructed using RRM (L=5.5m, W=3.1m, H=1.5m). The top is covered with a concrete slab. Water is leaking from the well and the boundaries are not marked.","Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh","110,000"
,,,,,"Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating",
,,,,,"For concrete covering slabs",
,,,,,"Contingancies 10%",
"1146","Gedara kubura thalagahawattha well","7.169687","80.616585","A well has been constructed using RRM (L=2.1m, W=1.8m, H=3.0m). The top is covered with a mesh. Water is leaking from the well and the boundaries are not marked.","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating","93,500"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1146","Mellagolla well","7.177179","80.618716","A well has been constructed using stones (L=1.2m, W=1.2m, H=0.75m). Water is leaking from the well and the boundaries are not marked.","Reconstruction of existing well (re-using the rubble)","71,500"
,,,,,"Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1146","Uda Lagumdeniya Olu well","7.162464","80.627244","A well has been constructed using RRM (L=2.4m, W=2.1m, H=2.1m). Water is leaking from the well and the boundaries are not marked.","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating","110,000"
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1146","Pussathanna public well","7.170889","80.620605","A well has been constructed using RRM (L=2.4m, W=2.4m, H=2.4m). Tank is very dilapidated and the boundaries are not marked.","Reconstruction of existing well (re-using the rubble)","170,500"
,,,,,"Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1146","Samarakoon hena reserve","7.175464","80.621560","A well has been constructed using RRM (L=2.4m, W=2.1m, H=2.1m). The boundaries are not marked.","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating","104,500"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1146","Ibban wewa reserve","7.172017","80.627984","Located in the Ibban wewa reserve, several families currently obtain water informally. A tank has been constructed using RRM (L=3.0m, W=3.0m, H=1.0m).  Water is leaking from the well and the boundaries are not marked.","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating","990,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1146","Panawalahena public well","7.165131","80.628049","A well has been constructed using RRM (L=2.3m, W=2.0m, H=1.0m). The boundaries are not marked.","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating","77,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1146","Atambugahamula pihilla","7.165068","80.621497","Located in the kokka oya and used for bathing. Due to erosion of the kokka oya, the water flow to this 'pihilla' has stopped.","Construction of 0.6 m high Weir across stream excluding abutments and stop planks","522,500"
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supplying & laying 63mm Dia PVC pipe line in solvent socket type in PN-11 rate including socket, solvent cement, etc..",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1156","Kapuwaldeniya Water spring","7.192197","80.613807","There is a  tank built of concrete (L=1.8m, W=1.8m, H=1.5m). The top is covered with a concrete slab. Water is scarce during dry season. There are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","598,950"
,,,,,"Contingancies 10%",
"1156","Kandegedara tank reservation","7.189345","80.609623","Villagers obtain and consume water from kandegedra tank.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","193,600"
,,,,,"Contingancies 10%",
"1143","Leemagasthanna","7.155388","80.600469","There is big trees and it borders privet lands.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","290,400"
,,,,,"Contingancies 10%",
"1144","Koswatta reservation","7.163065","80.612306","There is big trees and it borders privet lands.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","968,000"
,,,,,"Contingancies 10%",
"1145","Beragadeniya","7.157509","80.614895","It borders privet lands.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","580,800"
,,,,,"Contingancies 10%",
"1145","Near the Mr. Sunil bandar's home","7.154990","80.610773","It borders privet lands.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","54,450"
,,,,,"Contingancies 10%",
"1145","Near the Mr. Marin wickramasinghe's home","7.159064","80.614979","It borders privet lands.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","24,200"
,,,,,"Contingancies 10%",
"1145","Near the Castle Milk Building","7.160578","80.616643","It borders privet lands.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","24,200"
,,,,,"Contingancies 10%",
"1145","Near the Mr. Wimal Agrapala's home","7..157825","80.617101","It borders privet lands.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","24,200"
,,,,,"Contingancies 10%",
"1145","Near the Mr. Nimal Jayaweera's home","7.159182","80.618071","It borders privet lands.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","48,400"
,,,,,"Contingancies 10%",
"1145","Near the Mr. Priyantha Siri's home","7.156966","80.619770","It borders privet lands.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","48,400"
,,,,,"Contingancies 10%",
