"Table 5.29: Potential for tourism development and promotion in the area","","","","","",""
"GND No","Name of the water source","N","E","Observation","Description","Amount  Rs"
"689","Ruckaththana amuna Kandura No2","7.286002","80.686806","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplanting bamboo species and vetiver grass or riparian speciesMiscellaneousContigencies (10%)","89,760.00"
,,,,,,
"689","Ruckaththana amuna Kandura No3","7.284608","80.686150","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplanting bamboo species and vetiver grass or riparian speciesMiscellaneousContigencies (10%)","67,320.00"
,,,,,,
"692","Kuda wewa kandura","7.280332","80.700991","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplanting bamboo species and vetiver grass or riparian speciesMiscellaneousContigencies (10%)","21,780.00"
,,,,,,
"692","Loku wewa kandura","7.273979","80.704474","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplanting bamboo species and vetiver grass or riparian speciesMiscellaneousContigencies (10%)","53,350.00"
"692","Dumbarathanna kandura","7.277256","80.708799","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplanting bamboo species and vetiver grass or riparian speciesMiscellaneousContigencies (10%)","41,800.00"
,,,,,,
"692","Reservoir reserve areas","7.272809","80.707814","During the rainy season when too much water flows, Bank erosion occurs","Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplanting bamboo species and vetiver grass or riparian speciesContigencies (10%)","28,600.00"
"651","Mahaweli river","7.301291","80.653996","During the rainy season when too much water flows, Bank erosion occurs","Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplanting bamboo species and vetiver grass or riparian speciesContigencies (10%)","40,700.00"
,,,,,,
"665","Road of river bank","7.320298","80.646850","During the rainy season when too much water flows, Bank erosion occurs","Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplanting bamboo species and vetiver grass or riparian speciesContigencies (10%)","40,700.00"
,,,,,,
"684","Victoriya reservaton","7.280885","80.668349","During the rainy season when too much water flows, Bank erosion occurs","Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplanting bamboo species and vetiver grass or riparian speciesMiscellaneousContigencies (10%)","49,000.00"
,,,,,,
"691","Near the Road Development authority","7.273328","80.686732","During the rainy season when too much water flows, Bank erosion occurs","Vegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplanting bamboo species and vetiver grass or riparian speciesContigencies (10%)","57,200.00"
,,,,,,
,,,,"Total",,"945,610.00"
