"Table 5.24: Time frame for implementation of minor irrigation proposals","","","","",""
"Name of the Irrigation System","N","E","Observation","Description","Amount  Rs"
"Alugollayaya ela","7.296311","80.666921","Existing is a Earthen canal. The total length of the canal is about 1200m.Water from this canal is used to grow paddy on an area of about 15 acres.During the rainy season when too much water flows, Bank erosion occurs. Paddy fields have submerged due to the increase in water during the rainy season.","Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","2,673,000.00"
,,,,,
"Mattambaayaya ela","7.302804","80.662619","The total length of the canal is about300m, Existing is a Earthen canal. Water from this canal is used to grow vegetable on an area of about 3 acres. During the rainy season when too much water flows, Bank erosion occurs.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","561,000.00"
,,,,,
,,,,,
"Veangayaya ela","7.296703","80.666013","The total length of the canal is about300m, Existing is a Earthen canal. Water from this canal is used to grow paddy on an area of about 3.5 acres.During the rainy season when too much water flows, Bank erosion occurs.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","561,000.00"
,,,,,
"Pin angapatha canal","7.299994","80.661670","The total length of the canal is about1000m, About150 m have been concreted. The balance part of the canal is earthen and some places are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 7 acres.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","561,000.00"
,,,,,
,,,,,
"Galahetiyawa ela","7.306198","80.660820","Existing is a Earthen canal .The total length of the canal is about1500m,  some places are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about12 acres.During the rainy season when too much water flows,","Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,947,000.00"
,,,,,
"Dunumadalawa ela","7.302989","80.658937","Existing is a Earthen canal. During the rainy season when too much water flows","Dry rubble packing (with locally found rubble, size over 225mm )Planting Bamboo species and Vetiver grass or Riparian speciesMiscellaneousContigencies (10%)","550,000.00"
,,,,,
,,,,,
"Atikehllanda-Nellegala canal","7.289467","80.668556","The total length of the canal is about 800m, About30 m have been concreted. The balance part of the canal is earthen and some places are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 8 acres.","Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropDry rubble packing (with locally found rubble, size over 225mm )MiscellaneousContigencies (10%)","2,684,000.00"
,,,,,
"Daluggala kumbura ela","7.294477","80.661476","The total length of the canal is about150m, About30 m have been concreted. The balance part of the canal is earthen and some places are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 5 acres.","Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","599,500.00"
,,,,,
,,,,,
"Levelllagamayaya Left side canal","7.297105","80.660782","The total length of the canal is about 600m, About500 have been(450mm xn500mm)rectangular concreted. The balance part of the canal is earthen. Water from this canal is used to grow paddy on an area of about 15acre","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropDry rubble packing (with locally found rubble, size over 225mm )MiscellaneousContigencies (10%)","770,000.00"
,,,,,
"Levelllagamayaya Right side canal","7.298168","80.659887","Existing 500mm x 600mm rectangle concrete canal canal .A concrete slab has been placed over the canal for a side road.Through that, a large amount of water flows in to the road. The  canal overflows from one place.   During the rainy season when too much water flows,","Fabricating and placing of Iron meshRaising of existinng wallScarifying existing rock or concrete surfaceSupplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixingPlywood form work including making, fixing & removing for concrete canals at ground level -05 uses1:2:4 (20mm) concrete manual mix  (volume batching)MiscellaneousContigencies (10%)","77,000.00"
,,,,,
,,,,,
"Higurugollawapatha canal","7.316616","80.673569","The total length of the canal is about1200m, About150 m have been concreted. The balance part of the canal is earthen and some places are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about12 acres.","Dry Silt removing from Canal or Tank beds and haul the surplus materials up to 30m. distance by Manually.Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,435,500.00"
,,,,,
"Imbulkotadeniya canal","7.317372","80.672860","The total length of the canal is about 1500m, About 180 m have been concreted. The balance part of the canal is earthen and some places are in a very dilapidated condition. During the rainy season when too much water flows, Bank erosion occurs. Paddy fields have submerged due to the increase in water during the rainy season. Water from this canal is used to grow paddy on an area of about 15 acres.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","2,904,000.00"
,,,,,
,,,,,
"Thumpokuna ela No 1","7.312541","80.664196","Existing Earthen canal","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","231,000.00"
,,,,,
"Thumpokuna ela No 2","7.313632","80.665518","Existing Earthen canal","Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining WallContigencies (10%)","660,000.00"
,,,,,
,,,,,
"Herassagala ela","7.306698","80.664988","The total length of the canal is about1500m, About150m have been concreted. The balance part of the canal is earthen and some places are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 20 acres.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,325,500.00"
,,,,,
"Gamawela ela","7.307216","80.663231","The total length of the canal is about1500m, About1300m have been concreted. The balance part of the canal is earthen and some places are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 40 acres.","Canal reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,232,000.00"
,,,,,
,,,,,
"Geethagalayaye ela","7.310672","80.661444","The total length of the canal is about 500m, About 50m have been(900mm x 800mm w x h) concreted.","Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining WallVegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m gridMiscellaneousContigencies (10%)","1,562,000.00"
,,,,,
"Dombeyaye ela No 1","7.308037","80.665046","Existing Earthen canal .During the rainy season when too much water flows,","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingVegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m gridMiscellaneousContigencies (10%)","632,500.00"
,,,,,
,,,,,
"Dombeyaye ela No 2","7.307405","80.665045","The total length of the canal is about 500m,Existing Earthen canal and some places are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 20 acre","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,325,500.00"
,,,,,
"Hapuwala angayaya ela","7.298451","80.672065","The total length of the canal is about300m,Existing Earthen canal and some places are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 4 acre","Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,177,000.00"
,,,,,
,,,,,
"Hapuwala angayaya ela No 2","7.298225","80.672692","The total length of the canal is about300m,Existing Earthen canal and some places are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 4 acre","Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,100,000.00"
,,,,,
"Thalwaragedara gedara angayaya ela","7.300447","80.670161","The total length of the canal is about300m,Existing Earthen canal and some places are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 4 acre","Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,177,000.00"
,,,,,
,,,,,
"Deekirimadawala welyaya canal","7.303545","80.666742","The total length of the canal is about 1.0km, About 500m have been concreted. The balance part of the canal is earthen and some places are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 20 acres.","Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","3,234,000.00"
,,,,,
"Uradeniya canal","7.307970","80.680047","The total length of the canal is about 1.0km, About 500m have been concreted. The balance part of the canal is earthen and some places are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 13 acres.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,325,500.00"
,,,,,
,,,,,
"Uradeniya canal No 2","7.307437","80.682178","The total length of the canal is about 1.0km, About 500m have been concreted. The balance part of the canal is earthen and some places are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 13 acres.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,325,500.00"
,,,,,
"Gal edandayaya canal","7.306689","80.673502","The total length of the canal is about 2.0km, About 500m have been concreted. The balance part of the canal is earthen and some places are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 45 acres.","Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","4,636,500.00"
,,,,,
,,,,,
"Weraluga's yaya canal","7.299602","80.672748","The total length of the canal is about 600m, Existing Earthen canal. The canal breaks and water flows throug the fields at some places. are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 13 acre.","Construction of 1.8m high 1:3:6 (40mm) cement concrete Retaining Wall Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","2,051,500.00"
,,,,,
"Alakolayaye ela","7.303322","80.672793","The total length of the canal is about 500m.Existing  canal is earthen and some places are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 16 acres.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,952,500.00"
,,,,,
,,,,,
"Nagamulla welyaya","7.296156","80.681736","The total length of the canal is about 500m.Existing  canal is earthen and some places are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 10 acres.","Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,133,000.00"
,,,,,
"Galgodahinnayaya canal","7.296138","80.683734","Existing is a Earthen canal and some places are in a very dilapidated Water from this canal is used to grow paddy on an area of about 5 acres. Right bank have been heavily disaster at one place","Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall Construction of 1.8m high 1:3:6 (40mm) cement concrete Retaining Wall MiscellaneousContigencies (10%)","825,000.00"
,,,,,
,,,,,
"Bulathwel yaya kandura canal","7.295111","80.685305","Existing is a Earthen canal and some places are in a very dilapidated Water from this canal is used to grow paddy on an area of about 5 acres. Right bank have been heavily disaster at one place","Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m gridMiscellaneousContigencies (10%)","1,430,000.00"
,,,,,
"Aswaddumayaya","7.299184","80.673669","Existing is  Earthen canal.The anicut is Constructed  by earth and  sand bags","Construction of 1.2 m high Weir across stream excluding abutments and stop planksConstruction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall 75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)Planting Bamboo species and Vetiver grass or Riparian speciesDry rubble packing (with locally found rubble, size over 225mm )MiscellaneousContigencies (10%)","1,688,500.00"
,,,,,
,,,,,
,"7.298818","80.674397","Existing is  Earthen canal .The anicut is Constructed  by earth and  sand bags","Removing existing anicut, clearing and preparing site Construction of 1.2 m high Weir across stream excluding abutments and stop planksConstruction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall 75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)Planting Bamboo species and Vetiver grass or Riparian speciesMiscellaneousContigencies (10%)","1,221,000.00"
,,,,,
"Aswaddumayaya right canal","7.298741","80.673567","Existing is a Earthen canal and some places are in a very dilapidated Water from this canal is used to grow paddy on an area of about 5 acres.","Construction of 3.0m high 1:3:6 (40mm) cement concrete Retaining Wall Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall MiscellaneousContigencies (10%)","1,567,500.00"
,,,,,
,,,,,
"Moragollayaya","7.300393","80.675780","The canal has been filled with soil and the jungle has grown. Cultivation has been abandoned due to animal damage","Dry Silt removing from Canal or Tank beds and haul the surplus materials up to 30m. distance by Manually.MiscellaneousContigencies (10%)","33,000.00"
,,,,,
"Dambagahayaya","7.304341","80.677265","The Existing is  Earthen canal.The total length of the canal is about 200m, Water from this canal is used to grow paddy on an area of about 5 acre","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","803,000.00"
,,,,,
,,,,,
"Kotte wawa yaya canaL","7.302709","80.681138","The total length of the canal is about 1000m, About 50m have been(600mm x 300mm)rectangular concreted. The balance part of the canal is earthen. Water from this canal is used to grow paddy on an area of about 22 acre","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","1,952,500.00"
,,,,,
"Dehiattamada yaya","7.313907","80.652509","The total length of the canal is about150m, About 20m have been(600mm x 600mm)rectangular concreted. The balance part of the canal is earthen. Water from this canal is used to grow paddy on an area of about 3 acre. The concrete canal system has collapsed about five meters. There have a five meter long culvert is irregularly constructed.","Clearing and preparing the siteCanal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingDemolishing existing culvertConstruction of 0.60m Dia x 4.8m long culvertConstruction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall Supplying of 600mm Dia x 2.44m long Hume PipesLoading and Unloading 600mm diameter 2.44m Long HumePipesLaying & Jointing 600 mm Dia. Available Concrete Pipes and Collars (Cement, sand & water for jointing hume pipes paid Separately)Spreading , Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)Tidying upMiscellaneousContigencies (10%)","462,000.00"
,,,,,
,,,,,
"Galapitiyawa ela","7.319580","80.657646","The total length of the canal is about 1000m, Existing Earthen canal.  some places. are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 15 acre. The existing retaining walls are broken","Construction of 1.8m high 1:3:6 (40mm) cement concrete Retaining Wall Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContigencies (10%)","2,772,000.00"
,,,,,
"Mahawelyaya canal","7.319649","80.655355","The total length of the canal is about 500m, Existing Earthen canal.  some places. are in a very dilapidated condition. Water from this canal is used to grow paddy on an area of about 15 acre. Due to the high level of the culvert built across the road.water does not flow through it.","Dry Silt removing from Canal or Tank beds and haul the surplus materials up to 30m. distance by Manually.Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall Construction of 0.60m Dia x 4.8m long culvertConstruction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall Supplying of 600mm Dia x 2.44m long Hume PipesLoading and Unloading 600mm diameter 2.44m Long HumePipesLaying & Jointing 600 mm Dia. Available Concrete Pipes and Collars (Cement, sand & water for jointing hume pipes paid Separately)Spreading , Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)Tidying upMiscellaneousContigencies (10%)","907,500.00"
,,,,,
,,,,,
