"Table 5.10: Cost estimate of minor irrigation related proposals with locations","","","","","",""
"GND No","Name of the Irrigation System","N","E","Observation","Description","Amount  Rs"
"1135","Eedurumanpitiya canal","7.190183","80.659364","The total length of canal is 600m. 10m of the canal (W=0.3m, H=0.3m) have been concreted but water leaks. the rest of the canal remains as an earthen canal. 7 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","1,045,000"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1135","Eedurumanpitiya  anicut","7.190043","80.659654","The water is leaking in ti the existing anicut, which is built across the Palle delthota kandura. Part of anicut is built using stone and soil.","Demolishing the existing structure, removing debris and clearing the site including settingout","1,419,000"
,,,,,"Construction of 0.9 m high Weir across stream excluding abutments and stop planks",
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1135","Mahakumbura canal","7.190930","80.663801","The total length of canal is 1.5Km. The precast half round (Semi- circular) concrete drains is used to carry water for a distance of about 1.2 Km. the rest of the canal remains as an earthen canal. 15 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","1,677,500"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1135","Himbutuwelhinna canal","7.186294","80.667612","The total length of canal is 1.5Km. This canal is concreted in places, while the remaining parts are earthen canal. 35 Acres of paddy is cultivated from this canal.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking","2,596,000"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1135","Himbutuwelhinna anicut","7.186319","80.667656","This anicut was built using soil and stones.","Demolishing the existing structure, removing debris and clearing the site including settingout","770,000"
,,,,,"Construction of 0.9 m high Weir across stream excluding abutments and stop planks",
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1135","Uda Kumbura canal","7.186678","80.664637","The canal (W=0.3m, H=0.3m) have been concreted. 100m of the canal remains as an earthen canal. 15 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","1,083,500"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1135","Aswedduma  canal","7.191345","80.661737","The canal remains as an earthen canal. 6 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","841,500"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1135","Aswedduma anicut","7.192231","80.662003","This anicut was built using soil and stones, crossing the Aswedduma Kandura.","Demolishing the existing structure, removing debris and clearing the site including settingout","852,500"
,,,,,"Construction of 0.9 m high Weir across stream excluding abutments and stop planks",
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1133","Pitawala - Levelan watta","7.157391","80.624000","The total length of canal is 1.5 Km. Some parts of the canal have been concreted (W=0.45m, H=0.45m). There is still about 200m to be concreted . 10 Acres of paddy is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","1,725,372"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Dry rubble packing (rubble size over 225mm) boulders locally found",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
,,,,,"Total","18,681,872"
