"Table 5.8: Cost estimate of water source protection-related proposals","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  Rs"
,,,,,"Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1136","Kurusa Junction","7.198831","80.644627","Water is taken from the outer canal of the Nillamba tank.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","193,600"
,,,,,"Contingancies 10%",
"1136","Hanthana forrest","7.194055","80.655937","Small shrubs are common, while large trees are rare. The boundaries are not marked. Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","775,500"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1132","Pitawala paddy field","7.156994","80.672494","Located on a middle of paddy. There are no boundaries and no large trees and Catchpit (L=0.75m, W=0.75m, H=0.9m) have been build.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","48,400"
,,,,,"Contingancies 10%",
"1132","Pitawala paddy field","7.156994","80.672494","The boundaries are not marked. Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","121,000"
,,,,,"Contingancies 10%",
"1135","Wedathenna  canal (Punchiwatta)","7.178586","80.653153","This is a This is a canal though which spring water flows. The water is distributed by building a dam (L=4.5m, H=0.75m) across the canal and sending it to the stock tanks trough a 100mm pipe.","Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","528,000"
,,,,,"Contingancies 10%",
"1135","the spring near the 'Nillamba A' quarry","7.173307","80.656078","The spring located near the quarry. There are no large trees.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","242,000"
,,,,,"Contingancies 10%",
"1135","Wee Goda Ulaha Pathana","7.187433","80.669485","The boundaries are not marked. Land is being illegally acquired because there are no boundaries. Turpentine trees are grown here.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","1,358,500"
,,,,,"Contingancies 10%",
"1140","Erin water source","7.168383","80.676905","Located on Tea Land. Currently people are using water irregularly. A concrete wall about 4m Length and 0.6m Height is built to collect water. No water filtering system and boundary.","Establishing a water filtering system","1,316,700"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1140","Erin water source","7.168554","80.676883","Located on Tea Land. Currently people are using water irregularly. A concrete wall about 4m Length and 0.6m Height is built to collect water. No water filtering system and boundary.","Establishing a water filtering system","2,498,870"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1140","Nillamba ii megodagama water source","7.171984","80.657034","Located on Nillama 2 Water catchment area(Forest).a small dam is built across a flowing water stream to collect water. No water filtering system and boundaries.","Construction of Concrete water storage tank of 20 cum - size internal t 3mx3mx2.5","1,215,500"
,,,,,"Establishing a water filtering system",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1140","Erin","7.168383","80.676905","It borders a tea estate. The boundaries are not marked and there are few large trees.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","968,000"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1140","Nillamba 11","7.171984","80.657034","It borders privet lands. The boundaries are not marked and there are few large trees.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","390,500"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1133","No. 03 water source of C.G division","7.162382","80.686283","Located on CG Division estate. There is a group of springs here.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","3,061,300"
,,,,,"Contingancies 10%",
"1133","No. 02 water source of C.G division","7.159946","80.680473","Located on CG Division estate. There is a group of springs here. Since the people have left this area, water is currently obtained for animal husbandry purpose.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","677,600"
,,,,,"Contingancies 10%",
"1133","No. 08 water source of C.G division","7.16016","80.69028","Located on CG Division forest Reserve. Water from the canal leading from the water springs is collected in a catchpit and distributed. The catchpit is made of stones and soil. There is no stock tank and filtering system.","Construction of new catchpit (1.2m x 1.2m x 0.9m)","352,000"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
,,,,,"Establishing a water filtering system",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1133","No. 06 water source of C.G division","7.166549","80.681928","Located on CG Division estate. Water from water springs and a canal leading from the water springs is collected in a catchpit and distributed trough a stock tank. The catchpit has no cover and the boundaries are not marked.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","193,600"
,,,,,"Contingancies 10%",
"1133","No. 02 water source of H.N division","7.149997","80.688224","Located on Levallon estate upper forest. Water from water springs and a canal leading from the water springs is collected in a catchpit and distributed trough a stock tank.","Establishing a water filtering system","275,000"
,,,,,"Contingancies 10%",
"1133","No. 01 water source of H.N division","7.144609","80.693210","Water is taken from the HN 1 canal, through a sub canal to the vacinity of the stock tank. There is no filtering system and the boundaries are not marked.","Construction of new catchpit (1.2m x 1.2m x 0.9m)","544,500"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
,,,,,"Establishing a water filtering system",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1133","No. 05 water source of Levallon division","7.157391","80.682400","Located on Levallon No.5 . Water from the canal leading from the water springs is collected in a catchpit and distributed trough a stock tank.  There is no filtering system and the boundaries are not marked.","Establishing a water filtering system","473,000"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1133","Levallon Estate CG upper division","7.160079","80.690172","It borders a tea estate. The boundaries are not marked and there are few large trees.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","3,872,000"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1133","Levallon  Estate H.N upper division","7.149997","80.688224","It borders a tea estate. The boundaries are not marked.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","4,840,000"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1133","Pitawala - Levallon upper division","7.157391","80.6824","The boundaries are not marked and there are few large trees.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","2,420,000"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
,,,,,"Total","27,091,570"
