"Table 5.5: Cost estimate of water source protection-related proposals","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  Rs"
"1148","Gama meda peella","7.150933","80.629406",,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","13,200"
,,,,,"Miscellaneous",
,,,,,"CONTINGANCIES 10%",
"1182","Galekanda reserve","7.137336","80.654776","Although part of this area has fairly large trees, the rest is pines trees have been planted. The villagers say that water is gradually becoming scarce due to this cultivation. Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","25,300"
,,,,,"Miscellaneous",
,,,,,"CONTINGANCIES 10%",
"1182","Rajathalawa (Near the CEB transformer)","7.142536","80.649342","There is big trees and it borders privet lands.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","25,300"
,,,,,"Miscellaneous",
,,,,,"CONTINGANCIES 10%",
"1181","Delta ii Reserve","7.124885","80.670495","Although part of this area has fairly large trees, the rest is pines trees have been planted. The villagers say that water is gradually becoming scarce due to this cultivation. Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","49,500"
,,,,,"Miscellaneous",
,,,,,"CONTINGANCIES 10%",
"1181","Pupuressa Natsa No.4","7.131909","80.669471","There is big trees and it borders privet lands.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","25,300"
,,,,,"Miscellaneous",
,,,,,"CONTINGANCIES 10%",
,,,,"Total",,"2,022,900"
