"Table 5.44: Expenditure Estimate for training programs","","","","","","","",""
"No","Activity","Number of trainings","Duration in Days","Total   of Participants","Total cost  RS","Con  From DSD RS  Institution","Project Con  RS","Proposed training Partner"
"11","Forest Restoration training for  selected  officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"12","Integrated Watershed Management training for  selected  Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"13","Domestication and use of wild species for watershed management for selected   officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"14","Training for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment- For Teachers  (Hanguranketha DSD)","Budget was allocated under MWS-002-2 (Hanguranketha)","DOA/ NRMC/University",,,,,
"15","Training EDOs and SDOs to conduct cascading training on Financial Literacy and Household Money Management (ToT)","Budget was allocated under MWS-002-2 (Hanguranketha)","CBSL Matale Regional office/CBSL HO",,,,,
"Training for Communities",,,,,,,,
"16","Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND","16","1","800","1, 740, 800","-","1, 740, 800","Agriculture Park DoA"
"17","Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND","16","1","800","1, 075, 200","-","1, 075, 200","Natural Resources Management Center/DOA"
"18","Good Practices in Agrochemicals Application for GPC Community Members and Identified Farmers","16","1","800","1, 058, 400","-","1, 058, 400","DOA"
"19","Importance of Home Garden Improvement for watershed Management (Common For MWS-002-2, MWS-009, MWS-010, MWS-011, MWS-012, MWS-013, MWS-014, MWS-018-2 and MWS-020.)","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"20","Conduct Field Day for Soil and Water Conservation Practice for GPC Community leaders and Farmers","16","1","800","592, 000","-","592, 000","AI, AR&PA and EDO/Natural Resources Management Center"
"21","Field Day - for best practices in the usage of pesticides, integrated pest control, and fertilizer applications for GPC community members and identified farmers. One training/GND","16","1","800","592, 000","-","592, 000","AI, AR&PA and EDO"
"22","Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD","16","1","800","1, 059, 200",,"1, 059, 200","DOA/NRMC"
"23","Awareness on Green Skill and Green Technology Concept for Youth and GPC members","16","1","640","1, 188, 800","40, 000","1, 148, 800","DOA"
"24","Climate Change Adaptation  Awareness on GPC and selected farmers","16","1","800","944, 000",,"944, 000","AI, EDO"
"25","Conduct Field Day on Climatic Training Adaptation","16","1","800","560, 000","-","560, 000","AI & EDO"
"26","Awareness on Forest Fire Prevention and Control GPC and community members","16","1","800","1, 299, 200","-","1, 299, 200","Forest Department"
"27","Responsible use of water resources for GPC/GWMC and community members","16","1","800","1, 299, 200","-","1, 299, 200","Forest Department"
"28","Important of environment conservation and social responsibility of community- For Student (Grade 11 and Above at Hanguranketha DSD)","Training was allocated under MWS-002-2 (Hanguranketha)",,,,,,
"29","Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organization (WDOs)","16","1","800","739, 200",,"739, 200","EDOs &SDO"
"30","Conduct Refresher Training on Household Money Management for GPC and Community Members","16","1","800","513, 600",,"513, 600","EDO and SDO"
"31","Career Guidance & Career Fair Event (Hanguranketha DSD)","Budget was allocated under MWS-002-2 (Hanguranketha)","Skills Development Officer & Human Resources Development Assistant of DSD",,,,,
"32","Awareness on Gender and Social Inclusion Training","2","1","126","152, 940","5, 000","147, 940","TBD"
"33","Community Training - livelihood and Marketing",,,,"1, 020, 000",,"1, 020, 000",
,"Total Estimated budget",,,"10,399","13,908,310","47,500","13,860,810",
