"Table 5.3: Key OFF-FARM proposed for soil and water conservation in MWS-011 belongs to Hanguranketha DS Division","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,"3. Renovation of natural drains - Stream of Gal linda reservation","4","7.15921","80.74733","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","940,000",,,,,,,,,,
"10","498F","Labuhena","1. Renovation of natural drains - Mahathenna Ulpatha Kadura","1","7.143296","80.772439","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Galwala Hena Kadura","4","7.147137","80.769568","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Pitalbedda Kadura","5","7.148296","80.771603","700 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","70,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Labuhena Kadura","1","7.144002","80.775654","700 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","70,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","440,000",,,,,,,,,,
"11","501C","Madumana2","1. Renovation of natural drains - Mul Oya","5","7.121368","80.752899","2 km","Planting some trees along the banks and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","200,000",,,,,,,,,,
"12","498C","Makempe","1. Renovation of natural drains - Mul Oya","4","7.135331","80.754898","1.5 km","Planting some trees along the banks and other conservation practices","150,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Dunnala Kadura (Stream near the Mr. R.M.Premarathna's house)","4","7.136057","80.75887","1.1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","110,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Atupola Oya","4","7.135499","80.761019","2 km","Planting some trees along the banks and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Katuela Arawa Pihilla","5","7.138387","80.76057","900 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","90,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Dehiaththa Kadura","5","7.136783","80.762213","1.7 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","170,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","720,000",,,,,,,,,,
"13","498A","Poramadulla","1. Renovation of natural drains - Mala Kadura 1","5","7.14085","80.773224","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Mala Kadura 2","3","7.140515","80.772261","7 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","700,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Mala Kadura 3","5","7.139866","80.771568","1.3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","130,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Mala Kadura 4 (near the community hall)","3","7.140211","80.770983","10 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","1,000,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Stream near the playground","3","7.141737","80.76745","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"6. Establishing a retaining wall - Near the Mahathenna Marasinghe stores","5","7.140653","80.772772","30 m x 3 m","Retaining Wall (Concrete)","3,492,500","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Establishing a  rubble masonory wall - Torrent near the community hall","1","7.136997","80.771311","1000 m x 2 m","Retaining Wall (Masonary)","44,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"8. Establishing a  rubble masonory wall - Near the Silvarajan's home","5","7.136917","80.77188","9 m x 2 m","Retaining Wall (Masonary)","396,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","49,758,500",,,,,,,,,,
"14","498E","Puranagama","1. Renovation of natural drains - Hirala Kadura","1","7.134767","80.755293","1.1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","110,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Hiran Ella","1","7.134450","80.754956","1.1 km","Planting some trees along the banks and other conservation practices","110,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","220,000",,,,,,,,,,
"15","497","Unanthenna","1. Renovation of natural drains - Koskadura","1","7.168996","80.745476","1.1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","110,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Hewan Arawa Kadura","3","7.167031","80.743544","3.5 km","Planting some trees along the banks and other conservation practices","350,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Pansala Handiya Kadura","5","7.16588","80.747347","400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","40,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Constructing a retaining wall","1","7.168845","80.745141","20 m x 3 m","Retaining Wall (Concrete)","2,332,000","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Constructing a retaining wall","1","7.169383","80.744697","10 m x 2 m","Retaining Wall (Masonary)","440,000","Labour and other basic services by the Local community","0.5 Years"
,,,"6. Constructing a retaining wall","3","7.167961","80.743478","10 m x 4.5 m","Retaining Wall (Concrete)","1,171,500","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","4,443,500",,,,,,,,,,
"16","498","Wegama","1. Renovation of natural drains - Poodagoda new stream","4","7.12929","80.761638","600 m","Planting some trees along the banks and other conservation practices","60,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Gallegoda Kadura","1","7.130464","80.766183","700 m","Planting some trees along the banks and other conservation practices","70,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Renovation of natural drains - Wegama Oya","5","7.129112","80.76437","5 km","Planting some trees along the banks and other conservation practices","500,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","630,000",,,,,,,,,,
,,,,,,,,"Grand Total","80,298,500",,
