No.,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,On/Off Site,N,E,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Total Cost,"Contribution (Local Community, LA, and the project)",Time frame for the implementation
60,498F,Labuhena,2. Renovation of natural drains - Galwala Hena Kadura,4,Off,7.147137,80.769568,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  100, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
61,498F,Labuhena,3. Renovation of natural drains - Pitalbedda Kadura,5,Off,7.148296,80.771603,700 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"    70, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
62,498F,Labuhena,4. Renovation of natural drains - Labuhena Kadura,1,Off,7.144002,80.775654,700 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"    70, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
63,498F,Labuhena,5. Soil conservation practices - Labuhena Meda Kotasa (Mahathenna) (70°),3,On,7.146937,80.771538,4.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   1, 200, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
64,498F,Labuhena,6. Soil conservation practices - Imbuldanda Pathana (50°),1,On,7.146145,80.768663,4.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   1, 200, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
65,498F,Labuhena,7. Soil conservation practices - Poramadulla (45°),1,On,7.139623,80.77607,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   1, 000, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
66,498F,Labuhena,8. Soil conservation practices - Labuhena (60°),1,On,7.148222,80.77169,24 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   6, 000, 000.00 ",,Labour and other basic services by the Local community,1 Year
67,498F,Labuhena,9. Soil conservation practices - Labuhena (60°),4,On,7.14749,80.76491,4 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   1, 000, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
68,498F,Labuhena,10. Soil conservation practices - Labuhena Janapadaya (45°),3,On,7.14514,80.776595,6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   1, 500, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
69,498F,Labuhena,11. Soil conservation practices - Kosgaha Debala (60°),1,On,7.145201,80.776073,3 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  750, 000.00 ","  13, 090, 000.00 ",Labour and other basic services by the Local community,0.5 Years
70,501C,Madumana2,1. Renovation of natural drains - Mul Oya,5,Off,7.121368,80.752899,2 km,Planting some trees along the banks and other conservation practices,,"  200, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
71,501C,Madumana3,2. Soil conservation practices - Mul Oya (65°),1,On,7.121425,80.752753,12 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   3, 000, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
72,501C,Madumana4,3. Soil conservation practices - Madumana (65°),5,On,7.12128,80.754539,10 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   2, 500, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
73,501C,Madumana5,4. Soil conservation practices - Madumana (65°),5,On,7.121504,80.754448,4.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   1, 200, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
74,501C,Madumana6,5. Soil conservation practices - Madumana (70°),1,On,7.117146,80.756661,1.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  300, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
75,501C,Madumana7,6. Soil conservation practices - Kiralagoda (70°),2,On,7.118136,80.75829,2.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  700, 000.00 ","   7, 900, 000.00 ",Labour and other basic services by the Local community,0.5 Years
76,498C,Makempe,1. Renovation of natural drains - Mul Oya,4,Off,7.135331,80.754898,1.5 km,Planting some trees along the banks and other conservation practices,,"  150, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
77,498C,Makempe,2. Renovation of natural drains - Dunnala Kadura (Stream near the Mr. R.M.Premarathna's house),4,Off,7.136057,80.75887,1.1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  110, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
78,498C,Makempe,3. Renovation of natural drains - Atupola Oya,4,Off,7.135499,80.761019,2 km,Planting some trees along the banks and other conservation practices,,"  200, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
79,498C,Makempe,4. Renovation of natural drains - Katuela Arawa Pihilla,5,Off,7.138387,80.76057,900 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"    90, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
80,498C,Makempe,5. Renovation of natural drains - Dehiaththa Kadura,5,Off,7.136783,80.762213,1.7 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  170, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
81,498C,Makempe,6. Soil conservation practices - Both sides of Mul Oya (65°),4,On,7.136287,80.755062,8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   2, 000, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
82,498C,Makempe,7. Soil conservation practices - Hiran Ella (75°),4,On,7.137824,80.755442,6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   1, 500, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
83,498C,Makempe,8. Soil conservation practices - Makempe (70°),3,On,7.137151,80.760597,0.5 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  125, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
84,498C,Makempe,9. Soil conservation practices - Udahiran Ella (55°),,On,Cannot reach to the location,Cannot reach to the location,2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  500, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
85,498C,Makempe,10. Soil conservation practices - Udahiran Ella (70°),,On,Cannot reach to the location,Cannot reach to the location,5.6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   1, 400, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
86,498C,Makempe,11. Soil conservation practices - Pedurugoda reservation (65°),,On,Cannot reach to the location,Cannot reach to the location,3.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  800, 000.00 ","   7, 045, 000.00 ",Labour and other basic services by the Local community,0.5 Years
87,498A,Poramadulla,1. Renovation of natural drains - Mala Kadura 1,5,Off,7.14085,80.773224,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"    20, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
88,498A,Poramadulla,2. Renovation of natural drains - Mala Kadura 2,3,Off,7.140515,80.772261,7 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  700, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
89,498A,Poramadulla,3. Renovation of natural drains - Mala Kadura 3,5,Off,7.139866,80.771568,1.3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  130, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
90,498A,Poramadulla,4. Renovation of natural drains - Mala Kadura 4 (near the community hall),3,Off,7.140211,80.770983,10 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"   1, 000, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
91,498A,Poramadulla,5. Renovation of natural drains - Stream near the playground,3,Off,7.141737,80.76745,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"    20, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
92,498A,Poramadulla,6. Soil conservation practices - Jonstanwaththa Ihala reservation (50°),3,On,7.139884,80.7716,2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  500, 000.00 ",,Labour and other basic services by the Local community,0.25 Years
93,498A,Poramadulla,7. Soil conservation practices - Jonstanwaththa Pahala (40°),2,On,7.140398,80.770936,4.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   1, 200, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
94,498A,Poramadulla,8. Soil conservation practices - Jonstanwaththa Pahala (70°) -  (1km above from this point),4,On,7.137024,80.771311,3.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  800, 000.00 ",,Labour and other basic services by the Local community,0.25 Years
95,498A,Poramadulla,9. Soil conservation practices - Rotupihilla (70°),4,On,7.142101,80.767223,3.2 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  800, 000.00 ",,Labour and other basic services by the Local community,0.25 Years
96,498A,Poramadulla,10. Establishing a  rubble masonry wall - Near the Mahathenna Marasinghe stores,5,On,7.140653,80.772772,30 m x 3.6 m,Retaining wall,"2, 000.00 m-2","  216, 000.00 ",,Labour and other basic services by the Local community,0.25 Years
97,498A,Poramadulla,11. Establishing a  rubble masonry wall - Torrent near the community hall,1,On,7.136997,80.771311,1000 m x 1.2 m,Retaining wall,"2, 000.00 m-2","   2, 400, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
98,498A,Poramadulla,12. Establishing a  rubble masonry wall - Near the Silvarajan's home,5,On,7.136917,80.77188,9 m x 1.2 m,Retaining wall,"2, 000.00 m-2","    21, 600.00 ","   7, 807, 600.00 ",Labour and other basic services by the Local community,0.25 Years
99,498E,Puranagama,1. Renovation of natural drains - Hirala Kadura,1,Off,7.134767,80.755293,1.1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  110, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
100,498E,Puranagama,2. Renovation of natural drains - Hiran Ella,1,Off,7.13445,80.754956,1.1 km,Planting some trees along the banks and other conservation practices,,"  110, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
101,498E,Puranagama,3. Soil conservation practices - Pallahena Ella (80°),5,On,7.136853,80.755251,1.6 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"  400, 000.00 ",,Labour and other basic services by the Local community,0.25 Years
102,498E,Puranagama,4. Soil conservation practices - Puranagama (85°),1,On,7.144828,80.750616,18.8 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   4, 700, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
103,498E,Puranagama,5. Soil conservation practices - Puranagama (80°),4,On,7.143339,80.753449,14 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250.00 m-1,"   3, 500, 000.00 ","   8, 820, 000.00 ",Labour and other basic services by the Local community,0.5 Years
104,497,Unanthenna,1. Renovation of natural drains - Koskadura,1,Off,7.168996,80.745476,1.1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"  110, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
105,497,Unanthenna,2. Renovation of natural drains - Hewan Arawa Kadura,3,Off,7.167031,80.743544,3.5 km,Planting some trees along the banks and other conservation practices,,"  350, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
106,497,Unanthenna,3. Renovation of natural drains - Pansala Handiya Kadura,5,Off,7.16588,80.747347,400 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"    40, 000.00 ",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
107,497,Unanthenna,4. Constructing a rubble masonry wall,1,Off,7.168845,80.745141,20 m x 3.6 m,Retaining wall,"2, 000.00 m-2","  144, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
108,497,Unanthenna,5. Constructing a side wall/retaining wall,1,Off,7.169383,80.744697,10 m x 1.2 m,Retaining wall,"2, 000.00 m-2","    24, 000.00 ",,Labour and other basic services by the Local community,0.5 Years
109,497,Unanthenna,6. Constructing a rubble masonry wall,3,Off,7.167961,80.743478,10 m x 4.5 m,Retaining wall,"2, 000.00 m-2","    90, 000.00 ","  758, 000.00 ",Labour and other basic services by the Local community,0.5 Years
