"Table 5.3: Key OFF-FARM activties proposed for soil and water conservation in MWS-001 belongs to Deltota DS Division","","","","","","","","","","",""
"No.","GN.Division.No.","GN.Division","Key.Activities.proposed.for.Soil.and.Water.conservation","Priority.based.on.Soil.Erosion.Hazard","Coordinates","Quantity","Proposed.measure.s","Total.Cost..LKR..","Contribution","Time.frame.for.the.implementation","NA."
" "," ","","9. Renovation of natural drains - Kandura in Nutson Part","1","7.195666","80.678028","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," ","","10. Renovation of natural drains - Kandura from Gallanthenna 1","1","7.195803","80.681866","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," ","","11. Renovation of natural drains - Galpihilla Kandura","4","7.194501","80.685624","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","2,345,000"," "," ",,,,,,,,
"2","977","Palugama","1. Renovation of natural drains - Diyanilla Kandura","1","7.211463","80.676525","20 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","2,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," ","","2. Renovation of natural drains - Palugama Kandura","4","7.207131","80.675861","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," ","","3. Renovation of natural drains - Belwood Janapada Waththa Kandura","2","7.206047","80.676081","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," ",""," ","5","7.206217","80.685755","800 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","80,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," ",""," ","2","7.209327","80.683383","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","172,000"," "," ",,,,,,,,
"3","978","Galaha","1. Renovation of natural drains - Muththusenwaththa Culvert","5","7.195294","80.669947","400 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","40,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," ","","2. Renovation of natural drains - Galaha Oya","1","7.202388","80.6624313","1 km","Clearing and planting some trees along the banks (Aracanut, Kumbuk, Mee, Epala etc.) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","140,000"," "," ",,,,,,,,
"4","979","Suduwella","1. Renovation of natural drains - Hydewathta Kandura","2","7.179307","80.684663","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
" "," "," ","2. Renovation of natural drains - Kandura coming from Araliyagama Spring","1","7.180225","80.691142","600 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","60,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
" "," "," ","3. Renovation of natural drains - Kandura coming from Little Valley Janapadaya","5","7.176497","80.684867","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," "," ","6. Establishing a retaining wall ","1","7.180225","80.691142","3 m x 2 m","Retaining Wall (Masonary)","132,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","592,000"," "," ",,,,,,,,
"5","980","Perawaththa East","1. Renovation of natural drains - Podi Oya","1","7.203197","80.669752","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","200,000"," "," ",,,,,,,,
"6","981","Perawaththa West","1. Renovation of natural drains - Galaha Oya","1","7.202388","80.6624313","6 km","Clearing and planting some trees along the banks (Arecanut, Kumbuk, Bamboo etc.)and other conservation practices","600,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," "," ","2. Renovation of natural drains - Kandura near Ms. Samantha's house","1","7.201175","80.661045","500 m","Clearing and planting some trees along the banks and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," "," ","3. Renovation of natural drains - Kandura near Malberiya","1","7.202959","80.658428","500 m","Clearing and planting some trees along the banks and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," "," ","4. Renovation of natural drains - Kandura at Dunali Road, Maldeniya","3","7.207257","80.655539","300 m","Clearing and planting some trees along the banks and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
" "," "," ","5. Renovation of natural drains - Kithulmuldola","5","7.218565","80.649462","700 m","Clearing and planting some trees along the banks and other conservation practices","70,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","800,000"," "," ",,,,,,,,
"","","","","","","","","Grand Total","4,249,000","",""
