No.,GND No.,GND Name,Key Activities proposed for Soil and Water conservation,Priority based on Soil Erosion Hazard,Sub Item No.,N or X,E or Y,Quantity,Proposed measure/s,Unit Cost (Rs.),Total Cost (Rs.),Total Cost,"Contribution (Local Community, LA, and the project)",Time frame for the implementation
11,976,Uda Deltota,10. Renovation of natural drains - Kandura from Gallanthenna 1,1,1,7.195803,80.681866,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
12,976,Uda Deltota,11. Renovation of natural drains - Galpihilla Kandura,4,1,7.194501,80.685624,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
13,976,Uda Deltota,12. Soil conservation practices - Pahalagama (25 - 60°),1,1,7.198624,80.671372,10 ha - 45°,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250 m-1,"2,500,000",,Labour and other basic services by the Local community,"0.25 Years
0.25 Years"
14,976,Uda Deltota,,2,2,7.201434,80.670341,4 ha - 25°,Lock and spills,400 m-1,"1,600,000",,Labour and other basic services by the Local community,0.25 Years
15,976,Uda Deltota,,1,3,7.200358,80.66895,4 ha - 60°,Live fencing/SALT,250 m-1,"1,000,000",,Labour and other basic services by the Local community,0.25 Years
16,976,Uda Deltota,,5,4,7.200322,80.669167,3 ha - 60°,Live fencing/SALT,250 m-1,"750,000",,Labour and other basic services by the Local community,0.25 Years
17,976,Uda Deltota,13. Soil conservation practices - Osalla Peak (70°),1,1,7.202309,80.673086,3 ha,Live fencing/SALT,250 m-1,"750,000",,Labour and other basic services by the Local community,0.25 Years
18,976,Uda Deltota,14. Soil conservation practices - Uda Deltota Waththa (65°),1,1,7.198199,80.677015,4 ha,Live fencing/SALT,250 m-1,"1,000,000",,Labour and other basic services by the Local community,0.25 Years
19,976,Uda Deltota,15. Soil conservation practices - Deltota Waththa (30 - 50°),1,1,7.195892,80.681325,250 ha,"Live fencing/SALT - 50 ha
Lock and spills - 50 ha
Stone terracing - 15 ha
Maintaining a forest cover or Planting perennial crops such as pepper, coffee etc. - 125 ha","250 m-1
400 m-1
2,500 m-1","12500000
20000000
37500000",,"Labour and other basic services by the Local community
Labour and other basic services by the Local community
Labour and other basic services by the Local community","1 Year
1 Year
0.5 Years"
20,976,Uda Deltota,16. Soil conservation practices - Kumarawaththa (35°),1,1,7.191418,80.67654,18 ha,"Lock and spills - 10 ha
Live fencing/SALT - 8 ha
Stone terracing, as applied","400 m-1
250 m-1","4000000
2000000",,"Labour and other basic services by the Local community
Labour and other basic services by the Local community","0.5 Years
0.5 Years"
21,976,Uda Deltota,17. Soil conservation practices - Udakala Gammanaya (30°),1,1,7.184915,80.679452,16 ha,"Lock and spills - 10 ha
Live fencing/SALT - 6 ha
Stone terracing, as applied","400 m-1
250 m-1","4000000
1500000","91,445,000","Labour and other basic services by the Local community
Labour and other basic services by the Local community","0.5 Years
0.25 Years"
22,977,Palugama,1. Renovation of natural drains - Diyanilla Kandura,1,1,7.211463,80.676525,20 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"2,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
23,977,Palugama,2. Renovation of natural drains - Palugama Kandura,4,1,7.207131,80.675861,500 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"50,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
24,977,Palugama,3. Renovation of natural drains - Belwood Janapada Waththa Kandura,2,1,7.206047,80.676081,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
25,977,Palugama,,5,2,7.206217,80.685755,800 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"80,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
26,977,Palugama,,2,3,7.209327,80.683383,200 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"20,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
27,977,Palugama,4. Soil conservation practices - Belwood Waththa (30°),5,1,7.206278,80.685235,10 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250 m-1,"2,500,000",,Labour and other basic services by the Local community,0.5 Years
28,977,Palugama,5. Soil conservation practices - Palugama (50 - 75°),5,1,7.209655,80.675399,12 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250 m-1,"3,000,000",,Labour and other basic services by the Local community,0.5 Years
29,977,Palugama,,3,2,7.207453,80.676572,1.5 ha,Live fencing/SALT,250 m-1,"375,000",,Labour and other basic services by the Local community,0.25 Years
30,977,Palugama,6. Soil conservation practices - Ossillawa ground,3,1,7.203422,80.673883,25 m x 1 m x 1 m,Drains,"3,000 m-3","75,000","6,122,000",Labour and other basic services by the Local community,0.25 Years
31,978,Galaha,1. Renovation of natural drains - Muththusenwaththa Culvert,5,1,7.195294,80.669947,400 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"40,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
32,978,Galaha,2. Renovation of natural drains - Galaha Oya,1,1,7.202388,80.6624313,1 km,"Clearing and planting some trees along the banks (Areca nut, Kumbuk, Mee, Epala etc.) and other conservation practices",,"100,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
33,978,Galaha,3. Soil conservation practices - Muthusenawaththa (75°),5,1,7.194212,80.670256,2 ha,Live fencing/SALT,250 m-1,"500,000","640,000",Labour and other basic services by the Local community,0.25 Years
34,979,Suduwella,1. Renovation of natural drains - Hydewaththa Kandura,2,1,7.179307,80.684663,1 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"100,000",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
35,979,Suduwella,2. Renovation of natural drains - Kandura coming from Araliyagama Spring,1,1,7.180225,80.691142,600 m,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"60,000",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
36,979,Suduwella,3. Renovation of natural drains - Kandura coming from Little Valley Janapadaya,5,1,7.176497,80.684867,3 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"300,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
37,979,Suduwella,4. Soil conservation practices - Little Valley Janapadaya (60°),1,1,7.176793,80.685858,9 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250 m-1,"2,250,000",,Labour and other basic services by the Local community,0.5 Years
38,979,Suduwella,5. Soil conservation practices - Hydewaththa (45°),1,1,7.178703,80.684002,2.5 ha,Live fencing/SALT,250 m-1,"625,000",,Labour and other basic services by the Local community,0.25 Years
39,979,Suduwella,6. Establishing a retaining wall,1,1,7.180225,80.691142,3 m x 2.5 m,Retaining wall,"2,000 m-2","15,000","3,350,000",Labour and other basic services by the Local community,0.25 Years
40,980,Perawatta East,1. Renovation of natural drains - Podi Oya,1,1,7.203197,80.669752,2 km,Clearing and planting some trees along the banks (Areca nut) and other conservation practices,,"200,000",,Labour and other basic services by the Local community/ Shramadana,0.25 Years
41,980,Perawatta East,2. Soil conservation practices - Ambalanmana (20°),1,1,7.211088,80.670403,0.3 ha,Stone terracing,"2,500 m-1","750,000",,Labour and other basic services by the Local community,0.25 Years
42,980,Perawatta East,3. Soil conservation practices - Ambalanmana School (70°),1,1,7.210448,80.670225,0.75 ha,Live fencing/SALT,250 m-1,"187,500",,Labour and other basic services by the Local community,0.25 Years
43,980,Perawatta East,4. Soil conservation practices - Hapuwalmana (35 - 60°),3,1,7.207487,80.672877,60 ha,"Live fencing/SALT - 40 ha
Lock and spills - 20 ha
Stone terracing, as applied","250 m-1
400 m-1","10000000
8000000",,Labour and other basic services by the Local community,0.25 Years
44,980,Perawatta East,5. Soil conservation practices - Ambalanmana (70°),5,1,7.211947,80.6701,20 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250 m-1,"5,000,000","24,137,500",Labour and other basic services by the Local community,0.25 Years
45,981,Perawatta West,1. Renovation of natural drains - Galaha Oya,1,1,7.202388,80.6624313,6 km,"Clearing and planting some trees along the banks (Areca nut, Kumbuk, Bamboo etc.) and other conservation practices",,"600,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
46,981,Perawatta West,2. Renovation of natural drains - Kandura near Ms. Samantha's house,1,1,7.201175,80.661045,500 m,Clearing and planting some trees along the banks and other conservation practices,,"50,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
47,981,Perawatta West,3. Renovation of natural drains - Kandura near Malberiya,1,1,7.202959,80.658428,500 m,Clearing and planting some trees along the banks and other conservation practices,,"50,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
48,981,Perawatta West,"4. Renovation of natural drains - Kandura at Dunali Road, Maldeniya",3,1,7.207257,80.655539,300 m,Clearing and planting some trees along the banks and other conservation practices,,"30,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
49,981,Perawatta West,5. Renovation of natural drains - Kithulmuldola,5,1,7.218565,80.649462,700 m,Clearing and planting some trees along the banks and other conservation practices,,"70,000",,Labour and other basic services by the Local community/ Shramadana,0.5 Years
50,981,Perawatta West,6. Soil conservation practices - Malberiya (50°),1,1,7.202396,80.660232,50 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250 m-1,"12,500,000",,Labour and other basic services by the Local community,0.5 Years
51,981,Perawatta West,7. Soil conservation practices - Dunaliya (70°),3,1,7.209005,80.652507,20 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250 m-1,"5,000,000",,Labour and other basic services by the Local community,0.5 Years
52,981,Perawatta West,8. Soil conservation practices - Kithulmulla (Upper) (70°),5,1,7.222508,80.644487,100 ha,"Live fencing/SALT
Stone terracing/lock and spills, as applied",250 m-1,"25,000,000","43,300,000",Labour and other basic services by the Local community,1 Years
