"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-002-1","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,"5. Establishinga retaining wall - Riverside Mawatha","5","7.170953","80.704587","5 m x 3 m","Retaining Wall (Concrete)","588,500","By the project","0.25 Year"
"Sub Total","19,041,500",,,,,,,,,,
"7","1043","Great Valley Estate","1. Development of natural drains - Great Valley Estate Ela","3","7.180335","80.703264","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Development of natural drains - Great Valley Estate Kandura 2","1","7.194288","80.705246","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Development of natural drains - Punchiwathta Dola","1","7.194051","80.709311","800 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","80,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Development of natural drains - Great Valley Estate Kandura 1","5","7.194818","80.703922","300 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Development of natural drains - Great Valley Estate Kandura 3","3","7.180065","80.202067","1200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","120,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","360,000",,,,,,,,,,
"8","1044","Gabadagama South","1. Development of natural drains - Kandura near Weaven","4","7.15557","80.723566","20 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","2,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Development of natural drains - Kandura at Weralu Danda Ela","4","7.155891","80.723833","250 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","25,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Development of natural drains - Gabadagama Road Kandura","4","7.15642","80.724919","100 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","10,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Development of natural drains - Ata Lehe Ela","3","7.157876","80.724698","5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","500,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Development of natural drains - Embulampe Kandura","5","7.149464","80.720256","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","20,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","557,000",,,,,,,,,,
"9","1045","Gabadagama North","1. Development of natural drains - Deekirilla Madiththa Kandura","3","7.153818","80.720265","3 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","300,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Development of natural drains - Rathpahe Kandura","5","7.155975","80.717178","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Development of natural drains - Kandura near Kovila","2","7.15107","80.717673","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Development of natural drains - Holman Kandura","5","7.150506","80.717659","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"5. Development of natural drains - Ibi Kandura",,,,"5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","500,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","1,200,000",,,,,,,,,,
"10","1046","Kandegama","1. Development of natural drains - Kandegama Kandura I","5","7.166503","80.714932","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Development of natural drains - Kandegama Kandura II","1","7.167883","80.714605","200 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","100,000",,,,,,,,,,
"11","1047","Wadiyagoda","1. Development of natural drains - Appallawala Kandura","4","7.16671","80.719766","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Development of natural drains - Kuda Oya Ela","5","7.164308","80.721883","4 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","400,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Development of natural drains - Angutubedda Kandura","3, 2","7.164096      7.166305","80.722871     80.722013","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices","200,000","Labour and other basic services by the Local community/ Shramadana","0.5 Years"
"Sub Total","800,000",,,,,,,,,,
"Grand Total","41,538,000",,,,,,,,,,
