"Table 5.21: Total Cost Estimate for Stream Reservation Proposals","","","","",""
"GND.No.","Scheme","Problem.to.be.addressed...Recommendation","N","E","Estimated.Cost"
"1045","Rathpahe Kandura","Soil erosion of lands on both sides is 500 m in length. Recommend 
1. Construct (2mx2mx1m) five SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees / Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 400 m2 ","7.155975","80.717178","528840"
"1045","Torrent near the kovil","Soil erosion of lands on both sides 1500 m length. Recommend 1. Construct (2mx2mx1m) six numbers of SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/ Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 800 m2 ","7.15107","80.717673","745680"
"1045","Holman Kandura","Soil erosion of lands on both sides is 500 m in length. Recommend 1. Construct (2mx2mx1m) four numbers of SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru / Aththikka/ Wal del/ Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 400 m2 ","7.150506","80.717659","450840"
"1045","Ibi Kandura","Soil erosion of lands on both sides is about 4k m in length. Recommend 
1. Construct (2mx2mx1m) six numbers of SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/ Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 800 m2 "," "," ","745680"
"1044","Torrent near the weaving centre","Soil erosion of lands on both sides of 20m length. Recommend to Construct 25m long 1mx1m leader drain and areca nut rows in both embankments","7.15557","80.723566","70200"
"1044","Spillway canal of Weraludanda canal","Soil erosion of lands on both sides is about 200m. Recommend earth filling of strips of 1.5m to 2m wide and 100m in length, an average Depth of 0.5m, and side slope protection with vetiver grass with areca nut fencing for both embankments.","7.155891","80.723833","143000"
"1044","Gabadagama Paara Kandura","Soil erosion of lands on both sides. Recommend to plant two rows of areca nut seedlings, Gliricidia and Pepper/ Betel creepers for a distance of 100m mixed with riparian plants and vetiver grass at edges.","7.15642","80.724919","30550"
"1044","Embulampe torrent","Soil erosion of lands on both sides is about 3km in length. Recommend 
1. Construct (2mx2mx1m) nine SABO-boulder dams across the stream. 
2. Make dense planting of mixed vegetation comprising Areca nut Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.
3. Apply mulching, organic manure and NPK fertilizer. Covered area 500 sqm.","7.149464","80.720256","875550"
"1044","Atalehe Ela","Soil erosion of lands on both sides is about 3km in length. Recommend 1. Construct (3mx2mx1m) 4 numbers of SABO-boulder dams across the stream. 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 600 sqm.","7.157876","80.724698","676000"
"1039","Torrent near Mr. Kumaratunga’s House","Heavy soil erosion of lands on both sides. Recommend 1. Construct a leader drain of 100m length (1mx1m). 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/ Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 200 sqm.","7.158803","80.720361","328900"
"1039","Loolkandura","Soil erosion of lands on both sides and agrochemicals mixing with the soil. Recommend dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/ Vetiver/ Buthsarana-Cannas-Hambu pan /riparian plants/bamboo/randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 500 sqm.","7.160966","80.716848","173550"
"1047","Appallawala torrent","Soil erosion of lands on both sides. Recommend dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Vetiver/Buth sarana-Cannas-Hambu pan /riparian plants/bamboo/randomly mixed seedlings at 500 mm grid interval.
2. Apply mulching, organic manure and NPK fertilizer. Covered area 200 sqm.","7.16671","80.719766","69420"
"1047","Agurubedda torrent","Soil erosion of lands on both sides about 200m. Recommend earth filling of strip of 1.5m to 2m wide and 100m in length and average Depth of 0.5m and side slope protection with vetiver grass with areca nut fencing for both embankments about 400 Sq.m.","7.1640967.166305","80.72287180.722013","255255"
"1047","Kuda Oya Ela and Murapola Ela","Soil erosion of lands on both sides about 800m. Recommend 1. Earth filling of strip of 1.5m to 2m wide and 300m in length and average Depth of 0.5m and side slope protection with vetiver grass with areca nut fencing for both embankments 2. Make dense planting of mixed vegetation comprising Areca nut trees /Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/ Kekuna randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 600 Sq.m.","7.164308","80.721883","557505"
"1034","Torrent neat Mr. Razeem's House","Soil erosion of lands on both sides about 150m. Recommend earth filling of strip of 1.5m to 2m wide and 100m in length and average Depth of 0.5m and side slope protection with vetiver grass with areca nut fencing for both embankments about 100 Sq.m.","7.172474","80.717046","151125"
"","Total cost","LKR 12,193,090",,,
