"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-037 belongs to Nildandahinna DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,"2. Soil conservation practices - Mr. E.R.H.Peris's and surrounding land (60°-70°)","1","7.102976","80.926131","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Pepper cultivated lands (45°-60°)","1","7.103076","80.926791","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Mrs. E.A.Dayawatithi's Land (45°-50°)","1","7.101346","80.925601","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Monaragala Watta (50°-60°)","1","7.097547","80.93236","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Monaragala Watta (15°-20°)","4","7.097347","80.93331","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices) - Madalanda Idama (Chena Cultivated Land) (60°-70°)","5","7.094577","80.93364","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
,,,"8. Soil conservation practices -Galapita Landa Reserve (70°-80°)","4","7.102786","80.93423","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"9. Soil conservation practices) - Lands of Galkadawala Primary School (15°-20°)","3","7.096467","80.93535","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","400 m-1","600,000","Labour and other basic services by the Local community","0.25 Years"
,,,"10. Soil conservation practices) - Kolongahayatahena (15°-50°)","3","7.096057","80.93542","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","400 m-1","400,000","Labour and other basic services by the Local community","0.25 Years"
,,,"11. Soil conservation practices) - Above the Iththagala water Spring (60°-70°)","5","7.105246","80.9366","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","8,500,000",,,,,,,,,,,
"4","521","Bolagandawela","1. Soil conservation practices - Galkemana Idama (70°-80°)","5","7.112876","80.937969","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Pepper cultivated lands  (40°-60°)","5","7.110826","80.939159","7 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,750,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Pepper cultivated lands  (30°-40°)","2","7.109156","80.939589","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","400 m-1","1,600,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Thummansala Village  (30°-40°)","2","7.107726","80.939569","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","400 m-1","1,600,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","5,325,000",,,,,,,,,,,
"5","521B","Ambagahathenna","1. Soil conservation practices (45°-60°) - Ambagahathenna (Sloping Lands)","1","7.118925","80.93093","2.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","625,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices (70°-80°) - Ambagahathenna (Sloping Lands)","1","7.119345","80.93153","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices (60°-70°) - Ambagahathenna (Sloping Lands)","5","7.119385","80.93216","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices (70°-80°) - Nawa Gammanaya","5","7.110986","80.925531","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","3,625,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"36,925,000",,
