"Table 5.18: Time frame for implementing domestic water and water source protection","","","","","",""
"GND No","Name of the Irrigation System","N","E","Observation","Description","Amount  LKR"
,,,,,"Contingencies 10%",
"524B","Walaskele Canal","7.07023","80.88923","Part of the existing canal has been concreted and balance part earthen canal","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","869,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Stripping topsoil and including cut and lift up to 1.5m and haul 30m distance by manually",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"525B","Kande-Ela","7.04997","80.89994","Water supplied to36 Acres of paddy. Some parts of the canal are concreted.(500m) (W=500mm, H=300mm)","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","5,181,000"
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"524A","Dehigolla Canal","7.060817","80.89761","Water supplied to 15 Acres of paddy. 200m of the canal has been concreted, but the bottom of the canal isn’t properly concreted, so the water is leaking. Existing canal size W=300mm H=450mm","Scarifying existing rock or concrete surface","330,000"
,,,,,"Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"524A","Madama canal","7.059718","80.89608","Water supplied to 5 Acres of paddy. Total canal length is 300. The canal is not concreted. No trees on tha banks. A small canal","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","981,200"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"524A","Eranthalawa-lihinipitiya Canal","7.062952","80.90061","Water supplied to 6 Acres of paddy. Total canal length is 600m. Remains as an earthen canal.","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,116,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"524A","Milla gaha uhana canal","7.062261","80.90353","Water supplied to 18 Acres of paddy. Remains as an earthen canal.","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","2,167,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"524A","Milla gaha uhana sub canal","7.059466","80.89578","Water supplied to 4 Acres of paddy. Remains as an earthen canal.","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","291,500"
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"524A","Nikawela canal","7.061979","80.90147","Water supplied to 18 Acres of paddy. Some parts of the canal are concreted. (W=450mm, H=450mm)","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","2,167,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"524","Pallegama Canal & Anicut","7.06021","80.89427","Water supplied to 106 Acres of paddy. Some parts of the canal are concreted. (W=600mm, H=600mm)","Canals reservation protection by concrete lining For 125mm thick, 0.5m wide and 0.4m high canal -double banking","4,636,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"524","Pitiye gewaththa Canal","7.06061","80.894","Water supplied to12 Acres of paddy. Some parts of the canal are concreted. (W=300mm, H=300mm)","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","982,300"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"524","Galketiye Canal","7.068737","80.89616","Water supplied to 11Acres of paddy. Some parts of the canal are concreted. (W=300mm, H=300mm)","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","1,952,500"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"524","Keenagahamulla Canal","7.068845","80.89869","Water supplied to 17.5 Acres of paddy. Total canal length is 1900m. Remains as an earthen canal.","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","3,278,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"524","Gedarakumbura Canal","7.06951","80.89185","Water supplied to 7 Acres of paddy. Some parts of the canal are concreted. (W=300mm, H=300mm) It is also broken","Site preparation & setting out","3,157,000"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Providing sand bags for cofferdam",
,,,,,"Water Pump 2\" dia ( Without operator)",
,,,,,"Dry rubble packing (rubble size over 225mm) 5.0m long x 0.30m thk",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Tidying up",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"523A","Hegamwela Canal","7.07318","80.90615","Water supplied to 30 Acres of paddy. Total canal length is 1250m. Remains as an earthen canal.","Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking","4,884,000"
,,,,,"Stream / canal reservation protection by earthfilling of strip of 1.5m to 2m wide and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"523A","Yatihegamwela Anicat & canal","7.07052","80.90468","Water supplied to 15 Acres of paddy. Total canal length is 500m. Remains as an earthen canal,Anicut should be made","Site preparation & setting out","3,459,500"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"1:3:6 (40mm) concrete with concrete mixer (volume batching)",
,,,,,"1:2:4 (20mm) concrete with concrete mixer (volume batching)",
,,,,,"Providing sand bags for cofferdam",
,,,,,"Water Pump 2\" dia ( Without operator)",
,,,,,"Dry rubble packing (rubble size over 225mm) 5.0m long x 0.30m thk",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Construction of 1.8m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval",
,,,,,"Tidying up",
,,,,,"Canal reservation protection by concrete lining For 100mm thick, 0.3m wide and 0.3m high canal -double banking",
