"Table 5.2: Key ON-SITE activties proposed for soil and water conservation in MWS-035 belongs to Nildandahinna DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
"5","524B","Goradiyagolla","1. Soil conservation practices - 524-B Goradiyagolla (60°-70°)","5","7.07201","80.885400","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Dambagahamada (60°-70°)","3","7.07182","80.88518","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","93,750","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Walaskele (60°-70°)","1","7.06909","80.88619","2.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","625,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,218,750",,,,,,,,,,,
"6","525B","Karandagolla","8. Soil conservation practices (50°-60°)","4","7.05166","80.90053","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","1,500,000",,,,,,,,,,,
"7","523B","Wewathenna","1. Soil conservation practices (40°-50°)","4","7.07963","80.91821","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices (60°-70°)","5","7.08057","80.91722","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","2,000,000",,,,,,,,,,,
"8","524A","Dambagolla","1. Soil conservation practices (50°-60°)","4,4,5","7.061518, 7.062138, 7.062061","80.904044, 80.903788, 80.903633","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","500,000",,,,,,,,,,,
"9","524D","Dabbare","1. Soil conservation practices (50°-70°)","5,5,5","7.080768 7.078458 7.077998","80.904163 80.901374 80.898764","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,000,000",,,,,,,,,,,
"10","524","Denambure","1. Soil conservation practices (60°-70°)","5","7.06170","80.89490","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices (50°-60°)","5","7.06519","80.89339","13 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,250,000","Labour and other basic services by the Local community","1 Year"
,,,"3. Soil conservation practices (70°-80°)","4","7.06753","80.89573","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices (50°-60°)","1","7.06954","80.89216","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices (50°-60°)","4","7.06349","80.89455","14 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,500,000","Labour and other basic services by the Local community","1 Year"
"Sub Total","10,500,000",,,,,,,,,,,
"11","523A","Hegama","1. Soil conservation practices (50°-60°) - Kadewaththa","5,5,3","7.07087, 7.07003, 7.06940","80.90412, 80.90358, 80.90357","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices (50°-60°) - Hegamthenna","5,1,5","7.06900, 7.06773, 7.06849","80.90598, 80.90522, 80.90699","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices (50°-60°) - Thudupaha Lands","4","7.07446","80.90432","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","5,500,000",,,,,,,,,,,
"12","518D","Yatimadura","1. Soil conservation practices (60°-70°)","4","7.075988","80.93178","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices (50°-60°)","4","7.077578","80.93227","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices (70°-80°)","5","7.078348","80.93349","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices (50°-60°)","5","7.080378","80.93382","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices (50°-60°)","5","7.081568","80.9346","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"6. Soil conservation practices (50°-60°)","5","7.082018","80.93451","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","1 Year"
,,,"7. Soil conservation practices (50°-60°) - Chetanarama Rajamaha Temple","1","7.087577","80.93621","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","14,000,000",,,,,,,,,,,
"13","525C","Kotambe","1. Soil conservation practices (60°-70°) - Kotambe area","1","7.05382","80.90568","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"2. Soil conservation practices (60°-70°) - Madilanda area","1","7.05282","80.90485","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","9,000,000",,,,,,,,,,,
"14","525A","Udagama","1. Soil conservation practices (60°-70°)","4","7.05328","80.89627","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"2. Soil conservation practices (60°-70°)","1","7.05652","80.89171","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","5,000,000",,,,,,,,,,,
"15","525","Kumbukwela","1. Soil conservation practices (30°-70°)","5","7.054167","80.891463","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices (30°-70°)","5","7.055092","80.890172","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices (30°-70°)","5","7.0552699","80.887988","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","7,500,000",,,,,,,,,,,
"16","523","Ambanella","1. Soil conservation practices (30°-70°) - Temple Garden","4","7.0694","80.90818","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices (30°-70°) - Ambanella","5","7.07234","80.9086","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices (30°-70°) - Mahinna Lands","5","7.07623","80.91182","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices (30°-70°) - Govijanaseva Lands","5","7.07672","80.91169","1.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","312,500","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices (30°-70°) - Ambanella","5","7.07938","80.91329","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","4,687,500",,,,,,,,,,,
,,,,,,,,"Grand Total",,"87,118,750",,
