"Table 5.16: Estimate of domestic water supply related activities","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  LKR"
"523","Storuthanna water spring","7.08033","80.91259","It is located in the mr. jayathilaka's garden like a pond",,
"523","Nana Pihilla","7.08016","80.91271","It is used for bathing","12.5mm thick rough ct.plaster in 1:3 cement sand mortar semi rough finish(UR55)1:2:4(20mm)concretemanualmix","22,171.30"
"523A","Puwakwattha spring","7.07109","80.90501","Tanks used for drinking and bathing should be plastered anew","12.5mm thick rough ct.plaster in 1:3 cement sand mortar semi rough finish(UR55)Provide a mesh cover over the upper side of the tank Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop1:2:4(20mm)concretemanualmix","63,932.65"
"523B","Located adjacent to the reserve","7.08283","80.91556","The filter tank is damaged","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5","742,500"
"523B","Wewathenna Lake","7.07725","80.9194",,"Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","61,600"
"524","Nelligahauvana","7.05953","80.89145","Currently available as a spring","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Provide a mesh cover over the upper side of the tank Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","858,700"
"524B","Goradiyagolla Well","7.071057","80.885477","Water leak from the walls","12.5mm thick rough ct.plaster in 1:3 cement sand mortar semi rough finish(UR55)Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","34,188"
"524B","Walaskele Kandura","7.06906","80.88623",,"Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","101,200"
"524B","Dambagahamada Wewa","7.06391","80.88444",,"Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"524C","Keeriyagolla Spring","7.07274","80.89441","The existing tank is Leak","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Provide a mesh cover over the upper side of the tank Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","832,300"
"524C","Purankumbura Middle of Village Spring","7.07058","80.89689","lokated in a persional paddy field","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Provide a mesh cover over the upper side of the tank","757,500"
"524D","Dabbare Mukalan Lake","7.08334","80.906209","Currently a lake in the jungle and the water of this lake is currently unused","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","50,600"
"524D","Kovillanda water source","7.076558","80.895674","A spring to be conserved","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","37,400"
"525","Jinadasa's Land spring","7.054143","80.89151","The Spring is lokated on private land, Water is taken for cultivation, drinking and bathing","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Provide a mesh cover over the upper side of the tank Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","770,700"
"525","Sunil Laksman's land spring","7.05386","80.890961","The Spring is lokated on private land, Water is taken for cultivation, drinking and bathing","ConstructionofConcretewaterstoragetankof20cum‐sizeinternalt3mx3mx2.5Provide a mesh cover over the upper side of the tank Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","770,700"
"525","Samantha Bandara's Land Spring","7.054909","80.892145","The Spring is lokated on private land, Water is taken for cultivation, drinking and bathing","1/2\" thk 1:3 cement motar plastering to prevent leakages in liningProvide a mesh cover over the upper side of the tank Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","60,644"
"525","Samantha Bandara's Land Spring","7.054909","80.892145","Private Land","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"525","Jinadasa's Land spring","7.054143","80.89151","Private Land","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"525","Sunil Laksman's land spring","7.05386","80.890961","Private Land","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"525A","5.Bogaha uhana water spring","7.05623","80.89802","There is a 1.5mx1.5mx1.2m(LxWxH)Tank","12.5mm thick rough ct.plaster in 1:3 cement sand mortar semi rough finish(UR55)Provide a mesh cover over the upper side of the tank Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop","56,855"
"525A","Kudaoya water source","7.05966","80.89465","The banks is eroded","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridintervalReplantingbamboospeciesandvetivergrassorriparianspecies","112,750"
"525B","Egodagedara well","7.05488","80.89967","A spring to be conserved","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","74,800"
"525B","Duniyagolla peella","7.05562","80.89998","A spring to be conserved","Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,GreengramasacovercropVegetativecoverimprovingaroundstructures(5mx10m)withArecanutseedlingin1.5mx 1.5mgrid,Kumbuk/Mee/Godapara/Kaduru/Aththikka/WalDel/Kekuna/randomlymixed seedlingsandplantingat3.5mx3.5mgridinterval","25,300"
"525C","Madilandakandura","7.05343","80.90545","Water is taken for drinking and bathing, A water tank is constructed.","12.5mm thick rough ct. Plaster in 1:3 cement sand mortar semi rough finish(UR55)Provide a mesh cover over the upper side of the tank Providing PVC pipes, pipe joints, etc.. to convey water from tank Vegetativecoverimprovingfornarrowstrips(1.5m‐2.0mwide)withArecanutseedlingsat1.5m spacingin2rows,BetelplantsVPat3mspacingin1row,Greengramasacovercrop1:2:4(20mm)concretemanualmix - Columns (0.6 m and 1.3 m high)","73,076"
,,,,"Total",,"9,504,281"
