"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-014 belongs to Hanguranketha DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,"9. Soil conservation practices - Rambukgate  (60°)","3","7.173955","80.814538","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","10,075,000",,,,,,,,,,,
"4","488A","Hakuruthale","1. Soil conservation practices - Bodhigolla  (70°)","1","7.21792","80.793411","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Bodhigolla  (45°)","1","7.200924","80.794594","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","4,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Bodhigolla  (45°)","1","7.197529","80.794379","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Bodhigolla  (75°)","1","7.196757","80.793184","14 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,500,000","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Hakuruthale Sri Sumangalaramaya  (70°)","5","7.199012","80.798453","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Welikada Sri Dhalada Len Aranya Senasanaya  (85°)","2","7.220906","80.791194","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","13,375,000",,,,,,,,,,,
"5","488B","Hilpenkandura","1. Soil conservation practices - Hilpankadura  (75°)","2","7.18912","80.80831","32 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","8,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"2. Soil conservation practices - Hilpankadura  (70°)","4","7.187935","80.805778","48 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","12,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"3. Soil conservation practices - Kohombhagana  (30°)","1","7.194799","80.816994","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","400 m-1","3,200,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","23,200,000",,,,,,,,,,,
"6","489C","Udakanda","1. Soil conservation practices - Matala Mada  (65°)","5","7.165575","80.810151","15.2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,800,000","Labour and other basic services by the Local community","1 Year"
,,,"2. Soil conservation practices - Matala Mada  (80°)","5","7.16673","80.808322","3.6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","900,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Udakanda  (70°)","5","7.163521","80.806982","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Wilpasse  (70°)","5","7.162126","80.80653","1.6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","400,000","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Wilpassa Tea Land  (65°)","5","7.161551","80.805767","80 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","20,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"6. Soil conservation practices - Wilpassa  (70°)","4","7.162639","80.809092","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices - Badiyawa  (70°)","1","7.168572","80.810922","4.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,200,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","28,800,000",,,,,,,,,,,
"7","489A","Udawatta East","1. Soil conservation practices - Udawatta East  (40°)","1","7.182326","80.795684","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Udawatta East  (30°)","1","7.17858","80.800124","12 ha","Lock and spills and stone terracing/live fencing, as applied","400 m-1","4,800,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Udawatta East  (80°)","2","7.17774","80.801485","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1 Year"
,,,"4. Soil conservation practices - Udawatta East  (30°)","1","7.179976","80.797069","8 ha","Lock and spills and stone terracing/live fencing, as applied","400 m-1","3,200,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","16,000,000",,,,,,,,,,,
"8","489D","Udawatta West","1. Soil conservation practices (60°)","5","7.184407","80.795732","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices (45°)","1","7.183617","80.796791","6.8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,700,000","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices (10°)","1","7.187733","80.80234","0.25 ha","Lock and spills and stone terracing/live fencing, as applied","400 m-1","100,000","Labour and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices (60°)","4","7.186166","80.801444","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","62,500","Labour and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices (70°)","4","7.184333","80.800937","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","5,112,500",,,,,,,,,,,
"9","485B","Welikada","1. Soil conservation practices (30°) - Victoria National School","5","7.22014","80.785458","0.25 ha","Lock and spills and stone terracing/live fencing, as applied","400 m-1","100,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices (60°) - Boundaries of Mahaweli Authority on both sides of the road","4","7.219973","80.785543","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","62,500","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices (75°) - Welikada Sri Dhalada Len Aranya Senasanaya","1","7.223547","80.787088","40 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","10,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"4. Soil conservation practices (70°) - Reservation land of resevoirs","1","7.222477","80.788987","80 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","20,000,000","Labour and other basic services by the Local community","1.5 Years"
,,,"5. Soil conservation practices (20°) - Near Badulu road","1","7.221348","80.78891","1.2 ha","Lock and spills and stone terracing/live fencing, as applied","400 m-1","480,000","Labour and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices (30°) - Welikada (Nawaragala)","4","7.218722","80.787555","2.4 ha","Lock and spills and stone terracing/live fencing, as applied","400 m-1","960,000","Labour and other basic services by the Local community","0.25 Years"
,,,"7. Soil conservation practices (60°) -  Mahaweli Reservation (Boundaries)","1","7.226552","80.787014","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"8. Soil conservation practices (70°) - Lands close to Mahaweli reservation","5","7.22637","80.78631","60 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","15,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","47,602,500",,,,,,,,,,,
,,,,,,,,"Grand Total",,"157,127,500",,
