"Table 5.53: Expenditure Estimate for training programs","","","","","","","",""
"No","Activity","Number of trainings","Duration in Days","Total   of Participants","Total cost  RS","Con  From DSD RS  Institution","Project Con  RS","Proposed training Partner"
"11","Forest Restoration training for  selected  officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"12","Integrated Watershed Management training for  selected  Officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"13","Domestication and use of wild species for watershed management for selected   officers of Forest Department at Nuwara Eliya District","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"14","Training for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment- For Teachers  (Hanguranketha DSD)","Budget was allocated under MWS-002-2 (Hanguranketha)","DOA/ NRMC/ University",,,,,
"15","Training EDOs and SDOs to conduct cascading training on Financial Literacy and Household Money Management (ToT)","Budget was allocated under MWS-002-2 (Hanguranketha)","CBSL Matale Regional office/CBSL HO",,,,,
"Training for Communities",,,,,,,,
"16","Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND","9","1","450","818,550","-","818,550","Agriculture Park DoA"
"17","Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND","9","1","450","604,800","-","604,800","Natural Resources Management Center/DOA"
"18","Good Practices in Agrochemicals Application for GPC Community Members and Identified Farmers","9","1","450","595,350","-","595,350","DOA"
"19","Importance of Home Garden Improvement for watershed Management (Common For MWS-002-2, MWS-009, MWS-010, MWS-011, MWS-012, MWS-013, MWS-014, MWS-018-2 and MWS-020.)","Budget was allocated under MWS-002-2 (Hanguranketha)","Forest Department",,,,,
"20","Conduct Field Day for Soil and Water Conservation Practice for GPC Community leaders and Farmers","9","1","450","333,000","-","333,000","AI, AR&PA and EDO/NRMC"
"21","Field Day - for best practices in the usage of pesticides, integrated pest control, and fertilizer applications for GPC community members and identified farmers. One training/GND","9","1","450","333,000","-","333,000","AI, AR&PA and EDO"
"22","Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD","9","1","450","595,800",,"595,800","DOA/NRMC"
"23","Awareness on Green Skill and Green Technology Concept for Youth and GPC members","9","1","360","668,700","22,500","646,200","DOA"
"24","Climate Change Adaptation  Awareness on GPC and selected farmers","9","1","450","531,000",,"531,000","AI, EDO"
"25","Conduct Field Day on Climatic Training Adaptation","9","1","450","315,000","-","315,000","AI & EDO"
"26","Awareness on Forest Fire Prevention and Control GPC and community members","9","1","450","730,800","-","730,800","Forest Department"
"27","Responsible use of water resources for GPC/GWMC and community members","9","1","450","730,800","-","730,800","Forest Department"
"28","Important of environment conservation and social responsibility of community- For Student (Grade 11 and Above at Hanguranketha DSD)","Training was allocated under MWS-002-2 (Hanguranketha)",,,,,,
"29","Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organization (WDOs)","9","1","450","415,800",,"415,800","EDOs &SDO"
"30","Conduct Refresher Training on Household Money Management for GPC and Community Members","9","1","450","288,900",,"288,900","EDO and SDO"
"31","Career Guidance & Career Fair Event (Hanguranketha DSD)","Budget was allocated under MWS-002-2 (Hanguranketha)","Skills Development Officer & Human Resources Development Assistant of DSD",,,,,
"32","Awareness on Gender and Social Inclusion Training","1","1","77","87,530","2,500","85,030","TBD"
"33","Community Training - livelihood and Marketing",,,,"930,000",,"930,000",
,"Total Estimated budget",,,"5,863","8,047,270","27,500","8,019,770",
