No,GND No.,Scheme,Problem to be addressed /Recommendations,N,E,Estimated Cost
22,489A,Muthu Kuda canal,"Concrete retaining wall requested for 200m. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 200 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges.3. Plant Areca nut seedlings in both sides at 1m spacing for 200m length. ",7.184678,80.803739,"179,000"
23,489A,Dulgahayata Watta Anicut,A side wall of the anicut is dilapidated. Recommend to construct wing walls with grade 25 concrete (5 cum) including necessary form work,7.181716,80.798391,"218,000"
24,489A,Dulgahayata Watta canal,"Seepage losses towards the Down Stream over 90 m long canal portion. Recommend to construct ""L"" shape concrete lining For of 100mm thick, 0.4m wide and 0.3m high and 100m long to protect weak embankment.",7.181907,80.798288,"448,500"
25,489A,Thotupala Anicut,"No anicut for potential 12 acre cultivation. Recommend 1. Construct 5m length x 0.9m high x 300mm thick and 900mm base inverted ""T"" shape profile grade 20 concrete wall as a weir with two openings and anicut planks (1.2sq.m). 2. 2. Plant Areca nut seedlings in both sides at 1m spacing for 500m length and gaps shall be filled with vetiver grass for erosion protection for 25 m upstream and down stream.3. Add few kumbuk/Mee/Anoda/Orange etc fruits seedlings around the structure",7.181801,80.798775,"152,000"
26,489A,Ulpatha canal,"Concrete lining requested for 1800 m length. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 800 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges. 3. plant single row of Areca nut seedlings in downstream side @1m spacing with vetiver grass for erosion control. ",7.1849,80.803002,"716,500"
27,489A,Delangahapitiya canal,"Concrete lining requested for 350 m length. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 300 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges. 3. plant single row of Areca nut seedlings in downstream side @1m spacing with vetiver grass for erosion control. ",7.178556,80.800088,"269,000"
28,489A,Galpotta canal,"Concrete lining requested for 250 m length. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 200 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges. 3. plant single row of Areca nut seedlings in downstream side @1m spacing with vetiver grass for erosion control. ",7.18712,80.804072,"179,000"
29,489A,Thanna canal,"Concrete lining requested for 300 m length. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 200 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges. 3. plant single row of Areca nut seedlings in downstream side @1m spacing with vetiver grass for erosion control. ",7.180307,80.799916,"179,000"
30,489A,Gamwasam canal (Rambukpotha canal),"Concrete lining requested for 200 m length. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 200 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges. 3. plant single row of Areca nut seedlings in downstream side @1m spacing with vetiver grass for erosion control. ",7.17971,80.799381,"179,000"
31,489A,Canal near Kadulla,"Concrete lining requested for 250 m length. Recommend 1. Earth filling to narrow tracks and depressions to form channel bund of 1.5m wide and length about 200 m. 2. Protection by cover crops by cultivating edible varieties such as Mukunuwenna, Gotukola, and Thampala along the incline surface and vetiver grass edges. 3. plant single row of Areca nut seedlings in downstream side @1m spacing with vetiver grass for erosion control. ",7.178946,80.798415,"179,000"
32,489A,Galpotta Anicut,"New anicut requested for over 18-acre cultivation. Recommend 1. to construct 6m length x 0.9m high x 300mm thick and 900mm base inverted ""T"" shape profile grade 20 concrete wall as a weir with two openings and anicut planks (1.2sq.m). 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/ Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 100 m2 around the structure.",7.184784,80.803877,"200,500"
,,Total cost,,,"9,348,000",
