"Table 5.24: Total Cost Estimate for Stream Reservation Proposals","","","","",""
"GND No","Scheme","Problem to be addressed   Recommendation","N","E","Estimated Cost"
"489 C","Diyathala Kanda minor stream","Soil erosion of land on both sides (about 500m length). Recommend 1. Construct (3mx2mx1m) one SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/ Areca nut trees /Kithul/ Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/Wal del/Kekuna /Mango/ local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 500 m2.","7.165706","80.808852","464100"
"489 C","minor stream","Soil erosion of land on both sides (about 500m length). Recommend 1. Construct (3mx2mx1m) one SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/ Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/Wal del/Kekuna /Mango/ local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 500 m2.","7.166363","80.80882","464100"
"489 C","Werella minor stream","Soil erosion of land on both sides (about 500m length). Recommend 1. Construct (3mx2mx1m) one SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 500 m2.","_","_","464100"
"489 C","Kotiya Gala minor stream","Soil erosion of land on both sides (about 500m length). Recommend 1. Construct (3mx2mx1m) one SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/ Kumbuk/ Mee/ Godapara/ Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 500 m2.","7.164435","80.814653","464100"
"489 C","Badiyawa Mala minor stream","Soil erosion of land on both sides (about 300m length). 1. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/ Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.2. Apply mulching, organic manure and NPK fertilizer. Covered area 500 m2.","7.165286","80.814837","325000"
"489 D","Morakatiya minor stream","Soil erosion of embankments (about 500m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. Length 500m","7.183902","80.79606","175500"
"489 D","Galekade minor stream","Soil erosion of embankments (about 700m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. Length700m","7.184002","80.801768","245700"
"489 D","Thanne Hewala minor stream","Soil erosion of embankments (about 500m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. Length500m","7.187163","80.802565","175500"
"489 D","From Keena mankada minor stream","Soil erosion of embankments (about 1km length). Recommend 1. to Construct (2mx2mx1m) three SABO- boulder dams across the stream locations where canal is steep. 2.Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. Length 1km","7.186394","80.801024","585000"
"489/E","Gama minor stream","Soil erosion of land on both sides (about 1km length). Recommend 1. Construct (3mx2mx1m) Two SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut /Kithul/Kumbuk/Mee/ Godapara/ Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1000 m2.","7.175304","80.818218","928200"
"489","Gama minor stream","Soil erosion of land on both sides (over 2km length). Recommend 1. Construct (3mx2mx1m) Three SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut / Kithul/ Kumbuk/Mee/ Godapara/Kaduru/ Aththikka/Wal del/Kekuna /Mango/ local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1500 m2.","7.164725","80.819054","1392300"
"489","Rambukgete minor stream","Soil erosion of embankments (over 1.5m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. Length 1km","7.173954","80.814555","351000"
"489","Galbokka minor stream 1","Soil erosion of embankments (about 300m length). 1. Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. Length 1km. 2. To provide three numbers of 500mmx500mmx 300mm high concrete junction boxes to facilitate joining of indigenous open conduits made out of bamboo/Areca stems etc.","7.175092","80.811844","128700"
"489","Galbokka minor stream 2","Soil erosion of embankments (about 200m length). Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. Length 200m.","7.174908","80.811287","70200"
"489","Dulgaha Watta minor stream","Soil erosion of embankments (over 1.5m length). 1. Recommend for both sides to plant single row of Areca nut seedling @ 1m spacing and gaps filled with Vetiver grass and maintain for 3 months until roots are established. Length 1km. 2. To provide 500mmx500mmx 300mm high concrete junction boxes to facilitate joining of indegenoius open conduits made out of bamboo/Areca stems etc","7.181451","80.798096","351000"
"489","Thotupala minor stream (Maha minor stream)","Soil erosion of land on both sides (about 1km length). Recommend 1. Construct (3mx2mx1m) three numbers of SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut /Kithul/ Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal del/Kekuna /Mango/local fruits/ randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1500 m2.","7.182193","80.79891","1392300"
"489","Naaya minor stream","Soil erosion of land on both sides (about 1.5km length). Recommend 1. Construct (2mx2mx1m) five numbers of SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 2000 m2.","7.183558","80.802342","1778400"
"489","Ulpatha minor stream","Soil erosion of land on both sides (over 1km length). Recommend 1. Construct (2mx2mx1m) three numbers of SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/ Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/Wal del/Kekuna /Mango/local fruits/randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1000 m2.","7.183205","80.80333","928200"
"489","Kobokura minor stream","Soil erosion of land on both sides (about 2km length). Recommend 1. Construct (2mx2mx1m) six numbers of SABO- boulder dams across the stream locations where canal is steep. 2. Make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna /Mango/local fruits randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 1500 m2.","7.178225","80.797961","1509300"
,,"Total cost","LKR 20,748,000",,
