"Table 5.13: Cost Estimate for Minor Irrigation-Related Recommendations","","","","","",""
"GND No","X Name of the Irrigation Syatem","N","E","Observation","Description","Amount  LKR"
"531","Ambagahakumbure canal","7.01071","80.90467","Part of the existing canal has been concreted and balance part earthen canal.750m long 450mm x450mm(width x height) Rectangular concreted","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","2,095,500"
"531A","Ambagahakumbure canal","7.0222","80.90726","The total length of the canal is 500m, of which 400m is concreted. The rest is an earthen canal. 12 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","770,000"
"531A","Liyangolla canal","7.02414","80.90978","The total length of the canal is 750m, of which 100m is concreted. The rest is an earthen canal. 15 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","2,090,000"
"531A","Batugolla canal","7.0247","80.911","The total length of the canal is 450m, of which 350m is concreted. The rest is an earthen canal. 25 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","770,000"
"531A","Pitaha maha canal","7.0229","80.91127","The total length of the canal is 500m, of which 350m is concreted. The rest is an earthen canal. 65 Acres of lands is cultivated from this canal.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","1,160,500"
"528","Udala  Canal","7.032041","80.89551","Anicut is Constructed of stone and earth. The total length of the canal is 1110m, of which 400m is concreted. The rest is an earthen canal. 65 Acres of lands is cultivated from this canal.","Construction of 0.9 m high Weir across stream excluding abutments and stop planks
Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall 
75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.
Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)
Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid
Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","3,745,500"
"528","Yatala Canal","7.03553","80.89961","The total length of the canal is 900m, of which 250m is concreted in 1991. The rest is an earthen canal. 62 Acres of lands is cultivated from this canal.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","2,739,000"
"528","Kithul pagamuwa canal","7.03963","80.89643","The length of canal in Roopaha GND is 700m, of which 250m is concreted. The rest is an earthen canal. 50 Acres of lands is cultivated from this canal.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","2,596,000"
"528","Bowattha pitiya canal","7.03946","80.9031","Anicut and canal are Constructed of stone and earth. The total length of the canal is 290m. 8 Acres of lands is cultivated from this canal.","Construction of 1.2 m high Weir across stream excluding abutments and stop planks
Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall 
75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.
Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)
Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid
Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","2,348,500"
"528","Gona pelella canal","7.03625","80.89608","The total length of the canal is 1450m, A concrete canal (0.3m x 0.3m) and 0.3m dia PVC pipe used to carry out water for 16m. The rest is an earthen canal. 14 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","2,645,500"
"528E","Ilukpalassa canal","7.03487","80.91614","The total length of the canal is 3200m, of which 600m is concreted. The rest is an earthen canal. 84 Acres of lands is cultivated from this canal.","Canals reservation protection by concrete lining  For  125mm thick, 0.5m  wide  and 0.4m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","3,982,000"
"528E","Pitaha maha canal","7.02611","80.91359","The total length of the canal is 1500m, of which 400m is concreted. The rest is an earthen canal. 42 Acres of lands is cultivated from this canal.","Canals reservation protection by concrete lining  For  125mm thick, 0.5m  wide  and 0.4m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","3,289,000"
"528E","Oyathanna canal","7.02773","80.91655","The total length of the canal is 1000m, of which 100m is concreted. The rest is an earthen canal. 11.5 Acres of lands is cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick, 0.3m  wide  and 0.3m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","2,233,000"
"528 A","Udahena welyaya canal","7.040871","80.90761","Part of the existing canal has been concreted and balance part earthen canal","Canal reservation protection by concrete lining  For  100mm thick, 0.3m  wide  and 0.3m high canal -double banking
Contingencies 10%","139,700"
"528 A","Dehiattagoda anicut","7.047229","80.901587","Part of the existing canal has been concreted and balance part earthen canal.70m long 400mm x400mm(width x height) Rectangular concreted","Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall 
1:3:6 (40mm) concrete with concrete mixer  (volume batching)
Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid
Canal reservation protection by concrete lining  For  100mm thick, 0.3m  wide  and 0.3m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","973,500"
"528 A","Dehiattagoda canal","7.04149","80.908208","Part of the existing canal has been concreted and balance part earthen canal.70m long 400mm x400mm(width x height) Rectangular concreted","Construction of 1.5m high 1:3:6 (40mm) cement concrete Retaining Wall 
1:3:6 (40mm) concrete with concrete mixer  (volume batching)
Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid
Canal reservation protection by concrete lining  For  100mm thick, 0.3m  wide  and 0.3m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","973,500"
"528 A","Batalenpalla Anicut","7.03903","80.907566","Part of the existing canal has been concreted and balance part earthen canal. A anicut of Construct stone and earth","Construction of 0.9 m high Weir across stream excluding abutments and stop planks
Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall 
75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.
Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)
Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid
Canal reservation protection by concrete lining  For  100mm thick, 0.3m  wide  and 0.3m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop
Miscellaneous
Contingencies 10%","2,013,000"
"528 A","Batalenpalla canal","7.039047","80.907691","Part of the existing canal has been concreted and balance part earthen canal. A anicut of Construct stone and earth","Construction of 0.9 m high Weir across stream excluding abutments and stop planks
Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall 
75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.
Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate excludes the transport of materials)
Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid
Canal reservation protection by concrete lining  For  100mm thick, 0.3m  wide  and 0.3m high canal -double banking
Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m
Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop
Miscellaneous
Contingencies 10%","2,013,000"
,,,,"Total",,"50,563,700"
