"Table 6.17: Estimate of water source protection-related activities","","","","",""
"Name of Spring and place","N","E","Observation","Description","Amount  Rs"
"Diyalinda Water Spring","7.138206","80.840818","A well with a 1.4m Ø has been constructed, Pipes are connected to the center of the well under the ground and drinking water is obtained.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Providing PVC pipes, pipe joints, etc.. to convey water from tank","565,000.00"
"Gorokgaha kandura","7.134942","80.849611","Around of the water source should be conserved","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","62,800.00"
"Diyalinda Water Spring","7.138206","80.840818","Around of the water source should be conserved","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","60,450.00"
"Nayawatta Kandura Spring","7.11469","80.8557","The water source should be conserved.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","76,900.00"
"Spring of N.M.Palingumenike's land 1","7.10952","80.84415","Located in private land, It is currently natural soil pit","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","573,500.00"
"Spring of N.M.Palingumenike's land 2","7.10978","80.84488","A tank is built and water is taken for drinking about 40 families. The tank built to get drinking water for 40 families is not enough.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","573,500.00"
"Mahawewa Spring","7.10963","80.85179","The spring is located in the lake. Drinking water is obtained using 7 no's of 1\" Ø Pipes.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","573,500.00"
"Uda Arawa Spring","7.11182","80.84688","It starts from the spring and flows as a stream.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceVegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenanceStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenance","112,787.50"
"Mahawewa Area","7.10952","80.85166","The reserved area related to the lake. It is currently a natural forest","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","100,400.00"
"Kudawewa Area","7.11255","80.8509","The reserved area related to the lake. It is currently a natural forest","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","100,400.00"
"Spring of the land in Polwatta","7.12238","80.85815","A water storage tank is constructed 1.4m long, 1.4m wide and 0.9m high and covered with concrete slab, Distribution tank is constructed 500mm Ø and 1.7m high , water is taken for drinking about 22 families.","1/2\" thk rough plastering in 1: 3 cement mortar1:2:4 (3/4\") Cement concrete,hand mixing and placing  - Cover SlabVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","34,075.94"
"Spring of Dissanayaka's land","7.12306","80.85451","Spring located in private land, A water tank is constructed 0.9m long, 0.9m wide and 0.6m high  and  water is taken for drinking about 12 families. The constructed tank is in dilapidated condition.","1:2:4 (3/4\") Cement concrete,hand mixing and placing  - Cover SlabVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","24,461.65"
"Spring of Ranaweera's land","7.12076","80.8577","Spring located in private land, A water tank is constructed 1.5m long, 1.5m wide and 0.9m high  and  water is taken for drinking about 10 families. The constructed tank is in dilapidated condition.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Provide protective net over covering net Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","612,000.00"
"Spring of Kithulella","7.11882","80.85539","A water tank is constructed 0.9m long, 0.9m wide and 0.75m high  and  covered with concrete slab, water is taken for bathing and wash clothes about 22 families.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
"Spring of temple's Paddy land","7.12203","80.85778","A water tank is constructed 1.5m long, 1.5m wide and 1.2m high  and  covered with concrete slab, water is taken for drinking about 12 families.","1/2\" thk rough plastering in 1: 3 cement mortarVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","16,088.00"
"Spring of Walakumbura Anicut","7.12035","80.85636","A water tank is constructed 0.9m long, 0.9m wide and 0.75m high  and  covered with concrete slab, water is taken for bathing and wash clothes about 18 families.","Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","65,150.00"
,,,"Total",,"5,032,077.52"
