"Table 6.1: Key activities proposed for soil and water conservation in MWS-025","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","On Off Site","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
"4","505A","Padiyapelella","1. Renovation of natural drains - Belihul Oya",,"Off","7.096646","80.801281","1.5 km","Clearing and planting some trees along the banks and other conservation practices",,"150,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Kiri Elwala Kandura",,"Off","7.087721","80.802647","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Medagedara Kandura",,"Off","7.098128","80.801443","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Soil conservation practices - Vegetable cultivated lands (50˚ - 60˚)",,"On","7.086807","80.802714","9 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,250,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Coffee cultivated lands (50˚ - 60˚)",,"On","7.091448","80.800448","0.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","62,500.00","Labor and other basic services by the Local community","0.25 Years"
,,,"6. Soil conservation practices - Uncultivated lands (60˚ - 65˚)",,"On","7.096682","80.801508","1.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","312,500.00","Labor and other basic services by the Local community","0.25 Years"
"Sub Total","3,025,000.00",,,,,,,,,,,,
"5","505B","Ambagaspitiya","1. Renovation of natural drains - Maha Oya Kandura (Koppa Oya)",,"Off","7.097785","80.820749","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Goraka Maditta Kandura",,"Off","7.097553","80.813993","1.2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"120,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Palle Aswedduma Kandura",,"Off","7.100328","80.817496","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Soil conservation practices - Havenketiya (60˚ - 70˚)",,"On","7.098636","80.820323","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,500,000.00","Labor and other basic services by the Local community","5 Years"
,,,"5. Soil conservation practices - Rambukketiya (50˚ - 60˚)",,"On","7.102696","80.816086","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,500,000.00","Labor and other basic services by the Local community","5 Years"
,,,"6. Soil conservation practices - Narangaha Maditta (50˚ - 60˚)",,"On","7.10002","80.811884","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","5,000,000.00","Labor and other basic services by the Local community","1.5 Years"
"Sub Total","8,420,000.00",,,,,,,,,,,,
"6","505C","Galabada","1. Renovation of natural drains - Canal from Kirona Madiththa Lake to Galabada Paddy Field",,"Off","7.095068","80.820101","8 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"800,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Dikbadda Kandura",,"Off","7.091876","80.821692","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Koppa Oya",,"Off","7.09051","80.824287","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Soil conservation practices - Dhulgolla (50˚ - 60˚)",,"On","7.090656","80.824336","14 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1",,"Labor and other basic services by the Local community","1 Year"
,,,"5. Soil conservation practices - Dibbadda (50˚ - 65˚)",,"On","7.089325","80.823482","16 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1",,"Labor and other basic services by the Local community","1 Year"
,,,"6. Soil conservation practices - Galabada (50˚ - 60˚)",,"On","7.097019","80.817677","11 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1",,"Labor and other basic services by the Local community","1 Year"
"Sub Total","1,000,000.00",,,,,,,,,,,,
"7","505D","Landupita","1. Renovation of natural drains - Torrent at the Borahinna Pahala road",,"Off","7.1088","80.80962","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"2. Renovation of natural drains - Nikapanwala Kandura 2",,"Off","7.1105","80.80991","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Alakolawatte Kandura",,"Off","7.10659","80.80846","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"50,000.00","Labor and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Renovation of natural drains - Egodawatta Kandura",,"Off","7.10529","80.80993","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Egodawatta Kandura (Goduwana Kandura)",,"Off","7.10658","80.81001","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"50,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"6. Soil conservation practices - Landupita - Watagoda (60˚ - 70˚)",,"On","7.1096","80.80898","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"7. Soil conservation practices - Nikapanwala (50˚ - 60˚)",,"On","7.11055","80.81033","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"8. Soil conservation practices - Nikapanwala (60˚ - 70˚)",,"On","7.10720","80.80983","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"9. Soil conservation practices - Kiravana Ella (60˚ - 70˚)",,"On","7.11072","80.80527","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,500,000.00","Labor and other basic services by the Local community","0.5 Years"
"Sub Total","4,950,000.00",,,,,,,,,,,,
"8","505E","Wetekegama","1. Renovation of natural drains - Belihul Oya",,"Off","7.101565","80.802214","5 km","Clearing and planting some trees along the banks and other conservation practices",,"100,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"2. Renovation of natural drains - Ulmolliya Kandura",,"Off","7.101021","80.805409","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labor and other basic services by the Local community","0.25 Years"
,,,"3. Renovation of natural drains - Kathina Kandura",,"Off","7.102315","80.804555","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"4. Renovation of natural drains - Kahatapitiya Kandura",,"Off","7.098687","80.8028","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"5. Renovation of natural drains - Gorok Kandura",,"Off","7.100039","80.804477","1.1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"110,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"6. Renovation of natural drains - Niyanda Ella Kandura",,"Off","7.100788","80.806173","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"50,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"7. Renovation of natural drains - Atambe Kandura",,"Off","7.103896","80.805319","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"50,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"8. Soil conservation practices - Gardens (50˚ - 60˚)",,"On","7.100652","80.805852","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","500,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"9. Soil conservation practices - Vegetable cultivated lands (50˚ - 60˚)",,"On","7.102087","80.804191","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","125,000.00","Labor and other basic services by the Local community","0.5 Years"
"Sub Total","1,285,000.00",,,,,,,,,,,,
"9","506","Munwatta","1. Renovation of natural drains - Hetti Ella Kandura",,"Off","7.1102","80.81438","600 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"60,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Koppa Ela",,"Off","7.11671","80.81407","2.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"250,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Kuda Oya Kandura",,"Off","7.1091","80.81555","1.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"150,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Nelugolla Kandura",,"Off","7.11546","80.81277","500 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"50,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Soil conservation practices - Munwatta - Kiravana Ella 1 (60°)",,"On","7.11793","80.80917","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,500,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"6. Soil conservation practices - Munwatta - Kiravana Ella 2 (60°)",,"On","7.11351","80.80874","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,500,000.00","Labor and other basic services by the Local community","0.5 Years"
"Sub Total","3,510,000.00",,,,,,,,,,,,
"10","506A","Unagolla","1. Renovation of natural drains - Belihul Oya",,"Off","7.123304","80.812647","350 m","Planting some trees along the banks and other conservation practices",,"35,000.00","Labor and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Alawatta Maha Kandura",,"Off","7.109132","80.819071","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Koppa Oya",,"Off","7.111421","80.817422","2 km","Planting some trees along the banks and other conservation practices",,"200,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Gardens, Cultivated Lands (50˚ - 60˚)",,"On","7.108318","80.821827","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Gardens, Cultivated Lands (50˚ - 60˚)",,"On","7.120902","80.816919","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Gardens, Cultivated Lands (40˚ - 50˚)",,"On","7.108818","80.819481","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labor and other basic services by the Local community","0.5 Years"
"Sub Total","5,335,000.00",,,,,,,,,,,,
"11","507","Ukuthule","1. Renovation of natural drains - Hel Arawa Kandura",,"Off","7.08378","80.80959","1.25 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"125,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Soil conservation practices - Hapukotuwa (60˚ - 70˚)",,"Off","7.085677","80.808583","3 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","750,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Dunukewatta (50˚ -60˚)",,"Off","7.088483","80.807633","2.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","625,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Veralugolla (60˚ - 70˚)",,"Off","7.08899","80.80727","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","250,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"5. Soil conservation practices - Veralugolla (50˚ -60˚)",,"Off","7.08863","80.80472","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","250,000.00","Labor and other basic services by the Local community","0.5 Years"
"Sub Total","2,000,000.00",,,,,,,,,,,,
"12","507A","Ukuthule East","1. Renovation of natural drains - Ukuthul Oya",,"Off","7.080456","80.809617","2 km","Planting some trees along the banks and other conservation practices",,"200,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"2. Renovation of natural drains - Kalamulla Oya",,"Off","7.081037","80.810017","3 km","Planting some trees along the banks and other conservation practices",,"300,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Soil conservation practices - Sloping Lands cultivated lands (55˚ -65˚)",,"On","7.079354","80.815113","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labor and other basic services by the Local community","0.5 Years"
,,,"4. Soil conservation practices - Uncultivated Lands (50˚ -60˚)",,"On","7.080165","80.817272","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labor and other basic services by the Local community","0.5 Years"
"Sub Total","2,500,000.00",,,,,,,,,,,,
"13","507B","Yatiwella","1. Renovation of natural drains - Atalaha Kandura",,"Off","7.085288","80.80008","3.5 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"350,000.00","Labor and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Renovation of natural drains - Ukuthul Oya",,"Off","7.086968","80.802122","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"3. Renovation of natural drains - Kalapitiya Kandura",,"Off","7.085601","80.800023","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"4. Renovation of natural drains - Ampitiya Oya",,"Off","7.081316","80.794453","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"5. Renovation of natural drains - Belihul Oya",,"Off","7.081579","80.793247","2 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"200,000.00","Labor and other basic services by the Local community/ Shramadana","0.5 Years"
,,,"6. Renovation of natural drains - Galkanda Kandura",,"Off","7.083947","80.796935","500 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"50,000.00","Labor and other basic services by the Local community/ Shramadana","0.25 Years"
"Sub Total","900,000.00",,,,,,,,,,,,
,,,,,,,,,"Grand Total",,"42,961,500.00",,
