"Table 6.22: Time frame for implementation of minor irrigation proposals","","","","","",""
"GND No","Name of Irrigation System","N","E","Observation","Description","Amount  Rs"
"505","Maditta Canal","7.090428","80.801042","Existing Earthen canal, Command area 10.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","565,000.00"
"505A","Darada Ela","7.086945","80.802651","The total length of the canal is 0.6km and A 300m long section is concreted, Command area 50.0 acres","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","1,260,000.00"
"505B","Maha Oya Main Canal","7.098406","80.820349","The total length of the canal is 4.0km and 1.0km of it flows as natural stream. The concreted section is 500m, of which 300m section of canal has a damaged bed. Command area 140.0 acres","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceRepairs to the existing damaged canal liningMiscellaneous","1,480,000.00"
"505B","Maha Oya Main Canal","7.100922","80.817558","The existing concrete canal of this place has been damaged due to landslide. Currently, 2 PVC pipes with 225mm Ø are temporarily placed on wooden poles.","Supplying & fixing 02 nos of 100mm Dia PVC pipes in a suitable way (after inspecting the site) to connect two ends of canals","50,000.00"
"505B","Maha Oya Main Canal","7.098653","80.820256","The existing concrete canal of this place has been damaged due to landslide","Supplying and fixing T.S Dowels spliced and dove tailed with wedge at one end 5/8\" dia, 700mm long boring holes, 350mm depth in fixingConstruction of 1:3:6 (1 1/2\") ct concrete retaining wall (height 2.1m, top width 0.25m, 0.70m high steps x 03, each of 0.15m step width & bottom width 0.70m)","310,000.00"
"505B","Karawalagolla Anicut","7.104201","80.815416","Existing earthen anicut, An anicut should be constructed across Maha Oya Canal to get water for the Karawalagolla Canal.","Construction of 4.0m long x 0.9m height anicut with 02 nos x 0.9m width openings, supplying of  3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangementsVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","340,000.00"
"505B","Karawalagolla Canal","7.104826","80.814968","Existing Earthen  canal, Command area 17.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","885,000.00"
"505B","Galkotuve Anicut","7.104364","80.813392","Existing earthen anicut, An anicut should be constructed across Maha Oya Canal to get water for the Galkotuve Canal.","Construction of 4.0m long x 0.9m height anicut with 02 nos x 0.9m width openings, supplying of  3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangementsVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceMiscellaneous","340,000.00"
"505B","Galkotuve Canal","7.104358","80.813288","Existing Earthen  canal, Command area 17.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","795,000.00"
"505B","Pitiye Ela","7.104933","80.814986","An anicut should be constructed across Maha Oya Canal to get water for the Pitiya Canal,  Command area 20.0 acres","Construction of 4.0m long x 0.9m height anicut with 02 nos x 0.9m width openings, supplying of  3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangementsCanals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceMiscellaneous","360,000.00"
"505B","Kanamulle anicut","7.104328","80.814354","Existing earthen anicut, An anicut should be constructed across Maha Oya Canal to get water for the Kanamulle Canal.","Construction of 4.0m long x 0.9m height anicut with 02 nos x 0.9m width openings, supplying of  3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangementsVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenanceMiscellaneous","340,000.00"
"505B","Kanamulle Ela","7.104516","80.813724","Existing Earthen  canal, Command area 10.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","470,000.00"
"505C","Matihakke Canal","7.095052","80.818348","Existing Earthen  canal, The canal use for water distribute from Matihakka Lake.","Vegetative cover improving, replanting bamboo species and vetiver grass or riparian species at 500mm grid interval including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","25,000.00"
"505C","Kahawa Pavura Canal","7.095928","80.820378","Existing Earthen  canal, Command area 15.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","750,000.00"
"505C","Munwatta Kumbura Canal","7.094295","80.8197","Existing Earthen  canal, Command area 8.0acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","350,000.00"
"505C","Kumbukgahamula Canal","7.095216","80.818355","The total length of the canal is 6.0km and The section belonging the division is 1.0km. This canal is also spill canal of the Kubukgahamula Lake.  Command area 45.0 acres","Canals reservation protection by concrete lining  For  125mm thick , 0.4m  wide  and 0.5m high canal -single bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","360,000.00"
"505C","Pin Liyadda Canal","7.095167","80.820235","Existing Earthen  canal, Command area 8.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","305,000.00"
"505C","Peragahamula Canal","7.095799","80.818406","The total length of the canal is 2.0km and  The concreted section is 35.0m, A 110.0m long section of the earthen canal has been completely damaged, Command area 32.0 acres","Construction of 114 m long 0.50m x 0.40m trough with 6 m spans each rested on piers (for canal bed elevated 2 m in average above the existing GL)","5,800,000.00"
"505C","Kaberiwatta Canal","7.097085","80.817899","Existing Earthen  canal, A 40.0m long section of the earthen canal has been completely damaged, Command area 5.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","160,000.00"
"505D","Ella Ela","7.10794","80.80878","Existing Earthen  canal, Command area 18.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","975,000.00"
"505D","Thanne Ela","7.10713","80.80748","The total length of the canal is 1.0km and  The concreted section is 125.0m, A 875.0m long section of the earthen canal should be concreted, Command area 12.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","625,000.00"
"505D","Egodawatte Anicut & Canal","7.10531","80.80994","The anicut should be constructed. About 100m of the existing canal has been concreted in some places, but it is in a very dilapidated condition. Command area 15.0 acres","Construction of 4.0m long x 0.9m height anicut with 02 nos x 0.9m width openings, supplying of  3\" thick CL I timber planks for each opening, supplying and fixing of 9\" Dia CI gate inclusive of all arrangementsStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceCanals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingMiscellaneous","770,000.00"
,,,,,,
"505D","Goda Uvana Canal","7.10558","80.80883","Existing Earthen  canal,  Command area 18.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","710,000.00"
"505D","Pitapale Canal","7.10642","80.80722","Existing Earthen  canal,  Command area 22.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","1,070,000.00"
"505D","Alakolawatthe Canal","7.10874","80.80739","Existing Earthen  canal,  Command area 4.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","235,000.00"
"505E","Bulathwatte Ela","7.099737","80.802254","115.0m long section of canal has been concreted. Command area 22.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","570,000.00"
"505E","Uda Amuna Ela","7.101565","80.802214","200.0m long section of canal has been concreted. Command area 35.0 acres","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","1,260,000.00"
"505E","Ulmulliya Ela","7.10143","80.804762","The canal start from Diyamolliya Spring, 50.0m long section of canal has been concreted. Command area 6.0 acres","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceRehabilitation of existing damaged canal liningMiscellaneous","360,000.00"
"505E","Bajjala kumbura Ela","7.102281","80.802562","200.0m long section of canal has been concreted. Command area 20.0 acres","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceRepairs to the existing damaged canal liningMiscellaneous","965,000.00"
"505E","Egoda gedara Welikadawela Ella","7.102363","80.804682","Earthen canal,  Command area 25.0 acres","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","1,135,000.00"
"505E","Wetakegama canal","7.100757","80.802749","Earthen canal,  Command area 14.0 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","760,000.00"
"505E","Bathalawatta Canal","7.104488","80.805176","Earthen canal,  Command area 8.5 acres","Canals reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m, Turfing to new sloping  soil surface (DAD  D 01) or planting  single row of vetiver grass with eco friendly edible plants like gotukola, mukunuwenna, thampala etc including application of compost manure and 02 months maintenanceVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceMiscellaneous","445,000.00"
