"Table 6.21: Time frame for implementing domestic water and water source protection","","","","","",""
"GND No","Location","N","E","Observation","Description","Amount  Rs"
"505E","Kumburu Ela",,,"A small tank is constructed to the location of the spring and water collected in it is distributed. All three projects operate from the same water source.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5 - Koswatta","1,100,000.00"
"505E","Kandura",,,"A small tank is constructed to the location of the spring and water collected in it is distributed. All three projects operate from the same water source.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5 - Koswatta","1,100,000.00"
"505E","Provincial Council","7.104785","80.805407","The spring has been preserved constructing tank. Water is obtained using pipes.","1/2\" thk 1:3 cement motar plastering to prevent leakages in liningConstruction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","586,477.78"
"506","Nayakumbura","7.10792","80.81564","The spring is located on a private paddy field and about 35 families use water. 1.4m long, 0.8m wide and 0.5m high tank has been constructed at the location of the spring and It needs to be repaired. A new water storage tank should be constructed.","1/2\" thk 1:3 cement motar plastering to prevent leakages in liningConstruction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","577,808.62"
"506","Thambikumbura","7.10793","80.81564","1.7m long, 1.7m wide and 1.8m high tank has been constructed at the location of the spring and It is in a dilapidated condition. About 60 families getting water for drinking. The bathing place used by about 100 families needs to be renovated.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Providing PVC pipes, pipe joints, etc.. to convey water Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","588,500.00"
"506","Ulpathe Kumbura","7.11147","80.81474","The spring is located on a private paddy field and about 35 families use water. 0.9m long, 0.9m wide and 0.9m high tank has been constructed at the location of the spring and It is in a dilapidated condition.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","573,500.00"
"506A","Rankiriya Kandura","7.107234","80.824472","About 6 families get water for drinking and other domestic use.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","600,200.00"
"506A","Unagolla","7.109308","80.819852","About 12 families get water for drinking and other domestic use.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceVegetative cover improving with Areca nut seedling @ 1.5m spacing in a single row, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and dense planting at 500mm grid interval, applying of compost manure, NPK fertilizer, mulching with straw/ banana tree skin and maintenance","600,200.00"
"506A","Unagolla","7.111827","80.817141","About 8 families get water for drinking and other domestic use.","Construction of Concrete water storage tank of 20 cum - size internal 3mx3mx2.5Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenanceProviding PVC pipes, pipe joints, etc.. to convey water","588,500.00"
"507","Marabadda","7.0799813","80.814914","Located in private land, A water storage tank has been constructed","Provide protecting net over existing water tankVegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","62,000.00"
"507A","Ukuthule East","7.0799813","80.814914","Located in private land, A water storage tank has been constructed","Provide protecting net over existing water tank Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","62,000.00"
"507B","Uduwella","7.084407","80.798337","The constructed well is in dilapidated condition","1/2\" thk 1:3 cement motar plastering to prevent leakages in liningConstruction of leader drain across streams -1m(W)x1m(H)Vegetative cover improving (1.5m-2.0m wide) with Areca nut seedlings @ 1.5m spacing in two rows, Beetle creeper VP @ 3m spacing in a single row, Green gram as a cover crop including applying of compost manure, NPK fertilizer and maintenance","38,009.78"
,,,,"Total",,"10,851,782.93"
