"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-008-1","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","ON OFF Site","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,"3. Developemnt of natural dain - Pihiathala Kandura 2","1","OFF","7.195990","80.739448","400 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"40,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
,,,"4. Developemnt of natural dain - Pihiathala Kandura 3","5","OFF","7.191039","80.739794","400 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"40,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
,,,"5. Developemnt of natural dain - Pihiathala Kandura 4","5","OFF","7.191346","80.740012","400 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"40,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
,,,"6. Developemnt of natural dain - Havan Madiththa Kandura","4","OFF","7.188415","80.752867","100 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"10,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
,,,"7. Establishing a retaining wall","2","OFF","7.190387","80.748812","20 m x 2 m","Retaining Wall (Masonary)",,"880,000","By the project","0.25 Years"
"Sub Total","1,395,000",,,,,,,,,,,,
"5","1021","Kahambiliyawa","1. Developemnt of natural dain - Kahambiliyawa Kandura 1","5","OFF","7.18858","80.75758","200 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"20,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
,,,"2. Developemnt of natural dain - Kahambiliyawa Kandura 2","4","OFF","7.188698","80.757592","100 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"10,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
"Sub Total","30,000",,,,,,,,,,,,
"6","1024","Unuvinna East","1. Developemnt of natural dain - Kandura near Pwer Station","5","OFF","7.208700","80.767099","1 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
,,,"2. Developemnt of natural dain - Asweduma Kandura","4","OFF","7.207132","80.768327","1 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
"Sub Total","200,000",,,,,,,,,,,,
"7","1025","Unuvinna West","1. Developemnt of natural dain - Hunukotawela Kandura","4","OFF","7.190253","80.762076","2 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices",,"200,000","Labour and other basic services by the Local community/ Sharamadana","0.25 Years"
"Sub Total","200,000",,,,,,,,,,,,
,,,,,,,,,"Grand Total",,"5,262,000",,
