"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-005","","","","","","","","","","","","",""
"No.","GN.Division.No.","GN.Division","Key.Activities.proposed.for.Soil.and.Water.conservation","Priority.based.on.Soil.Erosion.Hazard","ON.OFF.Farm","Coordinates","Quantity","Proposed.measure.s","Uniti.Cost..LKR.","Total.Cost..LKR.","Contribution","Time.frame.for.the.implementation","NA."
" "," "," ","3. Development of natural drain -  4 Culvert (Bokkuwe) Kandura","1","OFF","7.242258","80.698226","1 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","100,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","4. Development of natural drain -  Kadakula Kandura","4","OFF","7.243745","80.697061","2.5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","250,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","5. Development of natural drain -  2 Culvert (Bokkuwe) Kandura","3","OFF","7.245076","80.696828","1.1 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","110,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","6. Development of natural drain -  1 Culvert (Bokkuwe) Kandura","3","OFF","7.245076","80.696828","1 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","100,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","7. Soil conservation practices (70°) - Yogaraja's house","1","OFF","7.24355","80.702227","6 m  x 2 m","Retaining Wall (Masonary)"," ","264,000","By the project","0.25 Years"
"Sub Total","1,174,000"," "," ",,,,,,,,,,
"6","985","Butawawaththa South","No special issues are reported",,,,,,,,,,
"7","989","Godamunna East","1. Development of natural drain - Koswaththa Kandura","1","OFF","7.224842","80.704609","900 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","90,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","2. Development of natural drain - Bolagedara Kande Kandura","5","OFF","7.219848","80.69822","800 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","80,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","3. Development of natural drain - Pallegama Kandura","4","OFF","7.22848","80.703612","1150 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","110,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","6. Development if natural drain - Pallage Waththage Kamdura (60°)","3","OFF","7.228426","80.703597","50 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","5,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
"Sub Total","285,000"," "," ",,,,,,,,,,
"8","990","Godamunna West","1. Development if natural drain - Kandura near the 1 Mile Post  "," ","OFF"," "," ","800 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","80,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","2. Development if natural drain - Near the house of Mr. Wijesooriya ","1","OFF","7.229725","80.709681","50 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","5,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
"Sub Total","85,000"," "," ",,,,,,,,,,
"9","991","Kapuliyadda West","1. Development of Kandura near Kapuliyadda Maha Vidyalaya","3","OFF","7.239555","80.717803","25 m x 2 m","Retaining Wall (Masonary)"," ","1,100,000","By the project","0.25 Years"
" "," ","","3. Bank conservation - Kivullinda Oya","1","OFF","7.239478","80.714602"," ","Planting Areca nut palms"," ","100,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
"Sub Total","1,200,000"," "," ",,,,,,,,,,
"10","992","Kapuliyadda East","1. Development of natural drains - Kapuliyadda Oya","1","OFF","7.236638","80.709314","100 m x 2 m ","Retaining Wall (Masonary)"," ","4,400,000","By the project","0.25 Years"
" "," "," "," ",""," "," ",""," ","Planting trees along the banks (Arecanut, Nuga, Mee etc.)"," ",""," "," "
" "," "," ","2. Development of natural drains - near temple","2","OFF","7.237025","80.708367","52 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","52,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","2. Development of natural drains - Meegasamulla Kandura","1","OFF","7.238749","80.712968","1.5 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","150,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
"Sub Total","4,602,000"," "," ",,,,,,,,,,
"11","993","Narangasthenna","1. Development of natural drains - Dulmuramulla Kandura","2","OFF","7.234197","80.704322","500 m ","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","50,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","2. Development of natural drains - Kandura near Nikalawela Pathaha","3","OFF","7.234361","80.710941","800 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","80,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ",""," "," "," "," ","","2.5 m x 2 m","Retaining Wall (Masonary)"," ","110,000","By the project","0.25 Years"
" "," ","","3. Establishing a side wall - Malaliyadda anicut (90°)","4","OFF","7.235577","80.707395","2 m x 2 m","Retaining Wall (Masonary)"," ","88,000","By the project","0.25 Years"
" "," ",""," "," "," "," ",""," ","Planting Areca nut palms"," ","","",""
" "," ","","7. Development of natural drains - Elle Oya","1","OFF","7.238272","80.713083","Covering 12 ac either side","Planting Areca nut palms and other trees (Bamboo, Nuga etc.)"," ","100,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ",""," "," "," "," ",""," "," "," ","","",""
"Sub Total","428,000"," "," ",,,,,,,,,,
"12","995","Welegama","1. Development of natural drains - Pansalwaththa Arawa Kandura","4","OFF","7.229609","80.709328","500 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","50,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","2. Development of natural drains - Kanda Oya","3","OFF","7.223984","80.707597","2 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices, E.g. grass cultivation"," ","200,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ",""," "," "," "," ",""," ","Having a stream reservation"," ",""," "," "
" "," ","","3. Development of natural drains - Kandura near Welegama Temple","5","OFF","7.227464","80.710464","600 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","60,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","4. Development of natural drains - Miyana Kandura","1","OFF","7.22469","80.713884","600 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","60,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","5. Development of natural drains - Doiwelgolla Kandura","1","OFF","7.2272085","80.715555","200 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","80,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ",""," ","3","OFF","7.2267490","80.715765","200 m",""," ","","",""
" "," ",""," ","1","OFF","7.2272085","80.715555","200 m",""," ","","",""
" "," ",""," ","3","OFF","7.2267470","80.715765","200 m",""," ","","",""
" "," ","","6. Development of natural drains - Kiriwanagoda Kandura","5","OFF","7.226358","80.716723","400 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","80,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ",""," ","1","OFF","7.226169","80.717422","400m",""," ","","",""
" "," ","","7. Development of natural drains - Siyambalagaha Kandura","2","OFF","7.225938","80.717682","700 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","70,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","8. Development of natural drains - Kandura 4","4","OFF","7.225938","80.714682","700 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","70,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","7. Development of natural drains - Siyambalagaha Kandura","4","OFF","7.227669","80.719629","350 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","35,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","7. Development of natural drains - Siyambalagaha Kandura","2","OFF","7.227871","80.720662","800 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","80,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","12. Establishing a retaining wall - Ms. R.M. Nayana Kumari (60°) to avoid water flowing inside the house","1","OFF","7.229516","80.799269","10 m x 3 m","Reaining Wall (Concrete)"," ","1,171,500","By the project","0.25 Years"
"Sub Total","1,956,500"," "," ",,,,,,,,,,
"13","996","Madagama Udagama","1. Development of natural drains - Bulugasmulla Kandura","5","OFF","7.218752","80.702412","1 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","100,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","2. Development of natural drains - Ganegoda Kandura","4","OFF","7.213983","80.703312","6 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","600,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
" "," ","","3. Development of natural drains - Lokuwaththa Kandura","5","OFF","7.214392","80.70402","2 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","200,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","4. Development of natural drains - Lokuwaththa Mala-Kandura","5","OFF","7.21399","80.70329","2 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","200,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","5. Development of natural drains - near Lokuwaththa Line","1","OFF","7.209848","80.701248","200 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","20,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","6. Development of natural drains - Punchiwaththa Oya","5","OFF","7.204605","80.701387","4 km","Planting trees along the banks (Arecanut, Nuga, Mee etc.)"," ","400,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","7. Development of natural drains - Thulamuwa Ulpathe Kandura","5","OFF","7.204407","80.701688","3 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","300,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","8. Development of natural drains - Punchwaththa Kandura","5","OFF","7.204852","80.704877","6 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","600,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
" "," ","","9. Development of natural drains -Madagama Oya","3","OFF","7.208325","80.70518","3 km","Planting trees along the banks (Arecanut, Nuga, Mee etc.)"," ","300,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
" "," "," ","16. Removal of boulders/stones - Galapamula (falling down boulders/stones)","1","OFF","7.208213","80.707201"," ","Removing boulders/rocks that can fall down, awareness on soil conservation"," ","50,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
"Sub Total","2,770,000"," "," ",,,,,,,,,,
"14","997","Medagama Pallegama","1. Development of natural drains - Gurugalkumbura Kandura","5","OFF","7.2212","80.713134","800 m ","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","80,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","2. Development of natural drains - Poththagahapitiya Kandura","3","OFF","7.21933","80.711882","100 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","10,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","3. Development of natural drains - Rathambe Kandura","3","OFF","7.219179","80.71632","650 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","65,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," ","","4. Development of natural drains - Welikada Thenna","4","OFF","7.224883","80.719931","2 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","200,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
" "," ","","5. Establishing a retaining wall - Medagama Central College/Lower the road (85°)","4","OFF","7.220798","80.713457","150 m x 3 m","Retaining Wall (Concrete)"," ","17,418,500","By the project","0.25 Years"
" "," "," ","6. Establishing a retaining wall - Medagama Central College/Lower the road (70°)","4","OFF","7.220867","80.713459","200 m x 3 m","Retaining Wall (Concrete)"," ","23,226,500","By the project","0.25 Years"
"Sub Total","41,000,000"," "," ",,,,,,,,,,
"15","999","Bolapa","1. Development of natural drains - Kiwullinda Oya","5","OFF","7.239001","80.722535","1.2 km","Planting trees along the banks (Arecanut, Nuga, Mee etc.)"," ","120,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","2. Development of natural drains - Kiwullinda Lunu Ella","4","OFF","7.239829 7.238652","80.722278 80.723213","510 m","Planting trees along the banks (Arecanut, Nuga, Mee etc.)"," ","51,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","3. Development of natural drains - Lunu Ella Kandura","5","OFF","7.239017","80.722538","510 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","51,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","4. Development of natural drains - Mala Kandura","5","OFF","7.234516","80.726075","800 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","80,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","5. Development of natural drains - Bolapa 4th Mile Post/Mala Kandura","1","OFF","7.233428","80.727297","850 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","85,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","6. Development of natural drains - Galkandawaththa/Mala Kandura","1","OFF","7.23115","80.727945","750 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","75,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","7. Development of natural drains - Kandura 6/Mala Kandura","4","OFF","7.232182","80.728175","600 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","60,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","8. Development of natural drains - Bolapa Kandura 6","1","OFF","7.231223","80.725806","350 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","60,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","9. Development of natural drains - Kandura 8 Bolapa Egodawaththa","1","OFF","7.228511","80.722568","1 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","100,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","10. Development of natural drains - Kandura 9 Bolapa Oya","1","OFF","7.22851","80.72259","6 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","100,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
" "," "," ","11. Development of natural drains - Kandura 10 Mala Kandura","4","OFF","7.229019","80.723418","400 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","40,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
"Sub Total","822,000"," "," ",,,,,,,,,,
"16","987","Doolmure","1. Development of natural drains - Dulmure Kandura 1","1","OFF","7.242586","80.705796","750 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","75,000","Labour and other basic services by the Local community/Sharamadana"," 0.25 Years"
" "," "," ","2. Development of natural drains - Dulmure Kandura 2","3","OFF","7.242023","80.706107","400 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","40,000","Labour and other basic services by the Local community/ Sharamadana"," 0.25 Years"
" "," "," ","3. Development of natural drains - Dulmure Kandura 3","1","OFF","7.238424","80.702646","200 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","20,000","Labour and other basic services by the Local community/ Sharamadana"," 0.25 Years"
" "," "," ","4. Development of natural drains - Dulmure Kandura 4","4","OFF","7.237473","80.706393","200 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","20,000","Labour and other basic services by the Local community/ Sharamadana"," 0.25 Years"
" "," "," ","8. Establishing a retaining wall","3","OFF","7.242023","80.706107","60 m x 2 m","Retaining Wall (Masonary)"," ","2,640,000","By the project","0.25 Years"
"Sub Total","2,795,000"," "," ",,,,,,,,,,
"17","994","Godalawela","1. Development of natural drains - Godalawela Kandura 1","1","OFF","7.2384117","80.716881","300 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices"," ","30,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
""," "," ","2. Development of natural drains - Akuwitiya Kandura ","1","OFF","7.236339","80.71744","100 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices","","10,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
""," "," ","3. Development of natural drains - Godalawela Kandura 3"," ","OFF",""," ","2 km","Clearing and planting some trees along the banks (Arecanut) and other conservation practices","","200,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
""," "," ","4. Development of natural drains - Godalawela Kandura 4","3","OFF","7.23603","80.714319","50 m","Clearing and planting some trees along the banks (Arecanut) and other conservation practices","","5,000","Labour and other basic services by the Local community/Sharamadana","0.25 Years"
"","Sub Total","245,000"," "," ",,,,,,,,,
"","GRAND TOTAL","119,491,000","","",,,,,,,,,
