"Table 5.20: Cost estimate of minor irrigation-related proposals with locations","","","","",""
"GND.No.","Scheme","Problem.to.be.addressed..Recommendations","N","E","Estimated.Cost"
"995","Mogasmulla kubura ela"," Leaks and cracks in anicut structure and canal of 20m length. Need concrete canal lining and curtain wall for the anicut ","7.22905","80.70955","420,875"
"995","Siyabalagahakubura ela"," Canal seepage and leaks. Need 6m long canal lining and earthfill for 10m length ","7.22594","80.71768","128,248"
"995","Kolla kubura ela"," Seepage at D/S of 50m earthen canal.  Recommend50m long 300mmX300mm concrete channel lining with eco-friendly edible vegetation on reservation filling for 1.5m width. ","7.227","80.72031","347,055"
"995","Dhodamgasmulla ela"," Leak through concrete lining. Needs curtain wall for 4m length ","7.21477","80.70977","17,420"
"996","Gamgoda welyaya ela 1"," No proper anicut structure and canal. Recommend 20m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on 70m long reservation filling for 1.5m width. Also 700mm high 3m long anicut structure is need. ","7.214963/7.21504","80.706857/80.706792","442,364"
"996","Gamgoda welyaya ela 2"," No proper anicut structure and canal. Recommend 20m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on 120m long reservation filling for 1.5m width. Also 700mm high 3m long anicut structure is need. ","7.215155/7.215195","80.7072/80.707225","464,641"
"996","Gamgoda welyaya ela 3"," No proper anicut structure and canal. Recommend 20m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on 50m long reservation filling for 1.5m width. Also 700mm high 2.5m long anicut structure is need. ","7.21557","80.70777","373,672"
"996","Olugasmulla ela"," Seepage at D/S of 250m earthen canal.  Recommend100m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on 250m long reservation filling for 1.5m width. ","7.22086","80.70558","1,678,929"
"996","Bulugasmulla ela"," No proper anicut structure and canal. Recommend 20m long 400mmX400mm concrete channel lining with eco-friendly edible vegetation on 50m long reservation filling for 1.5m width. Also 700mm high 2.5m long anicut structure is need. ","7.22086","80.70558","373,672"
"996","Gedarawela ela"," Seepage at D/S of 800m earthen canal.  Recommend 100m long 400mmX400mm concrete channel lining with 500m eco-friendly edible vegetation on reservation filling for 1.5m width. ","7.21944","80.713395","1,951,820"
"997","Mahakumbura ela"," Seepage at D/S of 900m earthen canal.  Recommend 200m long 300mmX400mm concrete channel lining ","7.217206","80.710774","1,165,450"
"997","Maha medagama ela"," Erosion of both sides of lands. Need single row or areca +betel vegetation for 200 m length ","7.215192","80.710176","122,200"
"997","Kapugaha Devala ela"," Seepage at D/S of200m earthen canal.  Recommend 100m long 300mmX400mm concrete channel lining ","7.225239","80.719164","582,725"
"997","Ellenpallayaya ela"," Seepage at D/S of500m earthen canal.  Recommend 200m long 300mmX400mm concrete channel lining ","7.224338","80.718157","1,165,450"
"997","Wakkumbura ela"," Seepage at D/S of250m earthen canal.  Recommend 100m long 300mmX400mm concrete channel lining ","7.225022","80.717456","582,725"
"997","Edirimulla ela"," Seepage at D/S of850m earthen canal.  Recommend 300m long 300mmX400mm concrete channel lining ","7.223263","80.716277","1,748,175"
"997","Ellen udayaya ela"," Siltation and Seepage at D/S of 500 m earthen canal. recommend 250m long 300 mmX400 mm concrete channel lining. Farmers need to attend periodic desilting. ","7.222138","80.71573","1,456,813"
"997","Undiya Kumbura ela"," Water penetrating from the anicut bottom needs concrete sealing of about 8mX2mX100mm ","7.23079","80.72437","96,200"
"999","Deliwqala waraketiya anicut"," There are no planks for anicut opening. Cracks in the retaining wall. We need to provide a curtain wall 10m long and 300 mm high. ","7.22848","80.72248","45,500"
"999","Mahakumbura wela ela"," Seepage at D/S of 1.5 km long earthen canal.  Recommend 1500m earth fill and eco-friendly edible vegetation on the reservation slope. ","7.22902","80.72286","1,670,760"
"999","Deliwala wanagawe ela","Seepage at D/S of 1 km long earthen canal.  Recommend 1km long earthfill and eco-friendly edible vegetation on the reservation slope. ","7.23021","80.7245","1,113,840"
"999","Kumburuyaya ela","Seepage at D/S of 300m long earthen canal.  I recommend 300m long earth fill and eco-friendly edible vegetation on the reservation slope. ","7.23182","80.72596","334,152"
"999","Ihala aswedduma anicut","Dilapidated anicut structure and inlet canal. Need 4mx1.5m high anicut and 10mX2m high retaining wall. ","7.22274","80.73184","355,680"
"","Total cost "," ","","LKR","86,371,050"
