"Table 5.41: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency  GoSL","Final cost to LA  GoSL  Rs"
,"Supply of Mandarin Seedlings",,"200","300","60,000.00","100%","60,000.00"
,"Supply of Trichoderma (1-liter bottles)",,"12","1,000","12,000.00","100%","12,000.00"
,"Supply of Mango Seedlings",,"40","300","12,000.00","100%","12,000.00"
"Export Crops","Coffee","Babaragama-100, Babaragama East-1000, Daraoya-1000, gannewa Udagama-1000, Kithulpe-2100, Warapitiya-1200, Wetesthenna-1000","7400","30","222,000.00","100%","22,000.00"
,"Pepper","Babaragama-7250, Babaragama East-2000, Babaragama west-500, Bowala-2040, Daraoya- 700, Gannewa Udagama-500, Kithulpe-1400, Malanwatta- 300, warapitiya-2100, wetesthenna-500","17290","40","691,600.00","100%","691,600.00"
,"Vanila","Babaragama East -3000, Babaragama West- 300, bowala-760, gannewa udagama- 200, Malanwaththe-200, Warapitiya -100 Wetesthenna-250","4810","40","192,400.00","100%","192,400.00"
,"Clove","Babaragama-15, Babaragama East- 200, Bowala-200, Daraoya- 200, Gannewa Udagama-100, Kithulpe-200, Warapitiya- 80, wetesthenna-50","1045","130","135,850.00","100%","135,850.00"
,"Ginger","Babaragama East-800 Babaragama West- 300, Bowala- 500 Daraoya - 400 Gannewa Udagama-500, Kithulpe-400 Malanwatta-200 Medagama- 150 Warapitiya-250 Wetesthenna- 250","3750","18","67,500.00","100%","67,500.00"
"Livestock","No of cow","Babaragama-2 Babaragama East- 5 Bowala- 1 Medagama-5 kithulpe-5 Wetesthenna-5","23","250,000.00","5,750,000.00","50%","2,875,000.00"
,"No of chicks","Babaragama- 30 Babaragama West- 100 Bowala- 60, Daraoya- 20 Gannewa Udagama- 150 Hadawalapitiya-100   Medagama- 80 Warapitiya- 75 Wetesthenna-50","665","1,500.00","997,500.00","50%","498,750.00"
,"Incubator","Babaragama East-5, Daraoya-10, Gannewa Udagama-10, Hadawalapitiya-5, wetesthenna-10,","40","60,000.00","2,400,000.00","50%","1,200,000.00"
,"No of sheds - cow","Babaragama-7 Babaragama East- 15 Babaragama West- 3 Bowala-1, - Gannewa Udagama- 3 Hadawalapitiya-10 Kithulpe- 10   Medagama- 5 Warapitiya- 2 Wetesthenna-7","62","300,000.00","18,600,000.00","50%","9,300,000.00"
,"No of sheds - goat","Babaragama west-1, Daraoya-20, Hadawalapitiya-30, Kithulpe-12","63","150,000.00","9,450,000.00","50%","4,725,000.00"
"Value added products","Bee keeping (Box 4000/= & 4000/= bees)","Babaragama East -5 Daraoya -10 Gannewa Udagama-10, kithulpe-10, Malanwatta-2, Medagama-5, Warapitiya-10","52","8,000.00","416,000.00","75%","312,000.00"
,"Black Pepper making machines (Balancing kit)","Babaragama West-1","1","10,000.00","10,000.00","50%","5,000.00"
,"Jackfruit drying machines","Babaragama East-1, Hadawalapitiya-1, kithulpe-1","3","850,000.00","2,550,000.00","50%","1,275,000.00"
,"Ginger slicing machine","Babaragama west-1, Gannewa Udagama-1, Kithulpe-1","3","150,000.00","450,000.00","50%","225,000.00"
"Total Cost",,,,,"41,932,850.00",,"25,418,350.00"
