"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-004-2","","","","","","","","","","","",""
"No.","GN.Division.No.","GN.Division","Key.Activities.proposed.for.Soil.and.Water.conservation","Priority.based.on.Soil.Erosion.Hazard","Coordinates","Quantity","Proposed.measure.s","Uniti.Cost..LKR.","Total.Cost..LKR.","Contribution","Time.frame.for.the.implementation","NA."
"5","961","Thalathuoya East","1. Soil and moisture conservation practices, Hewaheta Central College - 30°","1","7.2521250","80.6908770","4 ha","Lock and spills 2 ha","400 m-1","800,000","Labour and other basic services by the Local community","0.25 Years"
" "," "," ",""," ",""," ","","Stone terraces - 2 ha","2,500 m-1","5,000,000","",""
"Sub Total","5,800,000"," "," ",,,,,,,,,
"6","965","Ethulgama South","1. Soil and water conservation practices (80°)","1","7.2355250","80.6690700","40 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","10,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","10,000,000"," "," ",,,,,,,,,
"7","960","Thalathuoya West","No special issues are reported",,,,,,,,,
"Sub Total","-"," "," ",,,,,,,,,
"8","969","Haputhale Udagama","1. Soil and water conservation practices - Mr. R.G. Robinson (60°)","4","7.2307740","80.6728440","48 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","12,000,000","Labour and other basic services by the Local community","1.5 Years"
" ",""," ","2. Soil and water conservation practices- Upaweera Land (45°)","5","7.2322500","80.6752400","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","12,250,000"," "," ",,,,,,,,,
"9","970","Haputhale Pallegama","1. Soil and water conservation practices - Haputale Pallegama (80°)","4","7.2278260","80.6854710","1.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","312,500","Labour and other basic services by the Local community","0.25 Years"
" "," ",""," ","5","7.2279300","80.6850370","1.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","312,500","","0.25 Years"
"Sub Total","625,000"," "," ",,,,,,,,,
"10","971","Ankelipitiya","1. Soil and water conservation practices - common (40 - 70°)","1","7.2375570","80.6873870","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,250,000"," "," ",,,,,,,,,
"11","973","Moragolla","1. Soil and water conservation practices (30 - 60°)","5","7.2273860","80.6767020","24 ha","Lock and spills (12 ha)","400 m-1","4,800,000","Labour and other basic services by the Local community","1.5 Years"
" "," ",""," "," "," ",""," ","Live fencing/SALT (12 ha)","250 m-1","3,000,000","","0.25 Years"
"Sub Total","7,800,000"," "," ",,,,,,,,,
"12","972","Haputhale Egodagama","1. Soil and water conservation practices (15°)","1","7.2375760","80.6748990","4 ha","Lock and spills (4 ha)","400 m-1","1,600,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,600,000"," "," ",,,,,,,,,
"13","958","Hippala","1. Cultivation of perennial crops - Middle of Hippalagama (Dehigama) (70°)","4","7.2523550","80.6818620","1.5 ha","Cultivating pepper, coffee etc. "," ","150,000","Labour and other basic services by the Local community","0.25 Years"
" "," ","","2. Cultivation of perennial crops - Sethumgedara (60°)","4","7.2510440","80.6813100","4 ha","Cultivating pepper, coffee etc. "," ","400,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","550,000"," "," ",,,,,,,,,
"14","986","Pinnagolla","1. Soil and water conservation - Pinnagolla (30 - 60°)","1","7.2502440","80.7058059","1 ha","Live fencing/SALT","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
" "," ",""," ","4","7.2502770","80.7003940","20 ha","Lock and spills (10 ha)","400 m-1","4,000,000","Labour and other basic services by the Local community","0.5 Years"
" "," ",""," "," "," ",""," ","Live fencing/SALT (10 ha)","250 m-1","2,500,000","","0.25 Years"
" "," ",""," ","3","7.2512790","80.6999370","5 ha","Lock and spills (5 ha)","400 m-1","2,000,000","","0.25 Years"
" "," ","","2. Soil and water conservation - Elhenawaththa (65°)","1","7.2528860","80.7004890","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","10,000,000"," "," ",,,,,,,,,
"","","","","","","","","Grand Total","","75,525,000","",""
