"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-004-2","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","ON OFF Farm","Coordinates","Quantity","Proposed measure s","Unit Cost  LKR","Total Cost  LKR","Contribution  Local Community  LA  and the project","Time frame for the implementation","NA"
"Sub Total","5,179,000",,,,,,,,,,,,
"2","968","Ethulgama East","1. Rennovation of Pinarawa Kandura","4","OFF","7.2399670","80.6780236","1.1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"110,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Developing a drainage facility to Pananwala Road",,"OFF",,,"200 m","Concrete Drain",,"12,034,000","By the project","0.25 Years"
,,,"3. Rennovation of Pinarawa drainage lines","1","OFF","7.2398420","80.6736400","10 m","Concrete Drain",,"605,000",,
,,,"4. Rennovation of the wall near Pananwala Temple","4","OFF","7.2412000","80.6771110","15 m x 3 m","Retaining Wall (Concrete)",,"1,749,000",,
,,,"5. Establishment of retaining wall in Maha Assadduma Ela","4","OFF","7.2412710","80.6776900","150 m x 2 m","Retaining Wall (Mansonary)",,"6,600,000","By the project","0.25 Years"
"Sub Total","21,098,000",,,,,,,,,,,,
"3","957","Pussathenna","1. Establishment of side wall of Ethkandura (Moraluwaka)","4","OFF","7.2582240","80.6975390","50 m x 2 m","Retaining Wall (Mansonary)",,"2,200,000","By the project","0.25 Years"
,,,"2. Establishment of retaining wall","2","OFF","7.2564000","80.6944980","10 m x 2 m","Retaining Wall (Mansonary)",,"440,000","By the project","0.25 Years"
,,,"3. Establishing a leader drain (Kongahakotuwa Ela)","3","OFF","7.2570050","80.6897460","100 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"10,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Establishing a side wall - near Thalathuoya Pussathenna, Mr. B.G. Ranjith's house","1","OFF","7.2636410","80.6899420","12 m x 2 m","Retaining Wall (Mansonary)",,"528,000","By the project","0.25 Years"
,,,"5. Establishing a side wall - near the house of Mr. I.M. Kiribanda","1","OFF","7.2579150","80.6970710","8 m x 3 m","Retaining Wall (Concrete)",,"940,500","By the project","0.25 Years"
"Sub Total","4,118,500",,,,,,,,,,,,
"4","959","Batagalla","1. Development of Batagalla Kandura","3","OFF","7.2458230","80.6779610","800 m","Clearing and planting some trees along the banks and other conservation practices",,"80,000","Labour and other basic services by the Local community/Sharamadana","0.5 Years"
,,,"2. Development of Theniwaththa Kandura","1","OFF","7.2439920","80.6889510","600 m","Planting trees (Areca nut, Caryota, Nuga)",,"60,000",,"0.25 Years"
"Sub Total","140,000",,,,,,,,,,,,
"5","961","Thalathuoya East","1. Conservation of river banks - Kiwul Oya","1","OFF","7.2493400","80.6896770","500 m","Planting Kumbuk trees",,"50,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Establishing a side wall, from the Post Office, Gurudeniya to Samurdhi Bank - 80°","1","OFF","7.2510240","80.6901580","500 m x 3 m","Retaining Wall (Concrete)",,"58,047,000","By the project","0.25 Years"
,,,"3. Establishing a drain - 30°","1","OFF","7.2511320","80.6914080","100 m","Concrete Drain",,"6,017,000","By the project","<0.25 Years"
,,,"4. Establishing a drain near Tamil School","4","OFF","7.2494800","80.6924010","20 m","Concrete Drain",,"1,204,500","By the project","<0.25 Years"
"Sub Total","65,268,500",,,,,,,,,,,,
"6","965","Ethulgama South","1. Establishing a side wall, Kottagaskandura","5","OFF","7.2346980","80.6680280","8 m x 2 m","Retaining Wall (Mansonary)",,"352,000","By the project","<0.25 Years"
,,,"2. Establishing a drain, the same Kottagaskandura","5","OFF","7.2346980","80.6680280","8 m","Concrete Drain",,"484,000","By the project","<0.25 Years"
"Sub Total","836,000",,,,,,,,,,,,
"7","960","Thalathuoya West","1. Establishing a retaining wall","2","OFF","7.2523400","80.6890300","20 m x 2 m","Retaining Wall (Mansonary)",,"880,000","By the project","0.25 Years"
,,,,"4","OFF","7.2525640","80.6887600","20 m x 3 m","Retaining Wall (Concrete)",,"2,332,000",,"0.25 Years"
,,,,"5","OFF","7.2530960","80.6900940","30 m x 2 m","Retaining Wall (Mansonary)",,"1,320,000",,"0.25 Years"
"Sub Total","4,532,000",,,,,,,,,,,,
"8","969","Haputhale Udagama","1. Developmen of drain in Kandura","5","OFF","7.2323589","80.6754230","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Development of Batagolla Kandura","5","OFF","7.2300830","80.6716630","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Developemnet of Galpoththa Kandura","5","OFF","7.2340800","80.6776250","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Establishing a Retaining Wall - Isipathanaramaya (70°)","4","OFF","7.2319250","80.6813150","20 m x 3 m","Retaining Wall (Concrete)",,"2,332,000","By the project","0.25 Years"
,,,"5. Establishing a Retaining Wall - W.M. Upali Wickramasinghe Homegarden","3","OFF","7.2323060","80.6746390","12 m x 3 m","Retaining Wall (Concrete)",,"1,402,500","By the project","0.25 Years"
"Sub Total","4,034,500",,,,,,,,,,,,
"9","970","Haputhale Pallegama","1. Establishing a retaining wall - Wewewathttha Well (30°)","2","OFF","7.2319180","80.6872270","6 m X 2 m","Retaining Wall (Mansonary)",,"264,000","By the project","0.25 Years"
,,,"2. Establishing a retaining wall - Palle Well (30°)","4","OFF","7.2345740","80.6828630","6 m X 2 m","Retaining Wall (Mansonary)",,"264,000","By the project","0.25 Years"
,,,"3. Developing natural drains - Konara Kumbura Dola","3","OFF","7.2343460","80.6886030","500 m x 2 m","Retaining Wall (Mansonary)",,"22,000,000","By the project","0.5 Years"
,,,"6. Establishing retaining wall (I.P. Nimal Senevirathne)","4","OFF","7.2284580","80.6874250","17 m x 3 m","Retaining Wall (Concrete)",,"1,985,500","By the project","0.25 Years"
"Sub Total","24,513,500",,,,,,,,,,,,
"10","971","Ankelipitiya","No special issues are reported",,,,,,,,,,
"Sub Total","-",,,,,,,,,,,,
"11","973","Moragolla","1. Establishing a retaining wall - Near Baswaththa Pihilla","5","OFF","7.2254870","80.6774810","20 m x 2 m","Retaining Wall (Mansonary)",,"880,000","By the project","0.25 Years"
,,,,,,,,,"Planting trees",,,,
,,,,,,,,,"Adopting proper soil conservation practices in lands adjacent",,,,
,,,"2. Development of natural drains - Assaduma Iwuru Ela","1","OFF","7.2306720","80.6801460","30 m","Plantimng trees along banks",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,,,,,,,"Removal of waste accumulated",,,,"0.25 Years"
,,,"3. Development of natural drains - Letiyagolla Kandura lower","5","OFF","7.2271170","80.6790010","400 m","Plantimng trees along banks",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,,,,,,,"Removal of waste accumulated",,,,"0.25 Years"
,,,"4. Development of natural drains - Letiyagolla Kandura upper","1","OFF","7.2252460","80.6785410","400 m","Plantimng trees along banks",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,,,,,,,"Removal of waste accumulated",,,,"0.25 Years"
,,,"5. Development of natural drains - near Moragolla Kovila","2","OFF","7.2296520","80.6746550","1 km","Plantimng trees along banks",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,,,,,,,"Cleaning the drain",,,,
,,,"6. Establishing a Retaining Wall - Dewale Ella","5","OFF","7.2280080","80.6757130","50 m x 3 m","Retaining Wall (Concrete)",,"5,813,500","By the project","0.25 Years"
,,,"7. Establishing a Retaining Wall - Ranhotikanda (60°)","2","OFF","7.2290240","80.6770260","20 m x 3 m","Retaining Wall (Concrete)",,"2,332,000","By the project","0.25 Years"
,,,"8. Establishing a Retaining Wall","4","OFF","7.2296460","80.6830950","20 m x 2 m","Retaining Wall (Mansonary)",,"880,000","By the project","0.25 Years"
,,,"9. Establishing a Retaining Wall - J.M. Manel Kumari","4","OFF","7.2307300","80.6820970","10 m x 2 m","Retaining Wall (Mansonary)",,"440,000","By the project","0.25 Years"
,,,"10. Establishing a Retaining Wall","1","OFF","7.2293520","80.6848470","10 m x 2 m","Retaining Wall (Mansonary)",,"440,000","By the project","0.25 Years"
,,,"11. Establishing a Retaining Wall - near the shop 'Persy'","4","OFF","7.2305840","80.6819120","30 m x 3 m","Retaining Wall (Concrete)",,"3,492,500","By the project","0.25 Years"
,,,"12. Establishing a Retaining Wall","4","OFF","7.2309440","80.6823460","10 m x 2 m","Retaining Wall (Mansonary)",,"440,000","By the project","0.25 Years"
"Sub Total","15,118,000",,,,,,,,,,,,
"12","972","Haputhale Egodagama","1. Establishing a retaining wall - Mr. Rasika Nalaka (85°)","5","OFF","7.2365710","80.6731240","10 m x 3 m","Retaining Wall (Concrete)",,"1,171,500","By the project","0.25 Years"
,,,"2. Establishing a retaining wall -  Pinunwanatha Pihilla (30°)","4","OFF","7.2358150","80.6731440","6 m x 2 m","Retaining Wall (Mansonary)",,"264,000","By the project","0.25 Years"
,,,"3. Establishing a retaining wall -  Egodagama, Dodamgasthenne Road (85°)","3","OFF","7.2371040","80.6743640","20 m x 3 m","Retaining Wall (Concrete)",,"2,332,000","By the project","0.25 Years"
"Sub Total","3,767,500",,,,,,,,,,,,
"13","958","Hippala","1. Development of natural drain - Aththammawaththa linda","1","OFF","7.2524220","80.6844860","250 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"25,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Development of natural drain - Hippalagama Meda","1","OFF","7.2524600","80.6842150","1 km","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"100,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"3. Development of natural drain - Aththanayaka Gedara Waththa Kandura","3","OFF","7.2526020","80.6819500","600 m","Clearing and planting some trees along the banks (Aracanut) and other conservation practices",,"60,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"4. Establishing a drain near Hippala Road, Sarvodaya Building","4","OFF","7.2524200","80.6844270","6 m","Concrete Drain",,"363,000","By the project","0.25 Years"
,,,"5. Removing blocks/barriers to avoid blocking Thalathuoya","1","OFF","7.2490710","80.6780840",,"Removing blocking",,"200,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","748,000",,,,,,,,,,,,
"14","986","Pinnagolla","1. Development of natural drain","1","OFF","7.2508800","80.6974100","700 m x 1 m x 1 m","Clearing and planting some trees along the banks (Aracanut)",,"70,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,,,,,,,"Avoiding blocking",,,,
,,,,"2","OFF","7.2520300","80.6993700","300 m x 1 m x 1m","Clearing and planting some trees along the banks (Aracanut)",,"30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,,,,,,,"Avoiding blocking",,,,
,,,,"3","OFF","7.2533770","80.6993560","2500 m x 1 m x 1m","Clearing and planting some trees along the banks (Aracanut)",,"250,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,,,,,,,"Avoiding blocking",,,,
,,,,"1","OFF","7.2529910","80.7004730","300 m x 1 m x 1m","Clearing and planting some trees along the banks (Aracanut)",,"30,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,,,,,,,"Avoiding blocking",,,,
,,,,"4","OFF","7.2525960","80.7012260","800 m x 1 m x 1m","Clearing and planting some trees along the banks (Aracanut)",,"80,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,,,,,,,"Avoiding blocking",,,,
,,,,"1","OFF","7.2529570","80.7022690","700 m x 1 m x 1 m","Clearing and planting some trees along the banks (Aracanut)",,"70,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,,,,,,,"Avoiding blocking",,,,
,,,,"1","OFF","7.2526350","80.7025800","700 m x 1 m x 1 m","Clearing and planting some trees along the banks (Aracanut)",,"70,000","Labour and other basic services by the Local community/ Shramadana","0.25 Years"
,,,"2. Estasblishing a reatining wall - Pinnagolla Raod","4","OFF","7.2493390","80.7009730","6 m x 2 m","Retaining Wall (Mansonary)",,"264,000","By the project","0.25 Years"
,,,,"4","OFF","7.2526990","80.6993580","200 m x 2 m","Retaining Wall (Mansonary)",,"8,800,000",,"0.25 Years"
"Sub Total","9,664,000",,,,,,,,,,,,
,,,,,,,,,"Grand Total",,"159,017,500",,
